ID	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6	KEGG_Pathways
Cellular Processes	782313.0	684999.0	848411.0	844247.0	1049004.0	871399.0	723084.0	631338.0	692360.0	726829.0	792356.0	704289.0	762892.0	920829.0	771587.0	792667.0	835669.0	779394.0	Cellular Processes
Environmental Information Processing	2712728.0	2643506.0	3045613.0	2999749.0	3514507.0	3004016.0	2607070.0	2376514.0	2493584.0	2593735.0	2839564.0	2540790.0	2792238.0	3148279.0	2746515.0	2854491.0	3084456.0	2779435.0	Environmental Information Processing
Genetic Information Processing	2558185.0	2507347.0	2873051.0	2743696.0	3185209.0	2752990.0	2577032.0	2357846.0	2477973.0	2521756.0	2754000.0	2493166.0	2717660.0	3044287.0	2722961.0	2757094.0	2942220.0	2717298.0	Genetic Information Processing
Human Diseases	179912.0	168269.0	207165.0	195862.0	236175.0	201039.0	177311.0	157596.0	164704.0	171910.0	191227.0	171198.0	181329.0	207418.0	183705.0	188328.0	199925.0	185254.0	Human Diseases
Metabolism	8929215.0	9043613.0	10281335.0	9750110.0	11127986.0	9701586.0	8915633.0	8246224.0	8533830.0	8736686.0	9594968.0	8630996.0	9507257.0	10406275.0	9423355.0	9664582.0	10343675.0	9455488.0	Metabolism
None	36925.0	36583.0	42123.0	39791.0	46005.0	39539.0	35219.0	33062.0	35716.0	35688.0	38737.0	34106.0	38879.0	43327.0	38247.0	39853.0	43114.0	38656.0	None
Organismal Systems	157474.0	158776.0	177941.0	171110.0	194144.0	169960.0	152699.0	142494.0	151311.0	152998.0	167605.0	148707.0	168472.0	184662.0	165376.0	169802.0	183333.0	165021.0	Organismal Systems
Unclassified	2411319.0	2278701.0	2682606.0	2582222.0	3071085.0	2602473.0	2356961.0	2126099.0	2280742.0	2348975.0	2543560.0	2284785.0	2515125.0	2866737.0	2495998.0	2555870.0	2733824.0	2496492.0	Unclassified
