	sample1	sample10	sample11	sample12	sample13	sample14	sample15	sample16	sample17	sample18	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9
ASV_1207	35	0	20	17	154	70	42	35	44	290	141	170	243	223	34	0	11	3
ASV_2307	17	7	8	67	51	25	48	36	49	49	14	23	97	85	63	66	101	3
ASV_11	2090	724	607	1001	1339	847	1372	1068	1258	1312	2627	1860	2789	2647	2790	1197	804	259
ASV_3241	32	34	0	30	22	0	0	8	3	3	31	0	8	2	97	47	75	229
ASV_3805	37	49	0	9	30	12	3	12	0	1	9	0	5	1	49	55	72	235
ASV_1305	63	89	4	55	55	15	45	20	14	28	66	41	76	61	141	167	243	254
ASV_327	36	43	75	55	43	6	41	35	26	33	87	62	176	125	104	46	78	232
ASV_428	185	10	56	18	69	39	62	40	40	47	243	117	139	178	319	17	31	87
ASV_505	111	39	33	41	27	8	31	2	13	10	60	17	36	67	86	51	62	56
ASV_4	31	268	119	464	23	21	28	39	19	16	14	35	12	20	17	765	922	33
ASV_97	48	19	21	124	27	7	30	7	9	24	8	18	12	22	9	166	244	6
ASV_213	490	27	51	116	1140	213	771	546	484	940	426	288	897	1043	322	58	146	8
ASV_2297	15	1	0	0	47	34	40	63	80	67	96	61	188	75	0	0	0	0
ASV_1032	0	0	0	0	262	128	389	305	346	255	0	36	55	35	0	0	0	0
ASV_893	74	16	24	11	61	32	36	50	73	167	28	0	39	31	97	0	19	19
ASV_522	50	155	148	78	46	44	10	88	115	31	2	22	27	75	10	171	109	2
ASV_729	16	184	312	108	44	22	37	46	44	62	193	40	55	73	26	37	96	102
ASV_540	26	23	0	101	72	87	50	74	90	103	83	10	79	97	26	132	126	183
ASV_846	103	7	0	100	141	136	84	63	134	176	52	55	40	40	661	122	68	2
ASV_414	10	43	19	70	36	102	13	63	114	189	35	73	138	95	14	26	103	35
ASV_1141	33	39	59	86	39	59	9	22	39	38	0	18	44	18	1	40	37	45
ASV_504	19	333	481	170	63	76	34	88	186	57	101	45	67	87	243	0	47	7
ASV_1166	2	14	8	3	45	32	40	15	42	81	0	131	187	73	36	0	6	0
ASV_1841	187	0	0	0	170	84	62	105	105	175	46	79	59	91	0	0	0	0
ASV_498	0	297	256	175	53	42	58	111	93	72	192	0	25	38	6	24	120	0
ASV_250	12	51	68	52	49	30	70	67	88	83	50	13	36	58	58	1	0	0
ASV_103	368	28	37	81	471	470	305	571	1039	973	127	439	847	755	397	38	153	5
ASV_830	35	0	0	42	38	68	57	63	161	139	90	34	150	118	36	33	52	1
ASV_1611	15	6	0	3	36	47	33	41	71	32	24	23	17	71	342	50	3	0
ASV_474	49	114	72	105	142	71	43	109	165	80	171	53	88	42	34	43	21	18
ASV_1534	1	72	82	52	1	14	4	1	5	32	49	7	13	0	0	17	107	166
ASV_95	114	111	114	301	161	277	77	314	630	298	227	78	76	78	298	334	506	216
ASV_466	12	245	336	146	13	15	25	12	27	2	21	15	38	64	67	85	76	117
ASV_1254	69	51	45	8	96	31	57	39	51	81	16	30	33	31	0	8	16	0
ASV_690	9	25	24	73	42	62	37	49	34	40	0	1	2	16	39	87	136	167
ASV_506	2	260	455	82	24	9	6	13	15	7	0	21	88	37	1	0	9	30
ASV_587	74	201	207	39	67	66	111	39	113	81	72	124	172	142	24	38	22	12
ASV_123	147	183	386	223	227	151	243	188	311	319	277	191	274	242	19	58	121	37
ASV_1300	99	0	1	5	95	65	106	51	65	117	219	73	178	108	49	12	44	0
ASV_702	21	26	37	25	189	17	54	28	48	150	33	77	39	78	77	0	43	0
ASV_192	72	420	157	115	141	104	238	99	212	99	89	182	223	92	71	142	136	77
ASV_211	910	0	1	34	103	46	92	52	74	176	66	59	139	86	203	14	67	27
ASV_220	63	203	90	99	103	75	133	235	45	125	58	39	130	85	258	33	47	0
ASV_447	51	50	126	35	58	47	36	87	91	177	14	27	16	75	242	60	95	0
ASV_2160	0	0	0	3	211	11	75	41	0	50	95	203	207	256	0	1	2	0
ASV_1498	9	45	56	49	63	43	64	109	84	41	23	23	74	25	1	36	82	19
ASV_165	105	386	708	355	249	256	192	280	361	212	64	81	175	139	36	80	171	32
ASV_1380	11	14	10	2	17	87	9	126	108	101	27	35	53	24	18	17	22	13
ASV_1015	46	0	0	22	69	9	65	66	19	30	46	21	50	46	66	18	24	33
ASV_624	206	35	31	56	133	90	87	69	134	122	95	17	81	108	93	30	64	95
ASV_292	93	46	49	56	203	385	154	481	537	291	274	167	201	170	42	1	14	3
ASV_792	18	0	0	7	29	93	22	57	155	102	67	36	21	39	0	6	1	2
ASV_2262	41	0	0	0	52	96	15	35	134	59	58	4	24	52	26	0	12	1
ASV_291	10	162	101	61	126	163	76	66	315	107	196	59	71	94	51	6	5	4
ASV_317	52	82	69	62	46	30	36	36	72	21	314	2	53	74	21	78	48	19
ASV_481	76	30	11	27	65	10	26	45	21	23	68	0	17	14	80	0	42	84
ASV_169	334	10	0	14	356	173	177	157	160	157	200	40	227	194	67	0	47	1
ASV_1	3019	5216	2084	5226	2478	1331	1872	1957	1949	1910	2280	785	1238	1934	4187	5025	14003	18825
ASV_2422	0	0	1	6	25	47	10	13	49	27	412	1	39	28	0	0	0	0
ASV_2633	9	5	9	7	14	98	12	126	184	66	21	23	18	22	20	0	0	0
ASV_564	133	36	37	43	95	80	76	58	177	187	43	125	56	120	107	16	12	11
ASV_152	308	28	43	106	400	456	341	800	830	936	277	204	573	539	144	130	127	72
ASV_272	547	58	15	26	330	147	179	295	231	327	380	108	81	211	205	0	35	0
ASV_387	198	9	46	111	474	316	344	305	570	304	497	357	205	232	156	30	11	24
ASV_608	146	25	18	16	264	137	153	128	369	96	375	182	205	167	106	34	31	53
ASV_1945	101	0	17	4	86	74	27	39	32	119	60	62	44	67	33	0	5	0
ASV_1603	112	0	0	676	69	5	52	40	15	8	20	29	137	82	24	14	10	8
ASV_282	106	6	30	101	186	67	145	60	77	175	214	69	237	238	90	92	145	18
ASV_1181	12	21	0	43	18	49	12	24	59	147	0	14	61	63	95	15	59	58
ASV_168	0	32	22	118	14	9	1	14	4	26	2	0	3	18	20	68	117	294
ASV_1609	25	12	0	28	55	138	6	85	230	204	15	25	64	53	76	0	20	26
ASV_188	44	483	773	118	6	14	0	4	9	28	1	0	6	1	294	74	95	117
ASV_225	188	70	6	63	61	14	26	27	34	41	51	17	39	72	49	27	143	80
ASV_1125	129	14	5	31	60	71	50	68	75	139	66	27	68	110	236	10	25	3
ASV_801	98	22	1	49	28	35	50	23	31	91	30	8	14	60	36	63	113	84
ASV_986	72	14	42	47	52	22	36	24	24	55	72	3	86	53	70	40	51	22
ASV_853	86	0	0	17	31	19	23	14	15	44	85	34	232	11	2	0	5	16
ASV_890	7	30	124	49	97	16	36	15	27	45	148	20	70	39	0	13	20	25
ASV_821	16	38	140	98	49	60	30	35	65	32	23	33	46	88	88	1	23	20
ASV_832	13	85	182	43	21	31	8	4	11	32	21	24	36	31	124	44	57	105
ASV_1454	15	0	0	3	113	49	42	128	72	140	134	36	10	7	0	0	5	0
ASV_2088	2	1	0	1	56	62	14	51	151	118	0	16	20	37	77	0	2	0
ASV_1424	15	29	57	33	67	35	22	26	43	30	121	74	150	29	23	1	19	47
ASV_886	17	19	18	28	64	26	37	31	38	49	55	54	30	60	131	0	84	5
ASV_1243	63	0	0	2	15	19	26	6	36	45	524	48	192	151	43	0	14	2
ASV_732	65	18	10	5	123	46	54	57	112	108	11	67	85	92	124	0	81	39
ASV_1607	36	0	8	0	45	126	7	74	59	64	563	58	102	55	0	14	1	0
ASV_1227	0	142	482	95	0	0	0	0	1	4	0	0	0	0	1	0	0	13
ASV_450	11	373	386	186	0	8	1	1	4	4	0	1	0	10	54	6	26	1
ASV_620	39	46	55	34	97	44	69	36	39	28	212	11	61	55	17	30	18	10
ASV_1517	10	51	336	34	20	16	7	1	34	2	47	77	13	84	203	0	0	0
ASV_459	63	46	135	51	99	169	97	3	273	168	94	252	260	340	59	2	9	3
ASV_573	336	57	85	22	119	22	13	0	14	41	483	82	128	93	36	2	0	0
ASV_524	12	193	309	120	17	32	7	30	28	16	30	28	0	20	187	55	34	96
ASV_128	114	100	7	119	74	29	44	37	17	14	27	17	27	46	27	82	450	409
ASV_101	822	214	101	47	266	213	574	389	124	127	451	42	79	111	805	98	296	678
ASV_384	352	5	3	48	185	75	185	158	56	66	207	36	60	119	643	102	72	83
ASV_665	75	15	0	136	11	11	17	12	5	26	44	0	10	10	154	62	35	295
ASV_689	61	8	13	63	80	75	29	133	141	115	56	1	38	52	88	74	61	40
ASV_1217	36	0	4	0	42	111	40	182	258	156	117	8	0	9	30	0	7	0
ASV_619	133	34	28	54	73	193	111	132	383	268	130	76	154	140	83	93	76	25
ASV_16	497	43	64	208	460	513	648	515	658	786	414	179	583	409	1007	283	387	68
ASV_274	91	40	29	4	26	47	81	68	148	129	70	7	23	24	49	83	52	26
ASV_488	132	139	161	72	97	71	106	132	122	123	69	34	249	167	276	110	48	0
ASV_154	51	4	1	2	54	79	143	71	63	59	188	63	56	78	93	0	1	24
ASV_465	68	1	0	3	71	118	67	76	88	63	71	48	97	58	39	0	67	12
ASV_309	55	1	0	0	117	175	90	153	205	227	181	0	3	2	56	1	1	0
ASV_1402	141	9	15	28	114	54	117	103	108	72	102	56	76	93	148	66	90	5
ASV_1018	29	2	0	59	49	151	68	141	183	154	38	11	79	63	106	92	119	0
ASV_1128	62	46	36	0	85	137	59	47	113	64	29	63	229	244	26	2	23	0
ASV_248	124	98	115	91	72	77	164	96	116	110	333	36	116	74	311	66	51	85
ASV_738	10	189	234	128	9	10	9	33	16	9	41	29	19	16	32	108	69	36
ASV_2092	72	0	0	97	54	30	51	115	39	58	292	0	46	71	73	83	53	0
ASV_29	857	1107	816	1126	605	285	792	535	388	481	909	395	476	496	1110	1412	2564	2212
ASV_271	33	14	29	8	24	48	66	39	51	23	52	83	99	85	16	0	7	6
ASV_973	42	38	25	24	31	14	44	21	11	27	98	10	9	30	65	49	48	44
ASV_19	626	251	55	335	427	216	362	347	257	307	340	54	186	128	493	470	784	678
ASV_59	343	139	28	211	217	103	143	154	88	116	234	35	53	102	357	282	486	352
ASV_209	90	48	30	17	28	16	34	13	37	32	33	28	17	40	62	59	31	23
ASV_429	67	50	0	20	73	18	54	43	13	25	54	2	51	6	122	95	66	163
ASV_14	30	52	41	119	19	38	33	48	25	32	3	8	14	25	89	23	235	134
ASV_115	48	87	76	54	28	53	36	11	58	36	34	20	23	36	102	66	110	99
ASV_280	108	38	49	173	99	70	134	100	52	68	86	40	45	76	179	214	185	116
ASV_1177	113	12	0	22	55	73	66	60	79	47	155	28	42	107	11	18	45	22
ASV_774	67	4	60	33	61	44	55	24	44	46	73	22	25	42	25	35	49	48
ASV_1191	112	27	23	18	55	15	65	35	15	30	66	37	55	53	98	19	72	64
ASV_206	316	114	123	39	273	266	344	283	277	345	369	281	456	445	320	55	72	32
ASV_1028	89	59	135	54	56	38	68	33	18	30	79	61	85	76	87	56	54	21
ASV_356	137	57	44	59	69	86	93	93	67	63	102	55	87	91	77	115	106	154
ASV_1672	132	29	1	5	56	34	15	39	22	53	71	19	6	26	34	25	40	111
