"","Num.of.remove.nodes","Natural.connectivity","Group"
"1",1,2.02742346348236,"KO"
"2",2,2.02597614931313,"KO"
"3",3,2.03091164092797,"KO"
"4",4,2.03052631153139,"KO"
"5",5,2.03326741348246,"KO"
"6",6,2.03424384087376,"KO"
"7",7,2.03493538307802,"KO"
"8",8,1.81647187540423,"KO"
"9",9,2.00228157465154,"KO"
"10",10,1.96300226221376,"KO"
"11",11,1.81640324531257,"KO"
"12",12,1.97735261154904,"KO"
"13",13,2.03281295594996,"KO"
"14",14,1.71558897794066,"KO"
"15",15,2.02681595476403,"KO"
"16",16,1.79708294229595,"KO"
"17",17,1.77879911713967,"KO"
"18",18,1.99070092076539,"KO"
"19",19,2.03589580934465,"KO"
"20",20,1.7898042807801,"KO"
"21",21,2.0283570888498,"KO"
"22",22,1.76463623106037,"KO"
"23",23,1.75135078844839,"KO"
"24",24,1.73051580343179,"KO"
"25",25,2.03305102535623,"KO"
"26",26,1.94341183263441,"KO"
"27",27,1.98754038803141,"KO"
"28",28,1.88585338176428,"KO"
"29",29,1.96075678883439,"KO"
"30",30,1.67484600273966,"KO"
"31",31,1.99778347442486,"KO"
"32",32,1.69669090864602,"KO"
"33",33,1.87657150800782,"KO"
"34",34,1.90306711417401,"KO"
"35",35,1.87321073433138,"KO"
"36",36,1.91932232581437,"KO"
"37",37,1.93466949494685,"KO"
"38",38,1.79467369236758,"KO"
"39",39,1.84416797353531,"KO"
"40",40,1.61071848887832,"KO"
"41",41,1.91728348579724,"KO"
"42",42,1.79999393218982,"KO"
"43",43,1.7354551816671,"KO"
"44",44,1.67490388410098,"KO"
"45",45,1.65868497605201,"KO"
"46",46,1.93215347330789,"KO"
"47",47,1.52492436005433,"KO"
"48",48,1.95359781540204,"KO"
"49",49,1.70336345737952,"KO"
"50",50,1.92551270265581,"KO"
"51",51,1.94337838325764,"KO"
"52",52,1.63082911128995,"KO"
"53",53,1.7590191137469,"KO"
"54",54,1.85657815006106,"KO"
"55",55,1.72393191935526,"KO"
"56",56,1.65312367257241,"KO"
"57",57,1.94117153386801,"KO"
"58",58,1.66660655625021,"KO"
"59",59,1.91992624081715,"KO"
