Group	Measure	N	Mean	SD	SE
KO	Observed	6	1164.66666666667	81.7524719300075	33.3753069066205
KO	Chao1	6	1415.15536704243	76.3004302569502	31.1495202140572
KO	ACE	6	1414.08145933278	74.2619970317214	30.3173333346327
KO	Shannon	6	5.68595981393398	0.20237887691992	0.0826208305285538
KO	Simpson	6	0.988996766339288	0.00224772758012205	0.000917630942013302
KO	InvSimpson	6	93.8281950139311	17.5949407190341	7.18310446935868
KO	Fisher	6	313.954493890616	36.9421213364885	15.08155788173
KO	Coverage	6	0.975312738955177	0.00252959877733457	0.00103270437640632
KO	PD	6	54.5222292033333	1.5790391635116	0.644640039079097
OE	Observed	6	1310.16666666667	40.1169124767431	16.3776609373188
OE	Chao1	6	1506.37783580314	29.8503153765469	12.1863402222824
OE	ACE	6	1517.95402159391	21.5797011626721	8.80987610838194
OE	Shannon	6	5.96984474806826	0.133026992656349	0.0543080423375032
OE	Simpson	6	0.991877265194297	0.00127391518358626	0.00052007369589505
OE	InvSimpson	6	125.398764914223	17.6505901222	7.20582324306651
OE	Fisher	6	376.964002041952	16.8139332602651	6.86425950947672
OE	Coverage	6	0.974164031200018	0.00198225749351174	0.000809253232985351
OE	PD	6	57.861079914	0.844884059304475	0.344922472851221
WT	Observed	6	1251	50.0519729880851	20.4336324067292
WT	Chao1	6	1475.47302986861	42.9305676869739	17.5263308668503
WT	ACE	6	1489.28024508742	36.0097593720831	14.700922703668
WT	Shannon	6	5.71793385574034	0.202186724687094	0.082542384707994
WT	Simpson	6	0.989157809611015	0.00268167272851243	0.00109478830699876
WT	InvSimpson	6	97.036773621933	23.5416905028036	9.61085490239894
WT	Fisher	6	343.75179689832	22.443287511236	9.16243375885106
WT	Coverage	6	0.975030045162037	0.000901387138973349	0.000367989758531982
WT	PD	6	57.2590659635	1.18711901148055	0.484639307014087
