"","%IncMSE","IncNodePurity","rownames(df)"
"env1",-1.06,0.8,"env1"
"env2",1.59,1.51,"env2"
"env3",0.51,1.7,"env3"
"env4",0.51,1.41,"env4"
"env5",0.66,1.13,"env5"
"env6",-1.07,0.54,"env6"
"env7",-1.66,1.29,"env7"
"env8",-0.67,0.56,"env8"
"env9",2.43,2.23,"env9"
"env10",4.75,1.14,"env10"
