"","%IncMSE","%IncMSE.pval","rownames(frimp.scaled1)","lab"
"ME34",1.416,1,"ME34",""
"ME3",1.147,1,"ME3",""
"ME8",1.08,1,"ME8",""
"ME23",1.001,1,"ME23",""
"ME41",1.001,1,"ME41",""
"ME1",1.001,1,"ME1",""
"ME2",1.001,1,"ME2",""
"ME13",1.001,1,"ME13",""
"ME15",1.001,1,"ME15",""
"ME21",1.001,1,"ME21",""
"ME24",1.001,1,"ME24",""
"ME26",1.001,1,"ME26",""
"ME28",1.001,1,"ME28",""
"ME44",1.001,1,"ME44",""
"ME17",0.883,1,"ME17",""
"ME39",0.603,1,"ME39",""
"ME16",0.274,1,"ME16",""
"ME40",0.112,1,"ME40",""
"ME5",0,1,"ME5",""
"ME7",0,1,"ME7",""
"ME11",0,1,"ME11",""
"ME19",0,1,"ME19",""
"ME20",0,1,"ME20",""
"ME22",0,1,"ME22",""
"ME25",0,1,"ME25",""
"ME29",0,1,"ME29",""
"ME32",0,1,"ME32",""
"ME36",0,1,"ME36",""
"ME42",0,1,"ME42",""
"ME27",-0.218,1,"ME27",""
"ME12",-0.277,1,"ME12",""
"ME18",-1.001,1,"ME18",""
"ME30",-1.001,1,"ME30",""
"ME35",-1.001,1,"ME35",""
"ME37",-1.001,1,"ME37",""
"ME38",-1.001,1,"ME38",""
"ME43",-1.001,1,"ME43",""
"ME4",-1.001,1,"ME4",""
"ME33",-1.635,1,"ME33",""
"ME6",0,1,"ME6",""
"ME9",0,1,"ME9",""
"ME10",0,1,"ME10",""
"ME14",0,1,"ME14",""
"ME31",0,1,"ME31",""
