Genus	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6	All
Unassigned	11.7	12.3	9.13	9.47	8.52	12.5	13.7	10.9	10.2	11.4	12	14.8	10.9	9.72	12.8	10.1	9.84	11.2	18.4
Steroidobacter	3.43	3.22	2.37	2.32	1.03	2.38	4.6	3.17	3.44	2.93	3.66	4.13	2.62	3.38	4.18	4	2.9	4.67	3.3
Nocardioides	1.68	2.48	2.43	1.84	1.74	2.29	1.65	2.91	1.79	1.52	2.49	1.77	1.67	1.4	2.3	1.9	1.86	1.76	2.6
Gaiella	0.47	0.86	0.44	0.69	0.33	0.59	0.78	1.13	0.64	0.89	0.81	0.87	0.9	0.64	0.79	0.75	0.68	0.66	2.4
Streptomyces	3.26	3.1	3.37	2.42	1.18	2	2.67	3.9	8.95	5.27	3.41	3.45	4.57	3.89	3.66	6.84	4.66	3.55	1.8
Lysobacter	0.92	0.92	1.16	1.3	1.23	1.21	0.79	0.93	1.14	0.95	1.45	1.26	0.92	1.27	0.97	1.61	1.3	1.62	1.5
Sphingomonas	1.38	1.33	2.08	2.25	2.06	1.84	1.03	0.82	0.96	0.87	0.95	1.46	0.72	1.28	0.85	1.57	0.88	0.93	1.4
Actinoplanes	2.79	4.29	3.07	2.65	1.14	3.07	2.69	3.45	4.81	2.98	3.71	2.72	3.32	2.65	2.93	2.83	3.84	3.25	1.4
Roseiflexus	0.4	0.63	0.06	0.97	0.43	0.45	0.38	0.79	0.39	0.29	0.52	0.48	0.69	0.3	0.73	0.72	0.19	0.44	1.3
Acidibacter	0.62	0.64	0.68	0.56	0.54	0.55	1.2	0.5	0.67	0.75	0.66	0.96	0.61	0.57	0.96	0.76	0.59	0.89	1.2
Devosia	1.53	1.23	1.81	1.58	2.83	2.01	1.03	1.52	0.71	1.13	1.27	0.98	0.81	1.02	1.01	0.94	1.2	1.33	1.2
Paenibacillus	0.31	0.29	0.08	2.5	0.11	0.54	1.75	0.85	0.34	0.81	0.18	0.58	0.19	0.11	0.18	0.18	0.14	0.11	1.2
Ohtaekwangia	0.74	0.53	0.15	0.16	0.31	0.09	0.8	0.38	0.57	1.56	0.58	0.42	0.74	0.6	0.89	0.92	0.37	0.43	1.2
Massilia	3.09	1.88	1.98	2.78	2.82	4.3	0.98	0.64	1.4	1.06	1.4	1.31	1.39	1.43	1.2	1.26	1.7	1.46	1.2
Flavobacterium	1.54	1.83	7.15	2.36	4.28	1.89	1.48	7.05	6.57	4.66	2.03	2.02	3.89	4.25	2.75	1.66	3.73	4.44	1.2
Bacillus	0.82	0.89	0.47	0.58	0.33	0.81	2.73	1.31	1.67	1.79	0.88	3.47	0.43	0.27	0.65	0.38	0.21	0.54	1.1
Hyphomicrobium	0.65	0.62	0.89	0.33	0.56	0.8	0.76	0.54	0.26	0.32	0.5	0.57	0.37	0.28	0.31	0.4	0.29	0.41	1.1
Solirubrobacter	0.44	0.46	0.2	0.28	0.32	0.35	0.74	0.44	0.37	0.42	0.5	0.7	0.25	0.15	0.33	0.16	0.4	0.35	1.0
Lentzea	2.97	6.16	3.16	2.4	2.31	2.95	2.65	2.67	2.39	2.78	3.94	2.95	4.87	3.54	4.33	3.97	3.01	2.99	1.0
Pedomicrobium	0.47	0.41	0.44	0.37	0.15	0.19	0.62	0.36	0.21	0.46	0.44	0.59	0.3	0.27	0.33	0.2	0.13	0.57	1.0
Actinomarinicola	0.23	0.23	0.29	0.19	0.13	0.21	0.5	0.52	0.28	0.34	0.4	0.49	0.36	0.32	0.51	0.17	0.31	0.31	1.0
Mesorhizobium	0.48	0.48	0.48	0.65	0.56	0.53	0.45	0.47	0.37	0.5	0.57	0.41	0.51	0.39	0.44	0.73	0.76	0.47	0.8
Herpetosiphon	0.48	0.81	0.23	0.45	0.7	0.31	0.52	1.35	0.34	0.69	1.05	0.93	2.87	0.29	0.7	0.69	1.32	0.98	0.8
Pelomonas	10.2	6.45	10.2	9.34	12.6	9.34	4.47	3.26	5.86	6.53	5.43	4.78	6.28	7.85	5.06	5.74	6.63	6.13	0.7
Baekduia	0.16	0.34	0.22	0.29	0.14	0.24	0.4	0.56	0.22	0.24	0.3	0.42	0.34	0.12	0.34	0.17	0.32	0.19	0.7
Piscinibacter	2.67	2.63	2.83	3.29	4.16	3.17	2.13	2.03	2.7	2.75	2.81	2.24	2.54	4.04	3.41	3.8	2.57	2.95	0.7
Dongia	0.47	0.62	0.29	0.29	0.15	0.29	1.18	0.74	0.71	0.58	0.63	0.69	0.59	0.53	0.59	0.76	0.27	0.46	0.7
Mycobacterium	0.51	0.51	0.46	0.21	0.13	0.16	0.4	0.33	0.28	0.32	0.23	0.33	0.31	0.18	0.55	0.3	0.29	0.21	0.7
Gp10	0.24	0.21	0.13	0.08	0.15	0.2	0.27	0.26	0.32	0.16	0.21	0.38	0.06	0.11	0.6	0.3	0.06	0.19	0.7
Oscillochloris	0.18	0.26	0.05	0.11	0.16	0.12	0.18	0.24	0.16	0.13	0.17	0.11	0.2	0.12	0.07	0.16	0.1	0.27	0.7
Agromyces	0.65	1.28	0.86	0.83	0.52	0.55	0.81	1.1	0.76	0.85	0.9	0.88	0.76	0.66	1.07	0.86	0.72	0.92	0.7
Aquabacterium	2.34	1.57	1.56	2.05	2.96	2.52	1.47	1.17	1.28	1.28	1.57	1.17	1.65	1.35	1.81	1.86	1.5	1.52	0.7
Bdellovibrio	0.12	0.13	0.08	0.14	0.23	0.1	0.11	0.08	0.1	0.08	0.16	0.07	0.09	0.2	0.05	0.14	0.06	0.1	0.7
Micromonospora	0.67	0.71	0.33	0.5	0.25	0.47	0.67	1.23	0.95	0.75	0.7	0.71	0.56	0.52	0.64	0.56	0.32	0.61	0.7
Haliangium	0.18	0.21	0.07	0.15	0.2	0.12	0.42	0.28	0.21	0.22	0.3	0.29	0.29	0.17	0.37	0.17	0.21	0.24	0.7
Chondromyces	0.23	0.15	0.09	0.11	0.12	0.16	0.22	0.15	0.2	0.17	0.2	0.22	0.26	0.21	0.28	0.15	0.35	0.31	0.7
Pseudonocardia	0.3	0.5	0.65	0.41	0.16	0.31	0.39	0.46	0.33	0.29	0.37	0.4	0.41	0.32	0.27	0.6	0.29	0.45	0.7
Arenimonas	0.21	0.11	0.42	0.28	0.38	0.21	0.2	0.13	0.18	0.16	0.55	0.19	0.13	0.17	0.27	0.2	0.25	0.31	0.7
Ramlibacter	0.56	0.61	0.44	0.41	0.6	0.63	0.39	0.28	0.42	0.33	0.4	0.55	0.27	0.32	0.3	0.42	0.36	0.24	0.6
