"","Unassigned","Rhizobacter","Pelomonas","Streptomyces","Flavobacterium","Lentzea","Steroidobacter","Actinoplanes","Bradyrhizobium","Nocardioides","Rhizobium","Pseudoduganella","Actinophytocola","Amycolatopsis","Devosia","Sphingomonas","Bacillus","Ensifer","Kinneretia","Lysobacter","Agromyces","Pseudomonas","Actinocorallia","Variovorax","Herpetosiphon","Phenylobacterium","Kribbella","Paenibacillus","Ohtaekwangia","Gaiella","Aquabacterium","Kineosporia","Pseudoxanthomonas","Dongia","Bosea","Mesorhizobium","Sphingopyxis","Hyphomicrobium","Kibdelosporangium","Aeromicrobium"
"KO1",0.415473038035628,0.0602130476649013,0.0603635050553683,0.0303623013962446,0.0142031776600867,0.0250060182956187,0.0268716899374097,0.0190779971112181,0.0204321136254213,0.0165503129513722,0.0173928743379875,0.0144439094848339,0.00968945594607607,0.00956909003370245,0.0142031776600867,0.0120967741935484,0.00980982185844969,0.00809460760712566,0.0101107366393837,0.00598820414058739,0.00616875300914781,0.00315960519980741,0.0076131439576312,0.00740250361097737,0.0038216177178623,0.00845570534424651,0.00436326432354357,0.00321978815599422,0.00655994222436206,0.0038216177178623,0.00502527684159846,0.00282859894077997,0.00604838709677419,0.00424289841116996,0.00352070293692826,0.00439335580163698,0.00297905633124699,0.00511555127587867,0.000752286952335099,0.00364106884930188
"KO2",0.422194548221945,0.0237996402379964,0.0350629583506296,0.027784696277847,0.0168257921682579,0.0531064065310641,0.0220008302200083,0.0297218762972188,0.0235505742355057,0.0233568562335686,0.0120658641206586,0.00628199806281998,0.0117614501176145,0.0286149162861492,0.011069600110696,0.0108482081084821,0.00808080808080808,0.00489829804898298,0.00700152207001522,0.00503666805036668,0.0116784281167843,0.00224159402241594,0.00838522208385222,0.00561782205617822,0.00462155804621558,0.0076103500761035,0.0102117061021171,0.00315483603154836,0.00431714404317144,0.00642036806420368,0.00312716203127162,0.00625432406254324,0.00251833402518334,0.00531340805313408,0.00312716203127162,0.00395738203957382,0.0022139200221392,0.00500899405008994,0.00130067801300678,0.00542410405424104
"KO3",0.35616543862802,0.0368154861235912,0.0632332931118585,0.0321942953967806,0.0682139097840877,0.0271880054427357,0.0186131293163205,0.0143000179712973,0.020975071243357,0.0236964391158122,0.0256219352519833,0.00911401504454314,0.0325537213421992,0.0152756026802906,0.0168673461528587,0.0196143873071295,0.00487792354496675,0.0110908577443455,0.00960180739903982,0.00888295550820261,0.00818977689918102,0.00274704115427075,0.00138635721804318,0.00413339837231393,0.00172010988164617,0.00670072655387538,0.00508330979949167,0.00184847629072424,0.00182280300890863,0.00374829914507972,0.00292675412698005,0.00246463505429899,0.00290108084516444,0.00279838771790198,0.00752227157197505,0.00423609149957639,0.00783035095376242,0.00741957844471259,0.000308079381787374,0.00806141049010295
"KO4",0.379966409489319,0.0435889361255445,0.059413215766546,0.0226998372959639,0.0232246890253503,0.021728861596599,0.016847740513305,0.0199968508896237,0.0155618537763082,0.0192358158820133,0.0239594814464914,0.0228048076418412,0.0160867055056946,0.00991969768540387,0.0143022096257807,0.0213352227995591,0.00506481918857923,0.00997218285834252,0.0088962368131003,0.00973599958011862,0.00774156300845011,0.00301789744397208,0.0115204954600325,0.00519603212092584,0.00419881383509159,0.0058520967826589,0.00312286778984937,0.0237232981682675,0.00188946622579121,0.00543221539914974,0.00446123969978481,0.00530100246680313,0.00430378418096888,0.00246680312811631,0.0101558809636278,0.00524851729386448,0.0040938434892143,0.00325408072219598,0.0316485592820028,0.00435626935390752
"KO5",0.367625160462131,0.0645186136071887,0.0792554557124519,0.0106803594351733,0.0442875481386393,0.0230295250320924,0.0121951219512195,0.00924261874197689,0.018793324775353,0.0160718870346598,0.0307573812580231,0.0162002567394095,0.00269576379974326,0.0100641848523748,0.0278305519897304,0.0172785622593068,0.00418485237483954,0.0136585365853659,0.0125802310654685,0.00808729139922978,0.00467265725288832,0.0115532734274711,0.00338896020539153,0.00569961489088575,0.00549422336328626,0.00731707317073171,0.00259306803594352,0.00200256739409499,0.0034403080872914,0.00295250320924262,0.0143517329910141,0.000513478818998716,0.00582798459563543,0.00148908857509628,0.00654685494223363,0.00449293966623877,0.00942233632862644,0.00433889602053915,0.0137869062901155,0.00390243902439024
"KO6",0.429491690575434,0.0368375466897634,0.0516158718129161,0.0201916310290695,0.0190007037297678,0.0247388079900395,0.0207058950901315,0.0238185459860337,0.020543495912954,0.0209224273263682,0.0221133546256699,0.0264169328208737,0.00722676338439885,0.0125859362312564,0.0184052400801169,0.0158068532452769,0.00793049315216803,0.00860715639040762,0.00822822497699345,0.00663129973474801,0.00546743896497591,0.00284198560060629,0.00492610837438424,0.00901315433335138,0.0021653223623667,0.0084718237427597,0.00378931413414172,0.00625236832133384,0.000839062415417095,0.00495317490391382,0.00476370919720673,0.00189465706707086,0.0113408758728956,0.0033291831321388,0.00433064472473339,0.00587343690791967,0.00414117901802631,0.00771396091593136,0.00105559465165376,0.00460131002002923
"OE1",0.434041372506705,0.0345901285568949,0.0217344390664981,0.0229367697382619,0.0143354810864137,0.0240157844436908,0.0376421987236797,0.0177574991522027,0.0249406541912014,0.015969417640349,0.00918703949193822,0.00505595461972439,0.0175725252027006,0.00594999537565126,0.00826216974442766,0.00949532940777507,0.028701791164411,0.00736812898850079,0.00903289453401979,0.00558004747664704,0.00739895798008447,0.00709066806424762,0.00474766470388754,0.00579585041773284,0.00283626722569905,0.00625828529148812,0.00505595461972439,0.0160619046151,0.00758393192958658,0.00490180966180596,0.00459351974596911,0.00505595461972439,0.00308289915836853,0.00906372352560348,0.00271295125936431,0.00462434873755279,0.00240466134352745,0.00561087646823072,0.00132564663809847,0.00160310756235164
"OE2",0.39276244425696,0.0315475473062553,0.0156080511028082,0.0365794865614077,0.0628540436302278,0.0247679884295528,0.0252500903941184,0.0219356393877305,0.0185910570085573,0.0272086296251657,0.00952151380016874,0.00364589610702664,0.0138303001084729,0.00735205495962396,0.0144027961913945,0.00602627455706882,0.0128359648065566,0.0081957333976136,0.00539351572857659,0.00674942750391708,0.0105761118476558,0.0198565746655418,0.0079245510425455,0.00433891768108955,0.0109376883210799,0.00337471375195854,0.0058756176931421,0.00973243340966615,0.00518259611907919,0.00756297456912137,0.0061468000482102,0.00373629022538267,0.00445944317223093,0.00578522357478607,0.00530312161022056,0.0033445823791732,0.00491141376401109,0.0040978666988068,0.00132578040255514,0.00313366276967579
"OE3",0.380572880572881,0.0432259182259182,0.0368734118734119,0.0821783321783322,0.0621101871101871,0.0191730191730192,0.0245437745437745,0.0295969045969046,0.0150727650727651,0.018018018018018,0.0107126357126357,0.0204146454146454,0.0132536382536383,0.0041002541002541,0.00664125664125664,0.00895125895125895,0.0157368907368907,0.00791175791175791,0.0071032571032571,0.0077962577962578,0.00762300762300762,0.00358050358050358,0.00441787941787942,0.00557288057288057,0.00124162624162624,0.00343612843612844,0.0045045045045045,0.00384037884037884,0.00701663201663202,0.00467775467775468,0.00360937860937861,0.00401362901362901,0.00355162855162855,0.00462000462000462,0.00167475167475167,0.00346500346500346,0.00101062601062601,0.00222337722337722,0.000635250635250635,0.00242550242550243
"OE4",0.380092283407201,0.0503005282010807,0.0396454374354927,0.0465363365915852,0.0434703418128832,0.024042256086455,0.0249529476048813,0.0199745006374841,0.0163013781798312,0.0150567664379819,0.0135693036245522,0.0143585696071884,0.0098961811668994,0.00974439924716168,0.00995689393479449,0.00795337259425657,0.0182745431364216,0.00907655880031571,0.00740695768320078,0.00519094165503005,0.00692125554004007,0.0205816283164349,0.00780159067451885,0.00673911723635481,0.00549450549450549,0.00446238844028899,0.0046748831279218,0.011717564203752,0.0152389047416672,0.00385526076133811,0.00333920223422986,0.00552486187845304,0.00552486187845304,0.0046748831279218,0.00218565964422318,0.00373383522554793,0.00428025013660373,0.0026106490194888,0.0015785319652723,0.0026106490194888
"OE5",0.391355245384962,0.044964730601831,0.0308269548251538,0.029896443043674,0.0195407474110761,0.0336485066786733,0.0309170043523938,0.0254539996998349,0.0231127119915954,0.0225724148281555,0.0178598229025964,0.00924508479663815,0.0131472309770374,0.00870478763319826,0.0108959927960378,0.00915503526939817,0.0094852168692781,0.0107459102506379,0.0079843914152784,0.0106558607233979,0.00762419330631848,0.0102956626144379,0.00726399519735855,0.00729401170643854,0.00954524988743809,0.00687378057931863,0.00576316974335885,0.00234128770823953,0.00591325228875882,0.00585321927059883,0.00546300465255891,0.00516283956175897,0.00843463905147831,0.00480264145279904,0.00456250938015909,0.00444244334383911,0.00522287257991896,0.00405222872579919,0.00159087498123968,0.00312171694431938
"OE6",0.40051171643421,0.0343848482011919,0.02106149957877,0.0316702549221505,0.0175356485381759,0.0273955505632001,0.0352273081843427,0.0189085462884957,0.0219975662267153,0.0188461418452994,0.0142906174919654,0.00951667758744423,0.0110455864457549,0.00630284876283191,0.00867421760429343,0.0122624730880839,0.0349776904115573,0.0122000686448875,0.00776935317794627,0.00876782426908796,0.00708290430278636,0.0192517707260757,0.00555399544447565,0.00845580205310618,0.00630284876283191,0.00530437767169022,0.00492995101251209,0.00661487097881369,0.00414989547255765,0.00658366875721551,0.00333863771100502,0.0030890199382196,0.00552279322287747,0.00630284876283191,0.0025273799494524,0.00346344659739773,0.00312022215981778,0.00474273768292302,0.000780055539954445,0.00340104215420138
"WT1",0.40150806171288,0.0578625096927725,0.036284392630819,0.0398138987673467,0.036284392630819,0.0405893205700687,0.0236369956415947,0.0250274071499238,0.0165512446856868,0.0146527982031605,0.0108826439209605,0.0210166047220514,0.0152143105430626,0.0128345677691917,0.00697879622449798,0.00585577154469371,0.00449209871921709,0.00422471189069226,0.00890398138987674,0.00553490735046392,0.00623011310462847,0.00106954731409931,0.0104548249953207,0.00430492793924971,0.0252145779298912,0.00518730447338164,0.0057220781304313,0.0029412551137731,0.00574881681328378,0.00569533944757881,0.00358298350223268,0.00786117275862991,0.00299473247947806,0.00430492793924971,0.00377015428220006,0.00328885799085537,0.0032353806251504,0.00227278804246103,0.00352950613652771,0.00245995882242841
"WT2",0.390965691510147,0.0845077760700237,0.0443900278740198,0.0340479849949202,0.0400395967384792,0.0291765441425483,0.0291244431708651,0.0137546565243442,0.0156302915049366,0.0134420506942454,0.0182353400890927,0.032276551957694,0.00604371271524214,0.0139370099252351,0.00812775158256701,0.010915153567614,0.00218824081069112,0.00734623700732019,0.0112017089118712,0.00982103316226848,0.00661682340375648,0.0015369786646521,0.0117227186287024,0.00627816708781619,0.00179748352306771,0.00677312631880585,0.00825800401177482,0.000963867976137755,0.00591346028603433,0.00422017870633287,0.00382942141870946,0.00943027587464506,0.00200588740980019,0.00372521947534321,0.00265714955583922,0.00330841170187824,0.00263109906999766,0.00263109906999766,0.000807565061088389,0.00205798838148331
"WT3",0.431301780001641,0.0428184726437536,0.024170836409373,0.0311431930659229,0.0250457988133322,0.0354359773603478,0.0377600962458644,0.0197139966642058,0.0194405709129686,0.0195772837885872,0.0107182894485003,0.00823011511224127,0.0144095370902032,0.0092417903918191,0.00940584584256145,0.00719109725753971,0.00574194077598228,0.00596068137697208,0.00918710524157165,0.00524977442375523,0.00853088343860225,0.00453886747053838,0.00642550515407541,0.00656221802969404,0.00374593279195035,0.0048943209471468,0.00544117244962131,0.00273425751237252,0.00817542996199382,0.00544117244962131,0.00596068137697208,0.00639816257895169,0.00582396850135346,0.00582396850135346,0.00265222978700134,0.00360921991633172,0.00267957236212507,0.00295299811336232,0.00084761982883548,0.00341782189046564
"WT4",0.402026111923723,0.0481337017173195,0.0319085540928544,0.060945880058508,0.0151958394279213,0.0335066905032775,0.0329920364050057,0.0183108510753562,0.0193672463297037,0.0189338534048432,0.0125413077631508,0.0124600465897394,0.0135435289018907,0.0175253263990465,0.00866785849721003,0.0118099572024487,0.00425266807519367,0.00812611734113441,0.00557993390757896,0.0123516983585243,0.00804485616772306,0.00213987756649873,0.00869494555501382,0.0148978817920797,0.00414431984397855,0.00465897394225039,0.00788233382090037,0.00195026816187226,0.00864077143940625,0.00427975513299745,0.00455062571103527,0.00617584917926215,0.00368383986131426,0.00476732217346552,0.00430684219080124,0.00536323744514871,0.00441519042201636,0.00316918576304242,0.00105639525434747,0.00346714339888401
"WT5",0.357832675274784,0.0618130402304983,0.0423647422900437,0.0426848788816562,0.0326005762458649,0.0270515419912496,0.0282520542097962,0.0287589371465158,0.0170739515526625,0.0167804930103511,0.0176608686372852,0.0124052929249813,0.00717639526197844,0.0461263472414897,0.0104311172767047,0.00832355138192295,0.00298794152171593,0.0103777611781027,0.00827019528332088,0.0108046099669192,0.00613595133923807,0.00971080994557678,0.0119784441361648,0.00843026357912709,0.0122985807277772,0.00506882936719667,0.00997759043858713,0.00160068295806211,0.00362821470494077,0.00464198057838011,0.00410841959235941,0.00685625867036602,0.00389499519795113,0.00285455127521076,0.0064560879308505,0.00509550741649771,0.00720307331127948,0.003041297620318,0.00245438053569523,0.00229431223988902
"WT6",0.415152166899667,0.0454349930100011,0.0337401871168943,0.0320195719969889,0.0427734164963975,0.0250295730723734,0.035944725239273,0.0208893429401011,0.0198677277126573,0.0164264974728465,0.0118023443381009,0.00951715238197656,0.0285514571459297,0.00666738358963329,0.0113184213356275,0.00819980643079901,0.00599526830842026,0.00742015270459189,0.00871061404452092,0.0118561135605979,0.00857619098827831,0.00559199913969244,0.00650607592214217,0.00486611463598236,0.00838799870953866,0.00561888375094096,0.00588772986342617,0.00158619206366276,0.00475857619098828,0.00435530702226046,0.00419399935476933,0.0036563071297989,0.0036563071297989,0.00481234541348532,0.00427465318851489,0.00411334552102377,0.00381761479729003,0.00349499946230777,0.00185503817614797,0.00274223034734918
