"","Actinobacteria","Betaproteobacteria","Alphaproteobacteria","Gammaproteobacteria","Unassigned","Flavobacteriia","Deltaproteobacteria","Bacilli","Chloroflexia","Cytophagia","Sphingobacteriia","Planctomycetia","Acidobacteria_Gp10","Subdivision3","Spirochaetia","Acidobacteria_Gp6","Clostridia","Nitrospira","Opitutae","Acidobacteria_Gp17","Chlamydiia","Verrucomicrobiae","Spartobacteria","Acidobacteria_Gp3","Acidobacteria_Gp4","Ignavibacteria","Caldilineae","Acidobacteria_Gp5","Acidobacteria_Gp25","Erysipelotrichia","Oligoflexia","Armatimonadia","Acidobacteria_Gp7","Acidobacteria_Gp11","Bacteroidia"
"KO1",0.255446557534906,0.283401540683678,0.172995907558979,0.13508064516129,0.0606644198363024,0.0149554646124218,0.0305729417428984,0.0154369282619162,0.00821497351949928,0.0113444872412133,0.00300914780934039,0.000421280693307655,0.00249759268175253,0.00165503129513722,0.000692103996148291,0.000451372171401059,0.000601829561868079,0.000872652864708714,0.000120365912373616,0.000210640346653828,0.000361097737120847,3.00914780934039e-05,9.02744342802118e-05,0.000270823302840636,3.00914780934039e-05,0.000120365912373616,3.00914780934039e-05,0.000120365912373616,0.00015045739046702,3.00914780934039e-05,6.01829561868079e-05,0,6.01829561868079e-05,0,0
"KO2",0.40517503805175,0.199003735990037,0.158295281582953,0.0840736128407361,0.0593607305936073,0.0173792721737927,0.0265116922651169,0.01383700013837,0.0119551681195517,0.0066417600664176,0.00182648401826484,0.00232461602324616,0.0017988100179881,0.0012453300124533,0.00044278400442784,0.00060882800608828,0.00603293206032932,0.00080254600802546,0.00024906600249066,0.00049813200498132,0.00019371800193718,0.00016604400166044,0.00035976200359762,0.00035976200359762,5.534800055348e-05,0.00019371800193718,0.00022139200221392,8.302200083022e-05,5.534800055348e-05,0.00011069600110696,5.534800055348e-05,5.534800055348e-05,2.767400027674e-05,0,0
"KO3",0.279273959590254,0.25131575569305,0.209699365869939,0.102025621935252,0.0317065030422839,0.0689841082385561,0.0254165489974583,0.0139919385895099,0.00428743806320762,0.00351723960873919,0.00154039690893687,0.00143770378167441,0.0017714564452774,0.000539138918127904,0.00115529768170265,0.00023105953634053,0.000770198454468435,0.000308079381787374,0.000308079381787374,0.000205386254524916,0.00051346563631229,0.000436445790865446,0.000102693127262458,0.000179712972709301,5.1346563631229e-05,2.56732818156145e-05,2.56732818156145e-05,2.56732818156145e-05,0,0.000102693127262458,0,5.1346563631229e-05,0,0,0
"KO4",0.281714165748176,0.279877184695324,0.181677426127119,0.107515876764814,0.044113787854931,0.0235396000629822,0.0283419933868682,0.0316748018684722,0.00897496457250827,0.00482863591035532,0.00220437726342308,0.000236183278223902,0.00157455518815934,0.000682307248202383,0.000918490526426285,0.000183698105285257,0.000393638797039836,0.000498609142917126,0.000157455518815934,7.87277594079672e-05,0.000209940691754579,2.62425864693224e-05,0.00010497034587729,0.000157455518815934,0,0.00010497034587729,0,2.62425864693224e-05,7.87277594079672e-05,2.62425864693224e-05,0,0,7.87277594079672e-05,0,0
"KO5",0.171501925545571,0.356688061617458,0.202207958921694,0.130269576379974,0.0366367137355584,0.0447240051347882,0.0278562259306804,0.007599486521181,0.0100385109114249,0.00492939666238768,0.00187419768934531,0.000564826700898588,0.00151476251604621,0.000333761232349166,0.00143774069319641,0.000102695763799743,0.000154043645699615,0.000410783055198973,0.00030808729139923,0.000179717586649551,0.000102695763799743,0.000231065468549422,7.70218228498074e-05,2.56739409499358e-05,2.56739409499358e-05,0,0,2.56739409499358e-05,2.56739409499358e-05,7.70218228498074e-05,0,5.13478818998716e-05,2.56739409499358e-05,0,0
"KO6",0.235803605261733,0.316597195907541,0.19831646186326,0.106344394521734,0.0546743896497591,0.0191901694364749,0.0343203594435122,0.0160233854815136,0.0058193038488605,0.00235478806907378,0.00178639094895253,0.000676663238239593,0.00251718724625129,0.000974395063065014,0.000676663238239593,0.000405997942943756,0.000189465706707086,0.000676663238239593,0.000351864883884588,0.000270665295295837,0.000378931413414172,0.000162399177177502,0.000351864883884588,0.000297731824825421,8.11995885887511e-05,0.000378931413414172,0.000108266118118335,0.000108266118118335,5.41330590591674e-05,2.70665295295837e-05,0,0,8.11995885887511e-05,0,0
"OE1",0.282177759965472,0.174214631439406,0.179147270092795,0.136233313808305,0.0671147146776829,0.0156302987329284,0.038690384437525,0.0493263865338965,0.0086012886518482,0.0164318525141043,0.00705983907266393,0.00456269075438542,0.00363782100687487,0.00240466134352745,0.00129481764651478,0.00289792520886642,0.00132564663809847,0.00129481764651478,0.00101735672226161,0.00228134537719271,0.000678237814841076,0.000647408823257391,0.00135647562968215,0.000462434873755279,0.000277460924253168,6.16579831673706e-05,0.000184973949502112,0.000184973949502112,0.000123315966334741,0.000154144957918426,0.000215802941085797,0.000123315966334741,6.16579831673706e-05,0.000123315966334741,0
"OE2",0.348439194889719,0.149963842352658,0.150235024707726,0.118536820537544,0.0602024828251175,0.0645112691334217,0.0252802217669037,0.0265758707966735,0.0205495962396047,0.0112691334217187,0.0038266843437387,0.008406653007111,0.00216945884054478,0.0012956490297698,0.00111486079305773,0.0015065686392672,0.000391707846209473,0.000632758828492226,0.000723152946848258,0.00105459804748704,0.000632758828492226,0.000753284319633602,0.000391707846209473,0.000120525491141376,0.000210919609497409,9.03941183560323e-05,0.000451970591780161,3.01313727853441e-05,9.03941183560323e-05,9.03941183560323e-05,0.000271182355068097,9.03941183560323e-05,9.03941183560323e-05,0,0
"OE3",0.328251328251328,0.214454839454839,0.120524370524371,0.121072996072996,0.0445541695541696,0.0638138138138138,0.0323111573111573,0.0223492723492724,0.00831600831600832,0.0166897666897667,0.00727650727650728,0.00404250404250404,0.00384037884037884,0.00184800184800185,0.00153037653037653,0.00115500115500116,0.00196350196350196,0.000981750981750982,0.00101062601062601,0.000808500808500808,0.000664125664125664,0.000577500577500578,0.000490875490875491,0.000231000231000231,0.000231000231000231,5.77500577500577e-05,0.000231000231000231,0.000144375144375144,0.000115500115500115,0.000115500115500115,5.77500577500577e-05,8.66250866250866e-05,5.77500577500577e-05,0.000144375144375144,0
"OE4",0.274027077894481,0.219719507012325,0.138759031024224,0.140823265132657,0.0585574646348127,0.0451095865460506,0.0348491287717807,0.0319349159128165,0.0120211280432275,0.0234047720235566,0.00686054277214498,0.00194280857264283,0.00163924473316739,0.00182138303685265,0.002064234108433,0.000546414911055795,0.000455345759213163,0.000819622366583693,0.000758909598688604,0.000273207455527897,0.000880335134478781,0.000303563839475442,0.000212494687632809,0.000455345759213163,0.000182138303685265,0.000941047902373869,3.03563839475442e-05,0.000212494687632809,0.000151781919737721,6.07127678950883e-05,0,9.10691518426325e-05,9.10691518426325e-05,0,0
