"","Proportion.removed","remain.mean","remain.sd","remain.se","weighted","Group"
"1",0.05,0.44990243902439,0.010245310148587,0.0010245310148587,"weighted","Group1"
"2",0.1,0.419317073170732,0.0133351358902686,0.00133351358902686,"weighted","Group1"
"3",0.15,0.385707317073171,0.015190302416253,0.0015190302416253,"weighted","Group1"
"4",0.2,0.354609756097561,0.0167153400280128,0.00167153400280128,"weighted","Group1"
"5",0.25,0.328170731707317,0.0175140177244927,0.00175140177244927,"weighted","Group1"
"6",0.3,0.298170731707317,0.0177931295969773,0.00177931295969773,"weighted","Group1"
"7",0.35,0.266975609756098,0.0168211433911422,0.00168211433911422,"weighted","Group1"
"8",0.4,0.242658536585366,0.019001998812622,0.0019001998812622,"weighted","Group1"
"9",0.45,0.214414634146341,0.0196841859426258,0.00196841859426258,"weighted","Group1"
"10",0.5,0.184487804878049,0.017192487728906,0.0017192487728906,"weighted","Group1"
"11",0.55,0.159024390243902,0.0165676760290349,0.00165676760290349,"weighted","Group1"
"12",0.6,0.130219512195122,0.0139999519284833,0.00139999519284833,"weighted","Group1"
"13",0.65,0.104560975609756,0.0140930387077332,0.00140930387077332,"weighted","Group1"
"14",0.7,0.0851707317073171,0.0135939768708,0.00135939768708,"weighted","Group1"
"15",0.75,0.0616829268292683,0.0133198740497208,0.00133198740497208,"weighted","Group1"
"16",0.8,0.0407317073170732,0.0105406405014991,0.00105406405014991,"weighted","Group1"
"17",0.85,0.025780487804878,0.00880601119168029,0.000880601119168029,"weighted","Group1"
"18",0.9,0.0121951219512195,0.00639223896834875,0.000639223896834875,"weighted","Group1"
"19",0.95,0.00282926829268293,0.0031719632986268,0.00031719632986268,"weighted","Group1"
"20",1,0,0,0,"weighted","Group1"
"21",0.05,0.412731707317073,0.0182670593306227,0.00182670593306227,"unweighted","Group1"
"22",0.1,0.390170731707317,0.0208475525178072,0.00208475525178072,"unweighted","Group1"
"23",0.15,0.357243902439024,0.0271962073766135,0.00271962073766135,"unweighted","Group1"
"24",0.2,0.336390243902439,0.0242387014248926,0.00242387014248926,"unweighted","Group1"
"25",0.25,0.303682926829268,0.0263752372608643,0.00263752372608643,"unweighted","Group1"
"26",0.3,0.280756097560976,0.0282356532888002,0.00282356532888002,"unweighted","Group1"
"27",0.35,0.252292682926829,0.0223468225793373,0.00223468225793373,"unweighted","Group1"
"28",0.4,0.228146341463415,0.0220138713371691,0.00220138713371691,"unweighted","Group1"
"29",0.45,0.202634146341463,0.0250314339783581,0.00250314339783581,"unweighted","Group1"
"30",0.5,0.174,0.0226377544677034,0.00226377544677034,"unweighted","Group1"
"31",0.55,0.151609756097561,0.0237074164304843,0.00237074164304843,"unweighted","Group1"
"32",0.6,0.129414634146341,0.0210436796918241,0.00210436796918241,"unweighted","Group1"
"33",0.65,0.107658536585366,0.0178020598025384,0.00178020598025384,"unweighted","Group1"
"34",0.7,0.0847560975609756,0.016139146863554,0.0016139146863554,"unweighted","Group1"
"35",0.75,0.0640731707317073,0.018548689011409,0.0018548689011409,"unweighted","Group1"
"36",0.8,0.0435365853658537,0.0136543785245098,0.00136543785245098,"unweighted","Group1"
"37",0.85,0.0266829268292683,0.0104853122736228,0.00104853122736228,"unweighted","Group1"
"38",0.9,0.0138536585365854,0.007426139593234,0.0007426139593234,"unweighted","Group1"
"39",0.95,0.00363414634146341,0.00413821791637654,0.000413821791637654,"unweighted","Group1"
"40",1,0,0,0,"unweighted","Group1"
"41",0.05,0.535596107055961,0.00955661694078335,0.000955661694078335,"weighted","Group2"
"42",0.1,0.504355231143552,0.0132964630998262,0.00132964630998262,"weighted","Group2"
"43",0.15,0.476228710462287,0.0157221010605497,0.00157221010605497,"weighted","Group2"
"44",0.2,0.441873479318735,0.0166387703305615,0.00166387703305615,"weighted","Group2"
"45",0.25,0.409878345498783,0.0193612848078216,0.00193612848078216,"weighted","Group2"
"46",0.3,0.38,0.0178238155631843,0.00178238155631843,"weighted","Group2"
"47",0.35,0.348053527980535,0.0164743660606932,0.00164743660606932,"weighted","Group2"
"48",0.4,0.317883211678832,0.0185858474128703,0.00185858474128703,"weighted","Group2"
"49",0.45,0.285279805352798,0.017800298925991,0.0017800298925991,"weighted","Group2"
"50",0.5,0.254501216545012,0.017579310348243,0.0017579310348243,"weighted","Group2"
"51",0.55,0.223552311435523,0.0176684774504473,0.00176684774504473,"weighted","Group2"
"52",0.6,0.190900243309002,0.0198281947185552,0.00198281947185552,"weighted","Group2"
"53",0.65,0.162627737226277,0.0160639787956149,0.00160639787956149,"weighted","Group2"
"54",0.7,0.131703163017032,0.0174518164164366,0.00174518164164366,"weighted","Group2"
"55",0.75,0.102968369829684,0.0139272360956832,0.00139272360956832,"weighted","Group2"
"56",0.8,0.0740389294403893,0.0120754368559441,0.00120754368559441,"weighted","Group2"
"57",0.85,0.0499270072992701,0.0105148804365375,0.00105148804365375,"weighted","Group2"
"58",0.9,0.0265936739659367,0.00804556484181137,0.000804556484181137,"weighted","Group2"
"59",0.95,0.00834549878345499,0.00520181222972783,0.000520181222972783,"weighted","Group2"
"60",1,0,0,0,"weighted","Group2"
"61",0.05,0.59698296836983,0.0180045340598651,0.00180045340598651,"unweighted","Group2"
"62",0.1,0.565474452554744,0.0164842359272173,0.00164842359272173,"unweighted","Group2"
"63",0.15,0.526350364963504,0.0244340388140531,0.00244340388140531,"unweighted","Group2"
"64",0.2,0.491995133819951,0.0199989810290201,0.00199989810290201,"unweighted","Group2"
"65",0.25,0.454671532846715,0.0197200407960605,0.00197200407960605,"unweighted","Group2"
"66",0.3,0.419172749391727,0.0215636947175794,0.00215636947175794,"unweighted","Group2"
"67",0.35,0.384452554744526,0.0231740898909159,0.00231740898909159,"unweighted","Group2"
"68",0.4,0.346593673965937,0.0244054376967088,0.00244054376967088,"unweighted","Group2"
"69",0.45,0.316496350364963,0.0246135612379138,0.00246135612379138,"unweighted","Group2"
"70",0.5,0.276107055961071,0.023323231520398,0.0023323231520398,"unweighted","Group2"
"71",0.55,0.23970802919708,0.0220826657258064,0.00220826657258064,"unweighted","Group2"
"72",0.6,0.204574209245742,0.0199911606120734,0.00199911606120734,"unweighted","Group2"
"73",0.65,0.172579075425791,0.0212906927849058,0.00212906927849058,"unweighted","Group2"
"74",0.7,0.140389294403893,0.0193646200958002,0.00193646200958002,"unweighted","Group2"
"75",0.75,0.107980535279805,0.0170080202055154,0.00170080202055154,"unweighted","Group2"
