,KO1,KO2,KO3,KO4,KO5,KO6
OE1,0.32024407376427,0.321033548573095,0.335351734310374,0.349306670407686,0.28110105537361,0.21406149116389
WT1,0.417505590116549,0.393794487437802,0.263093669573331,0.349328318104849,0.320898610397503,0.459932516486216
unknown,0.262250336119181,0.285171963989103,0.401554596116295,0.301365011487466,0.398000334228887,0.326005992349894
