SampleID	Depth	Temperature	Salinity	Density	DO	Turbidity	PO4	SiO3	NO2	NO3	NH4
KO1	3	21.3079	26.0646	1017.6401	7.61521	7.553	0.77	35.79	0.9	32.65	1.69
KO2	10	21.7933	29.1307	1019.8647	7.58181	1.817	0.59	25.8	1.09	20.95	1.14
KO3	2	22.4237	32.3979	1022.1328	7.38969	0.646	0.21	11.82	0.96	5.62	1.54
KO4	30	22.6012	33.6201	1023.1313	6.30204	0.607	0.19	12.94	0.85	3.5	1.04
KO5	2	21.8078	31.2943	1021.4663	8.17368	0.576	0.08	5.58	0.75	5.55	1.31
KO6	30	22.8308	33.8802	1023.2631	7.07057	0.154	0.1	8.8	0.64	0.98	1.1
OE1	66	21.5031	34.3717	1024.1654	4.28852	7.729	0.55	21.77	0.16	9.82	1
OE2	3	23.0419	33.9418	1023.1323	7.31821	0.337	0.09	13.26	0.15	0.67	1.06
OE3	30	22.9258	34.0016	1023.328	3.45674	0.237	0.18	13.17	0.44	1.55	0.91
OE4	5	23.2389	33.845	1023.0108	7.13686	0.361	0.16	7.03	0.32	1.3	1.07
OE5	30	23.256	33.8642	1023.1288	6.99194	0.473	0.1	7.6	0.48	1.58	1.25
OE6	63	22.9848	33.9965	1023.4503	5.21924	4.805	0.34	13.08	0.52	5.41	1.12
WT1	2	23.3447	33.7996	1022.9329	7.25427	0.293	0.09	10.38	0.24	0.91	0.99
WT2	30	23.3333	33.8053	1023.0618	7.05677	0.405	0.14	10.82	0.74	1.45	1.09
WT3	56	23.2678	33.8286	1023.2111	6.75203	1.593	0.13	7.46	0.74	1.44	1.01
WT4	5	23.6875	34.0718	1023.0522	7.37935	0.298	0.04	6.61	0.29	0.31	1.05
WT5	30	23.6139	34.0998	1023.2032	7.30635	0.285	0.04	8.34	0.35	0.31	1.01
WT6	5	23.7965	34.1361	1023.069	7.05581	0.805	0.09	18.66	0.77	0.85	1.04
