Species	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
Bacteria|Actinobacteria|Thermoleophilia|Solirubrobacterales|Conexibacteraceae|Conexibacter|stalactiti	33	38	14	19	26	48	54	37	34	28	37	56	21	17	26	19	31	33
Bacteria|Actinobacteria|Thermoleophilia|Solirubrobacterales|Parviterribacteraceae|Parviterribacter|kavangonensis	1	3	0	1	2	1	3	2	2	5	3	2	2	0	2	1	6	1
Bacteria|Actinobacteria|Thermoleophilia|Solirubrobacterales|Parviterribacteraceae|Parviterribacter|multiflagellatus	3	7	3	4	5	7	5	9	6	6	6	7	14	9	5	15	3	5
Bacteria|Actinobacteria|Thermoleophilia|Solirubrobacterales|Unassigned|Unassigned|Unassigned	26	25	9	18	15	28	46	26	17	18	32	40	18	19	19	15	19	15
Bacteria|Actinobacteria|Thermoleophilia|Thermoleophilales|Thermoleophilaceae|Thermoleophilum|minutum	8	14	14	22	13	18	21	23	14	12	17	19	16	13	13	12	12	15
Bacteria|Actinobacteria|Thermoleophilia|Unassigned|Unassigned|Unassigned|Unassigned	9	18	13	11	6	10	14	22	9	30	16	12	17	16	16	11	16	13
Bacteria|Actinobacteria|Unassigned|Unassigned|Unassigned|Unassigned|Unassigned	14	28	7	16	2	33	15	34	23	10	16	19	23	10	28	14	11	17
Bacteria|Bacteroidetes|Chitinophagia|Chitinophagales|Chitinophagaceae|Compostibacter|hankyongensis	2	2	0	3	3	0	1	4	0	1	0	1	1	3	0	2	0	1
Bacteria|Bacteroidetes|Chitinophagia|Chitinophagales|Chitinophagaceae|Flavitalea|flava	1	0	0	0	0	0	8	3	3	3	2	4	2	3	4	0	1	2
Bacteria|Bacteroidetes|Chitinophagia|Chitinophagales|Chitinophagaceae|Niastella|hibisci	15	7	8	7	3	9	52	29	54	44	33	23	41	58	37	43	30	18
Bacteria|Bacteroidetes|Cytophagia|Cytophagales|Cyclobacteriaceae|Algoriphagus|shivajiensis	2	3	3	2	1	1	3	3	20	6	1	4	7	5	6	10	2	5
Bacteria|Bacteroidetes|Cytophagia|Cytophagales|Cyclobacteriaceae|Algoriphagus|trabzonensis	6	1	5	4	1	4	8	5	14	9	9	4	9	10	8	2	10	6
Bacteria|Bacteroidetes|Cytophagia|Cytophagales|Cytophagaceae|Chryseotalea|sanaruensis	65	49	16	11	43	4	64	25	42	154	28	33	59	46	76	75	26	44
Bacteria|Bacteroidetes|Cytophagia|Cytophagales|Cytophagaceae|Spirosoma|Unassigned	2	0	1	2	0	1	3	2	4	3	1	1	4	2	1	1	0	2
Bacteria|Bacteroidetes|Cytophagia|Cytophagales|Fulvivirgaceae|Chryseolinea|flava	40	24	9	21	6	10	90	62	73	80	80	45	63	71	74	83	41	52
Bacteria|Bacteroidetes|Cytophagia|Cytophagales|Hymenobacteraceae|Unassigned|Unassigned	1	1	0	0	2	0	0	3	4	1	3	2	2	6	4	0	0	3
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Cryomorphaceae|Crocinitomix|algicola	4	4	5	4	2	1	8	5	13	13	7	12	8	19	14	14	15	5
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Flavobacterium|amnicola	0	0	3	1	0	0	0	1	1	12	0	0	4	1	1	0	1	0
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Flavobacterium|amniphilum	81	43	415	143	436	78	47	437	288	178	65	76	258	310	187	81	199	275
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Flavobacterium|anseonense	0	0	1	0	0	15	1	0	4	0	0	2	1	0	0	0	1	0
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Flavobacterium|brevivitae	10	44	223	108	59	82	71	266	199	180	128	50	98	105	75	55	178	199
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Flavobacterium|circumlabens	5	2	0	2	3	1	0	3	5	3	1	3	3	1	0	3	5	3
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Flavobacterium|edaphi	1	0	6	1	1	0	1	0	0	3	5	2	0	2	0	3	0	0
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Flavobacterium|flaviflagrans	0	6	1	0	8	0	1	1	0	0	2	3	0	6	0	1	3	1
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Flavobacterium|hydrophilum	69	86	248	38	28	41	17	15	202	132	13	37	44	44	30	18	38	30
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Flavobacterium|limi	0	0	1	0	1	2	0	9	2	1	0	0	4	7	0	0	0	0
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Flavobacterium|maris	1	10	7	1	34	1	1	0	2	1	1	10	3	2	0	0	3	2
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Flavobacterium|psychroterrae	5	0	7	14	2	3	18	8	11	6	3	22	28	28	10	6	7	4
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Flavobacterium|Unassigned	0	14	4	0	4	1	0	2	3	1	4	1	0	0	0	0	0	2
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae|Flavobacterium|zhairuonense	0	2	1	0	0	0	2	0	2	4	2	2	0	3	0	22	0	0
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Weeksellaceae|Chryseobacterium|shandongense	0	3	1	2	1	1	0	12	7	6	6	2	2	0	6	1	2	2
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Weeksellaceae|Chryseobacterium|zhengzhouense	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	25	1	0
Bacteria|Bacteroidetes|Sphingobacteriia|Sphingobacteriales|Sphingobacteriaceae|Pedobacter|Unassigned	9	7	7	13	20	3	4	6	12	10	7	10	12	30	7	8	15	16
Bacteria|Bacteroidetes|Sphingobacteriia|Sphingobacteriales|Sphingobacteriaceae|Sphingobacterium|Unassigned	5	0	1	1	2	0	2	1	1	1	4	2	1	1	3	0	2	2
Bacteria|Bacteroidetes|Unassigned|Unassigned|Unassigned|Unassigned|Unassigned	2	2	0	2	0	5	1	1	0	7	0	0	0	0	1	0	0	3
Bacteria|Chlamydiae|Chlamydiia|Chlamydiales|Chlamydiaceae|Chlamydia|avium	2	1	0	0	1	3	5	2	4	8	1	0	0	1	10	1	0	7
Bacteria|Chloroflexi|Chloroflexia|Chloroflexales|Chloroflexaceae|Chloroflexus|islandicus	42	56	22	41	38	18	39	72	52	43	37	46	68	38	48	49	25	53
Bacteria|Chloroflexi|Chloroflexia|Herpetosiphonales|Herpetosiphonaceae|Herpetosiphon|giganteus	98	133	41	100	147	75	83	190	61	103	161	109	376	57	106	111	168	152
Bacteria|Chloroflexi|Chloroflexia|Unassigned|Unassigned|Unassigned|Unassigned	0	0	0	0	0	0	0	1	0	0	0	1	4	0	0	28	2	0
Bacteria|Firmicutes|Bacilli|Bacillales|Alicyclobacillaceae|Tumebacillus|avium	0	0	0	1	1	4	4	4	0	3	19	1	1	3	0	10	0	0
Bacteria|Firmicutes|Bacilli|Bacillales|Bacillaceae|Unassigned|Unassigned	104	108	64	69	45	107	336	149	198	207	116	386	56	42	71	51	40	76
Bacteria|Firmicutes|Bacilli|Bacillales|Paenibacillaceae|Unassigned|Unassigned	40	40	83	330	18	71	191	106	42	92	29	69	22	16	29	27	19	19
Bacteria|Firmicutes|Bacilli|Bacillales|Planococcaceae|Lysinibacillus|cresolivorans	2	2	0	0	1	1	5	2	2	0	1	22	0	0	0	0	2	1
Bacteria|Firmicutes|Bacilli|Bacillales|Planococcaceae|Lysinibacillus|Unassigned	1	0	1	1	0	1	5	3	1	0	3	2	0	0	2	1	1	0
Bacteria|Firmicutes|Bacilli|Bacillales|Planococcaceae|Psychrobacillus|soli	3	3	3	6	1	3	4	0	4	1	12	5	2	3	3	2	2	3
Bacteria|Firmicutes|Bacilli|Bacillales|Thermoactinomycetaceae|Unassigned|Unassigned	6	12	5	13	3	4	4	18	13	4	9	14	1	1	5	9	3	13
Bacteria|Firmicutes|Bacilli|Bacillales|Unassigned|Unassigned|Unassigned	6	5	5	5	9	2	12	11	5	9	10	12	8	5	11	4	1	2
Bacteria|Firmicutes|Bacilli|Lactobacillales|Unassigned|Unassigned|Unassigned	4	2	11	2	2	10	6	2	1	7	0	6	1	0	6	0	2	2
Bacteria|Firmicutes|Bacilli|Unassigned|Unassigned|Unassigned|Unassigned	49	108	46	37	69	55	52	53	21	47	38	44	46	17	33	18	48	36
Bacteria|Firmicutes|Clostridia|Clostridiales|Clostridiaceae|Unassigned|Unassigned	0	37	3	1	6	4	6	3	10	1	12	2	1	5	5	0	18	9
Bacteria|Firmicutes|Clostridia|Clostridiales|Lachnospiraceae|Caecibacterium|sporoformans	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
Bacteria|Firmicutes|Clostridia|Clostridiales|Peptostreptococcaceae|Romboutsia|timonensis	0	0	2	1	1	1	2	1	1	1	1	7	0	2	0	1	1	2
Bacteria|Firmicutes|Clostridia|Clostridiales|Unassigned|Unassigned|Unassigned	0	0	2	2	17	1	0	10	0	2	2	0	0	0	4	1	0	6
Bacteria|Firmicutes|Clostridia|Unassigned|Unassigned|Unassigned|Unassigned	2	3	1	2	0	0	5	2	0	2	0	4	1	0	0	13	0	2
Bacteria|Firmicutes|Unassigned|Unassigned|Unassigned|Unassigned|Unassigned	1	1	4	2	1	7	0	0	1	2	3	3	0	1	0	2	0	1
Bacteria|Gemmatimonadetes|Gemmatimonadetes|Gemmatimonadales|Gemmatimonadaceae|Gemmatimonas|phototrophica	2	3	2	2	0	1	3	1	2	1	0	3	0	4	2	2	1	4
Bacteria|Gemmatimonadetes|Gemmatimonadetes|Gemmatimonadales|Gemmatimonadaceae|Gemmatirosa|kalamazoonesis	14	18	11	12	7	12	19	20	15	13	17	13	9	11	11	15	11	16
Bacteria|Nitrospirae|Nitrospira|Nitrospirales|Nitrospiraceae|Nitrospira|japonica	5	7	5	8	3	9	16	11	13	8	13	18	12	10	14	41	15	20
Bacteria|Planctomycetes|Phycisphaerae|Phycisphaerales|Phycisphaeraceae|Algisphaera|agarilytica	4	5	0	2	0	1	4	1	0	0	2	5	2	1	1	4	1	3
Bacteria|Planctomycetes|Planctomycetacia|Pirellulales|Lacipirellulaceae|Bythopirellula|goksoyri	1	7	3	1	0	3	9	10	7	4	10	10	5	3	5	4	7	1
Bacteria|Planctomycetes|Planctomycetacia|Pirellulales|Lacipirellulaceae|Lacipirellula|parvula	1	13	8	2	0	2	34	53	21	7	12	27	13	13	15	11	4	5
Bacteria|Planctomycetes|Planctomycetacia|Planctomycetales|Isosphaeraceae|Paludisphaera|borealis	2	2	3	3	1	3	11	6	3	8	6	5	4	3	6	1	3	4
Bacteria|Proteobacteria|Alphaproteobacteria|Caulobacterales|Caulobacteraceae|Aquidulcibacter|paucihalophilus	16	16	9	9	15	8	23	11	8	13	24	15	15	13	15	18	14	26
Bacteria|Proteobacteria|Alphaproteobacteria|Caulobacterales|Caulobacteraceae|Brevundimonas|balnearis	2	7	10	5	10	8	3	11	2	2	7	1	0	4	4	10	5	4
Bacteria|Proteobacteria|Alphaproteobacteria|Caulobacterales|Caulobacteraceae|Brevundimonas|lutea	4	2	6	15	14	6	2	1	6	2	3	3	1	18	2	4	5	1
Bacteria|Proteobacteria|Alphaproteobacteria|Caulobacterales|Caulobacteraceae|Brevundimonas|mongoliensis	11	7	13	22	16	4	9	10	0	3	4	7	5	2	8	4	6	2
Bacteria|Proteobacteria|Alphaproteobacteria|Caulobacterales|Caulobacteraceae|Brevundimonas|olei	6	0	0	0	14	0	0	0	1	1	0	0	3	0	0	0	1	0
Bacteria|Proteobacteria|Alphaproteobacteria|Caulobacterales|Caulobacteraceae|Caulobacter|flavus	29	35	48	48	43	45	22	15	21	21	28	16	30	44	25	27	56	19
Bacteria|Proteobacteria|Alphaproteobacteria|Caulobacterales|Caulobacteraceae|Caulobacter|hibisci	13	7	7	5	7	14	9	23	6	8	5	11	10	7	7	11	7	14
Bacteria|Proteobacteria|Alphaproteobacteria|Caulobacterales|Caulobacteraceae|Caulobacter|rhizosphaerae	12	12	9	14	5	17	9	12	13	9	29	11	14	10	3	11	8	10
Bacteria|Proteobacteria|Alphaproteobacteria|Caulobacterales|Caulobacteraceae|Phenylobacterium|hankyongense	70	53	81	66	106	79	47	37	27	45	69	51	60	72	48	50	46	61
Bacteria|Proteobacteria|Alphaproteobacteria|Caulobacterales|Caulobacteraceae|Phenylobacterium|mobile	0	2	1	1	0	8	5	2	0	0	3	5	1	1	1	1	0	0
Bacteria|Proteobacteria|Alphaproteobacteria|Caulobacterales|Caulobacteraceae|Phenylobacterium|Unassigned	8	10	8	7	15	9	6	3	4	4	7	5	6	6	12	9	8	6
Bacteria|Proteobacteria|Alphaproteobacteria|Caulobacterales|Caulobacteraceae|Phenylobacterium|zucineum	34	66	39	5	11	150	48	13	15	61	24	20	81	14	20	37	34	27
Bacteria|Proteobacteria|Alphaproteobacteria|Caulobacterales|Caulobacteraceae|Unassigned|Unassigned	13	13	18	10	7	12	22	14	16	19	13	21	9	19	21	18	5	21
Bacteria|Proteobacteria|Alphaproteobacteria|Caulobacterales|Hyphomonadaceae|Asprobacter|aquaticus	7	5	1	2	0	3	7	9	3	6	0	9	5	1	5	4	10	5
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Aurantimonadaceae|Aureimonas|Unassigned	8	10	2	8	8	10	2	4	7	5	7	12	8	7	8	3	6	3
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Bartonellaceae|Bartonella|heixiaziensis	6	10	5	4	9	9	10	5	4	4	9	3	3	2	9	8	2	3
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Boseaceae|Bosea|vaviloviae	42	45	118	155	97	56	44	56	24	28	53	32	51	36	34	62	88	58
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Bradyrhizobiaceae|Bradyrhizobium|erythrophlei	7	20	4	6	21	19	10	9	2	19	7	5	10	9	10	9	11	13
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Bradyrhizobiaceae|Bradyrhizobium|ferriligni	162	233	214	172	188	220	243	148	150	132	201	211	160	146	187	207	160	204
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Bradyrhizobiaceae|Bradyrhizobium|guangxiense	12	13	14	8	15	13	14	10	9	9	10	9	11	9	11	13	13	13
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Bradyrhizobiaceae|Bradyrhizobium|valentinum	29	35	37	32	34	30	34	31	15	24	47	17	23	24	31	23	36	28
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Bradyrhizobiaceae|Bradyrhizobium|vignae	4	1	8	2	1	1	7	6	2	1	0	4	2	3	1	1	3	3
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Bradyrhizobiaceae|Pseudorhodoplanes|sinuspersici	73	73	102	108	34	85	84	43	51	58	58	60	28	33	76	76	37	80
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Bradyrhizobiaceae|Rhodoplanes|azumiensis	5	7	1	7	7	4	8	4	5	3	4	9	5	5	2	4	4	3
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Bradyrhizobiaceae|Rhodoplanes|tepidicaeni	19	31	16	9	8	30	38	22	27	17	17	19	16	14	22	27	16	16
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Bradyrhizobiaceae|Rhodoplanes|Unassigned	63	81	111	93	85	82	88	65	49	65	68	82	55	68	79	52	57	67
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Bradyrhizobiaceae|Rhodopseudomonas|boonkerdii	6	2	14	0	0	0	0	0	0	0	1	1	2	2	0	0	2	0
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Devosiaceae|Devosia|confluentis	0	5	1	2	1	4	5	4	6	3	4	6	4	0	2	2	1	2
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Devosiaceae|Devosia|elaeis	6	3	1	2	3	5	6	5	5	6	4	2	2	3	2	2	2	3
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Devosiaceae|Devosia|honganensis	8	3	18	21	110	26	1	39	1	10	12	10	1	4	14	12	17	36
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Devosiaceae|Devosia|humi	82	65	72	88	100	77	49	41	23	58	58	41	48	58	49	46	53	54
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Devosiaceae|Devosia|indica	23	21	46	32	43	26	17	11	18	15	23	14	9	14	9	19	24	21
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Devosiaceae|Devosia|marina	12	9	9	10	22	5	2	7	3	8	9	6	9	6	4	2	7	8
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Devosiaceae|Devosia|naphthalenivorans	22	24	53	19	64	59	21	41	15	17	13	8	13	15	22	15	21	15
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Devosiaceae|Devosia|nitrariae	16	12	20	11	20	36	11	19	6	10	17	14	7	11	9	5	8	10
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Devosiaceae|Devosia|Unassigned	3	2	7	3	1	0	3	3	1	2	3	2	3	3	3	2	1	2
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Devosiaceae|Unassigned|Unassigned	7	8	14	13	16	11	14	4	6	4	9	7	5	9	7	6	8	16
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Hyphomicrobiaceae|Hyphomicrobium|facile	114	113	165	94	81	97	139	91	51	84	101	120	73	64	75	62	49	110
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Methylobacteriaceae|Microvirga|makkahensis	7	12	2	9	10	9	16	9	8	12	9	22	5	7	3	7	8	9
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Methylobacteriaceae|Microvirga|Unassigned	12	22	1	3	5	10	19	7	8	8	9	10	6	5	5	11	4	4
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Phyllobacteriaceae|Mesorhizobium|acaciae	5	4	1	5	5	22	3	3	7	2	9	5	5	0	7	1	3	8
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Phyllobacteriaceae|Mesorhizobium|carbonis	1	4	1	3	0	5	6	3	0	0	1	3	3	1	1	1	3	2
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Phyllobacteriaceae|Mesorhizobium|carmichaelinearum	21	21	32	40	33	35	16	22	21	25	28	23	24	23	21	42	41	23
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Phyllobacteriaceae|Mesorhizobium|ephedrae	12	10	4	11	12	4	9	7	7	7	4	7	11	5	7	4	5	3
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Phyllobacteriaceae|Mesorhizobium|hankyongi	3	6	8	10	6	8	9	6	5	7	7	5	3	3	6	3	10	9
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Phyllobacteriaceae|Mesorhizobium|sophorae	3	5	4	1	2	6	1	0	1	4	4	2	4	3	1	6	4	3
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Phyllobacteriaceae|Mesorhizobium|Unassigned	25	40	33	31	30	33	43	26	31	35	37	37	25	24	44	47	18	34
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Phyllobacteriaceae|Mesorhizobium|waimense	14	8	13	12	12	7	16	10	3	11	16	10	8	12	7	18	19	10
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Phyllobacteriaceae|Nitratireductor|aestuarii	7	5	5	5	6	15	12	7	7	4	8	7	4	1	8	4	2	4
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Phyllobacteriaceae|Nitratireductor|soli	18	18	3	31	27	53	11	7	19	9	12	15	31	18	15	10	16	13
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Phyllobacteriaceae|Nitratireductor|Unassigned	2	2	0	5	2	7	5	1	1	4	0	4	1	2	4	1	4	2
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Phyllobacteriaceae|Roseitalea|porphyridii	9	14	4	3	20	3	0	1	5	2	4	4	0	23	2	1	4	3
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Phyllobacteriaceae|Unassigned|Unassigned	11	4	9	12	6	12	15	13	5	7	12	13	12	10	9	7	10	10
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Pleomorphomonadaceae|Chthonobacter|albigriseus	7	4	8	8	21	8	6	5	7	5	6	4	8	11	22	4	11	8
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Rhizobiaceae|Agrobacterium|arsenijevicii	4	1	10	0	7	1	0	2	5	8	5	3	1	5	6	2	1	5
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Rhizobiaceae|Agrobacterium|radiobacter	6	0	0	3	2	0	0	8	3	21	19	7	0	7	2	17	3	4
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Rhizobiaceae|Ensifer|alkalisoli	5	1	1	5	3	1	2	2	2	7	2	1	2	3	5	4	1	2
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Rhizobiaceae|Ensifer|shofinae	27	27	67	55	79	56	21	23	22	22	26	30	21	43	14	32	38	39
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Rhizobiaceae|Ensifer|Unassigned	0	0	6	0	1	4	1	0	0	0	0	0	0	4	0	3	2	1
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Rhizobiaceae|Pararhizobium|polonicum	115	129	232	264	376	244	76	71	82	108	144	104	138	201	85	97	193	95
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Rhizobiaceae|Rhizobium|acidisoli	5	1	9	7	2	4	0	4	1	5	6	6	2	3	9	4	1	1
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Rhizobiaceae|Rhizobium|azooxidifex	26	17	46	41	48	16	23	25	23	42	37	41	16	24	23	26	19	16
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Rhizobiaceae|Rhizobium|favelukesii	2	5	6	9	10	2	3	3	0	2	1	5	2	5	3	4	3	1
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Rhizobiaceae|Rhizobium|helianthi	10	2	1	0	2	0	1	1	4	0	0	1	0	0	1	1	1	0
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Rhizobiaceae|Rhizobium|Unassigned	20	1	32	4	3	11	2	6	4	6	7	12	2	5	7	11	1	2
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Rhizobiaceae|Rhizobium|wenxiniae	13	0	3	3	4	8	2	1	2	4	4	18	2	0	4	0	2	6
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Rhizobiaceae|Shinella|curvata	48	42	128	74	134	77	54	87	27	60	80	34	59	86	33	70	119	85
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Rhizobiaceae|Shinella|pollutisoli	6	19	48	23	31	17	15	30	11	24	32	7	14	13	19	13	37	30
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Rhizobiaceae|Unassigned|Unassigned	67	42	79	69	80	57	88	80	56	54	87	108	30	37	70	59	79	52
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Unassigned|Unassigned|Unassigned	84	100	148	67	90	99	101	66	69	68	67	69	53	61	100	54	41	66
Bacteria|Proteobacteria|Alphaproteobacteria|Rhodospirillales|Azospirillaceae|Azospirillum|palustre	9	10	5	4	2	8	13	12	15	5	10	7	8	6	11	13	6	8
Bacteria|Proteobacteria|Alphaproteobacteria|Rhodospirillales|Azospirillaceae|Skermanella|Unassigned	2	5	1	1	1	4	2	0	3	1	0	4	0	0	21	3	0	3
Bacteria|Proteobacteria|Alphaproteobacteria|Rhodospirillales|Azospirillaceae|Unassigned|Unassigned	2	2	6	4	1	1	4	3	4	2	3	3	3	3	0	3	2	3
Bacteria|Proteobacteria|Alphaproteobacteria|Rhodospirillales|Geminicoccaceae|Arboricoccus|pini	9	10	7	10	3	8	12	5	10	7	12	19	8	10	4	5	7	10
Bacteria|Proteobacteria|Alphaproteobacteria|Rhodospirillales|Reyranellaceae|Reyranella|aquatilis	18	23	29	15	5	26	26	14	18	17	14	23	17	11	17	25	9	12
Bacteria|Proteobacteria|Alphaproteobacteria|Rhodospirillales|Rhodospirillaceae|Dongia|soli	44	58	33	35	20	24	113	66	60	60	63	66	59	54	54	74	30	46
Bacteria|Proteobacteria|Alphaproteobacteria|Rhodospirillales|Thalassobaculaceae|Oceanibaculum|nanhaiense	3	6	1	2	0	3	3	6	5	3	5	6	4	3	1	3	3	4
Bacteria|Proteobacteria|Alphaproteobacteria|Rhodospirillales|Unassigned|Unassigned|Unassigned	19	18	23	6	22	19	32	13	14	17	15	21	11	24	29	17	17	20
Bacteria|Proteobacteria|Alphaproteobacteria|Rickettsiales|Anaplasmataceae|Anaplasma|odocoilei	0	2	0	0	4	3	1	3	0	0	1	3	0	3	4	2	0	2
Bacteria|Proteobacteria|Alphaproteobacteria|Sneathiellales|Sneathiellaceae|Ferrovibrio|soli	5	7	4	4	9	5	4	6	1	4	8	7	10	10	5	24	11	12
Bacteria|Proteobacteria|Alphaproteobacteria|Sneathiellales|Sneathiellaceae|Ferrovibrio|terrae	3	1	7	1	1	5	6	5	4	3	5	8	7	2	5	7	5	6
Bacteria|Proteobacteria|Alphaproteobacteria|Sneathiellales|Sneathiellaceae|Marinibaculum|pumilum	6	1	0	3	3	3	8	2	7	2	2	2	5	2	3	9	1	1
Bacteria|Proteobacteria|Alphaproteobacteria|Sphingomonadales|Erythrobacteraceae|Altererythrobacter|aerius	17	15	20	24	36	28	17	18	12	15	19	12	8	18	20	18	24	11
Bacteria|Proteobacteria|Alphaproteobacteria|Sphingomonadales|Erythrobacteraceae|Altererythrobacter|fulvus	0	2	3	1	8	3	1	7	0	0	3	2	1	2	3	1	7	5
Bacteria|Proteobacteria|Alphaproteobacteria|Sphingomonadales|Erythrobacteraceae|Altererythrobacter|Unassigned	7	1	1	1	4	3	11	13	7	10	4	2	2	8	10	5	8	5
Bacteria|Proteobacteria|Alphaproteobacteria|Sphingomonadales|Erythrobacteraceae|Novosphingobium|naphthae	2	0	5	2	0	1	2	2	0	0	3	0	0	2	3	0	0	5
Bacteria|Proteobacteria|Alphaproteobacteria|Sphingomonadales|Erythrobacteraceae|Novosphingobium|Unassigned	7	11	12	8	15	27	13	13	4	6	9	10	6	6	8	10	4	10
Bacteria|Proteobacteria|Alphaproteobacteria|Sphingomonadales|Sphingomonadaceae|Sphingomonas|aracearum	60	55	181	168	148	80	38	26	47	31	43	53	40	93	39	76	43	44
Bacteria|Proteobacteria|Alphaproteobacteria|Sphingomonadales|Sphingomonadaceae|Sphingomonas|deserti	11	32	14	8	11	32	23	11	5	12	9	15	9	8	7	28	9	11
Bacteria|Proteobacteria|Alphaproteobacteria|Sphingomonadales|Sphingomonadaceae|Sphingomonas|ginkgonis	2	2	4	3	6	3	3	6	2	1	2	3	0	3	3	3	2	2
