Species	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Promicromonosporaceae|Isoptericola|Unassigned	3	2	0	0	1	3	0	1	1	0	3	0	1	6	6	3	0	1
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Promicromonosporaceae|Promicromonospora|alba	13	12	9	3	7	33	16	4	2	6	46	26	9	15	10	12	6	15
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Promicromonosporaceae|Promicromonospora|callitridis	7	18	6	25	2	18	10	9	10	5	11	6	5	9	9	7	5	4
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Promicromonosporaceae|Promicromonospora|kermanensis	3	10	0	1	2	1	4	5	5	4	0	1	1	0	2	1	4	1
Bacteria|Actinobacteria|Actinobacteria|Micromonosporales|Micromonosporaceae|Actinoplanes|bogorensis	68	62	58	108	22	95	66	87	84	81	91	59	89	76	71	64	92	43
Bacteria|Actinobacteria|Actinobacteria|Micromonosporales|Micromonosporaceae|Actinoplanes|lichenis	117	274	130	162	93	185	120	147	227	153	208	145	189	113	144	155	262	203
Bacteria|Actinobacteria|Actinobacteria|Micromonosporales|Micromonosporaceae|Actinoplanes|luteus	20	18	3	18	3	21	13	17	32	21	17	19	14	2	11	14	9	30
Bacteria|Actinobacteria|Actinobacteria|Micromonosporales|Micromonosporaceae|Actinoplanes|ramoplaninifer	19	10	16	9	15	23	17	47	62	38	26	15	22	23	16	26	5	14
Bacteria|Actinobacteria|Actinobacteria|Micromonosporales|Micromonosporaceae|Actinoplanes|rhizophilus	0	24	1	6	0	4	4	9	8	1	5	3	5	13	9	10	0	4
Bacteria|Actinobacteria|Actinobacteria|Micromonosporales|Micromonosporaceae|Actinoplanes|subglobosus	16	13	3	2	11	8	20	16	24	9	11	4	4	4	6	19	9	8
Bacteria|Actinobacteria|Actinobacteria|Micromonosporales|Micromonosporaceae|Actinoplanes|subtropicus	42	68	84	30	30	47	49	64	91	42	71	43	52	94	71	63	58	83
Bacteria|Actinobacteria|Actinobacteria|Micromonosporales|Micromonosporaceae|Actinoplanes|tropicalis	6	7	3	4	3	3	3	10	10	7	3	5	7	6	9	4	3	4
Bacteria|Actinobacteria|Actinobacteria|Micromonosporales|Micromonosporaceae|Actinoplanes|Unassigned	16	34	54	19	13	14	26	31	24	20	23	32	27	6	24	18	15	29
Bacteria|Actinobacteria|Actinobacteria|Micromonosporales|Micromonosporaceae|Catellatospora|paridis	16	25	13	21	6	11	29	32	22	11	28	12	27	15	23	11	12	27
Bacteria|Actinobacteria|Actinobacteria|Micromonosporales|Micromonosporaceae|Catellatospora|sichuanensis	36	48	16	28	37	3	19	31	17	14	20	16	13	15	21	18	14	30
Bacteria|Actinobacteria|Actinobacteria|Micromonosporales|Micromonosporaceae|Catellatospora|Unassigned	9	3	1	4	2	1	8	7	4	3	7	4	2	2	3	5	7	2
Bacteria|Actinobacteria|Actinobacteria|Micromonosporales|Micromonosporaceae|Dactylosporangium|cerinum	11	26	12	12	4	10	25	18	14	15	13	17	17	13	13	12	19	14
Bacteria|Actinobacteria|Actinobacteria|Micromonosporales|Micromonosporaceae|Dactylosporangium|solaniradicis	1	5	0	0	0	3	3	4	1	2	0	1	5	1	10	1	4	2
Bacteria|Actinobacteria|Actinobacteria|Micromonosporales|Micromonosporaceae|Dactylosporangium|sucinum	4	12	9	4	1	7	5	7	2	8	7	4	5	7	7	12	1	41
Bacteria|Actinobacteria|Actinobacteria|Micromonosporales|Micromonosporaceae|Hamadaea|flava	6	14	6	7	3	9	4	21	10	5	6	13	10	20	24	6	9	13
Bacteria|Actinobacteria|Actinobacteria|Micromonosporales|Micromonosporaceae|Mangrovihabitans|endophyticus	4	3	0	0	0	6	4	2	0	1	0	6	2	0	2	3	8	0
Bacteria|Actinobacteria|Actinobacteria|Micromonosporales|Micromonosporaceae|Micromonospora|globbae	15	15	1	11	9	10	22	27	10	15	7	30	16	6	14	11	7	11
Bacteria|Actinobacteria|Actinobacteria|Micromonosporales|Micromonosporaceae|Micromonospora|ovatispora	17	22	66	10	8	9	21	28	11	18	25	14	16	29	28	21	9	22
Bacteria|Actinobacteria|Actinobacteria|Micromonosporales|Micromonosporaceae|Micromonospora|terminaliae	3	6	3	7	18	8	3	10	12	8	2	12	8	2	10	4	2	7
Bacteria|Actinobacteria|Actinobacteria|Micromonosporales|Micromonosporaceae|Micromonospora|Unassigned	4	8	7	4	1	3	8	5	6	7	11	11	10	6	8	6	5	5
Bacteria|Actinobacteria|Actinobacteria|Micromonosporales|Micromonosporaceae|Micromonospora|zingiberis	30	38	29	5	0	9	9	14	53	14	11	15	8	12	10	14	20	6
Bacteria|Actinobacteria|Actinobacteria|Micromonosporales|Micromonosporaceae|Phytohabitans|kaempferiae	1	10	0	1	0	0	1	4	3	2	2	0	4	2	5	1	2	2
Bacteria|Actinobacteria|Actinobacteria|Micromonosporales|Micromonosporaceae|Unassigned|endophytica	4	15	1	4	10	4	6	7	3	6	10	7	6	11	9	7	7	6
Bacteria|Actinobacteria|Actinobacteria|Micromonosporales|Micromonosporaceae|Unassigned|Unassigned	22	32	8	6	10	10	28	23	17	19	19	21	16	10	15	15	15	15
Bacteria|Actinobacteria|Actinobacteria|Micromonosporales|Micromonosporaceae|Verrucosispora|endophytica	5	14	10	2	2	5	4	9	7	9	7	5	3	4	5	4	3	10
Bacteria|Actinobacteria|Actinobacteria|Micromonosporales|Micromonosporaceae|Virgisporangium|myanmarense	46	47	57	38	8	15	39	44	35	29	14	27	48	17	30	18	15	45
Bacteria|Actinobacteria|Actinobacteria|Micromonosporales|Micromonosporaceae|Wangella|harbinensis	24	33	4	13	4	17	22	49	11	7	14	21	36	38	42	21	56	22
Bacteria|Actinobacteria|Actinobacteria|Mycobacteriales|Mycobacteriaceae|Mycobacterium|anyangense	4	3	3	2	1	0	4	1	0	1	1	1	1	1	2	1	6	4
Bacteria|Actinobacteria|Actinobacteria|Mycobacteriales|Mycobacteriaceae|Mycobacterium|aquaticum	1	4	3	6	1	1	2	0	3	6	1	2	4	0	2	1	0	0
Bacteria|Actinobacteria|Actinobacteria|Mycobacteriales|Mycobacteriaceae|Mycobacterium|aquiterrae	8	6	4	1	1	3	6	6	6	5	1	3	7	2	3	1	1	0
Bacteria|Actinobacteria|Actinobacteria|Mycobacteriales|Mycobacteriaceae|Mycobacterium|bacteremicum	31	20	20	1	3	7	9	5	0	8	7	3	3	4	3	11	15	3
Bacteria|Actinobacteria|Actinobacteria|Mycobacteriales|Mycobacteriaceae|Mycobacterium|lutetiense	7	10	15	9	6	7	3	13	7	4	5	8	5	8	34	8	4	4
Bacteria|Actinobacteria|Actinobacteria|Mycobacteriales|Mycobacteriaceae|Mycobacterium|sarraceniae	1	6	2	1	0	1	3	4	4	4	2	6	5	2	3	0	1	6
Bacteria|Actinobacteria|Actinobacteria|Mycobacteriales|Mycobacteriaceae|Mycobacterium|Unassigned	2	13	10	9	3	4	16	5	10	6	9	10	12	3	11	12	7	5
Bacteria|Actinobacteria|Actinobacteria|Mycobacteriales|Nocardiaceae|Nocardia|rhizosphaerihabitans	10	13	25	1	10	5	6	12	6	13	12	7	20	4	23	13	4	8
Bacteria|Actinobacteria|Actinobacteria|Propionibacteriales|Kribbellaceae|Kribbella|deserti	1	2	2	0	0	0	2	1	2	1	5	2	1	1	4	10	0	1
Bacteria|Actinobacteria|Actinobacteria|Propionibacteriales|Kribbellaceae|Kribbella|qitaiheensis	46	119	73	44	38	48	75	71	61	54	77	71	75	110	64	94	141	73
Bacteria|Actinobacteria|Actinobacteria|Propionibacteriales|Nocardioidaceae|Aeromicrobium|choanae	14	31	30	32	24	22	8	9	15	14	8	14	12	10	17	22	15	14
Bacteria|Actinobacteria|Actinobacteria|Propionibacteriales|Nocardioidaceae|Aeromicrobium|lacus	7	8	10	6	11	8	0	9	0	3	5	10	1	1	3	8	2	6
Bacteria|Actinobacteria|Actinobacteria|Propionibacteriales|Nocardioidaceae|Aeromicrobium|panacisoli	14	25	63	21	23	24	6	16	13	21	22	13	15	14	18	15	14	20
Bacteria|Actinobacteria|Actinobacteria|Propionibacteriales|Nocardioidaceae|Marmoricola|terrae	7	10	12	13	8	5	7	15	4	6	10	3	5	1	5	13	6	8
Bacteria|Actinobacteria|Actinobacteria|Propionibacteriales|Nocardioidaceae|Nocardioides|albidus	4	4	1	4	2	2	0	2	1	4	1	0	0	1	2	0	2	2
Bacteria|Actinobacteria|Actinobacteria|Propionibacteriales|Nocardioidaceae|Nocardioides|astragali	49	55	70	55	55	43	36	61	42	32	37	40	51	34	64	39	57	64
Bacteria|Actinobacteria|Actinobacteria|Propionibacteriales|Nocardioidaceae|Nocardioides|currus	51	74	93	79	103	75	41	74	66	38	111	35	65	62	61	55	60	55
Bacteria|Actinobacteria|Actinobacteria|Propionibacteriales|Nocardioidaceae|Nocardioides|euryhalodurans	14	23	16	9	14	24	15	21	19	12	26	15	20	12	17	18	11	17
Bacteria|Actinobacteria|Actinobacteria|Propionibacteriales|Nocardioidaceae|Nocardioides|ginkgobilobae	1	2	3	1	2	3	2	3	9	5	4	2	1	2	3	2	3	3
Bacteria|Actinobacteria|Actinobacteria|Propionibacteriales|Nocardioidaceae|Nocardioides|glacieisoli	4	5	0	4	1	2	0	1	1	1	1	3	1	1	2	1	1	2
Bacteria|Actinobacteria|Actinobacteria|Propionibacteriales|Nocardioidaceae|Nocardioides|guangzhouensis	2	5	5	1	3	3	2	3	1	1	2	0	0	1	5	1	1	3
Bacteria|Actinobacteria|Actinobacteria|Propionibacteriales|Nocardioidaceae|Nocardioides|houyundeii	2	8	7	10	8	8	5	5	2	10	3	5	3	4	15	5	6	8
Bacteria|Actinobacteria|Actinobacteria|Propionibacteriales|Nocardioidaceae|Nocardioides|litorisoli	3	4	6	6	4	4	1	5	0	4	5	2	3	0	8	5	3	1
Bacteria|Actinobacteria|Actinobacteria|Propionibacteriales|Nocardioidaceae|Nocardioides|opuntiae	18	38	34	13	12	61	32	52	23	30	32	45	12	10	25	44	26	17
Bacteria|Actinobacteria|Actinobacteria|Propionibacteriales|Nocardioidaceae|Nocardioides|pakistanensis	2	9	6	3	3	7	3	7	5	2	11	4	6	0	4	2	9	4
Bacteria|Actinobacteria|Actinobacteria|Propionibacteriales|Nocardioidaceae|Nocardioides|pelophilus	9	16	29	26	9	16	8	13	12	2	17	11	10	12	15	16	11	13
Bacteria|Actinobacteria|Actinobacteria|Propionibacteriales|Nocardioidaceae|Nocardioides|seonyuensis	1	0	10	2	2	2	4	6	2	2	3	5	3	1	3	7	5	4
Bacteria|Actinobacteria|Actinobacteria|Propionibacteriales|Nocardioidaceae|Nocardioides|solisilvae	7	7	9	3	3	8	4	14	9	6	4	4	3	6	6	4	2	5
Bacteria|Actinobacteria|Actinobacteria|Propionibacteriales|Nocardioidaceae|Nocardioides|Unassigned	15	34	29	15	12	13	22	38	9	12	17	12	17	13	21	14	21	20
Bacteria|Actinobacteria|Actinobacteria|Propionibacteriales|Propionibacteriaceae|Friedmanniella|endophytica	6	3	0	3	0	4	6	2	2	2	0	1	1	2	3	0	0	2
Bacteria|Actinobacteria|Actinobacteria|Propionibacteriales|Unassigned|Unassigned|Unassigned	0	0	0	0	0	1	4	4	4	8	2	2	6	1	3	5	1	0
Bacteria|Actinobacteria|Actinobacteria|Pseudonocardiales|Pseudonocardiaceae|Actinocrispum|wychmicini	107	113	447	159	23	27	172	158	131	106	134	96	209	38	151	120	79	356
Bacteria|Actinobacteria|Actinobacteria|Pseudonocardiales|Pseudonocardiaceae|Actinophytocola|algeriensis	7	0	0	0	0	31	3	4	0	0	4	19	2	0	2	26	0	2
Bacteria|Actinobacteria|Actinobacteria|Pseudonocardiales|Pseudonocardiaceae|Actinophytocola|glycyrrhizae	2	0	0	0	0	0	0	0	4	2	0	4	1	0	0	1	0	7
Bacteria|Actinobacteria|Actinobacteria|Pseudonocardiales|Pseudonocardiaceae|Actinophytocola|xanthii	3	5	0	0	0	0	7	1	5	3	1	6	0	1	1	0	3	48
Bacteria|Actinobacteria|Actinobacteria|Pseudonocardiales|Pseudonocardiaceae|Amycolatopsis|rhabdoformis	2	52	0	6	12	4	16	14	8	4	2	13	24	5	28	6	7	7
Bacteria|Actinobacteria|Actinobacteria|Pseudonocardiales|Pseudonocardiaceae|Amycolatopsis|xuchangensis	102	298	192	139	132	164	54	86	36	117	108	53	143	176	74	216	626	91
Bacteria|Actinobacteria|Actinobacteria|Pseudonocardiales|Pseudonocardiaceae|Kibdelosporangium|banguiense	26	33	7	444	189	10	39	59	26	64	30	32	110	15	40	43	26	66
