Family	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
Bacteria|Acidobacteria|Acidobacteria_Gp1|Unassigned|Unassigned	1	4	1	1	0	1	4	2	5	2	2	0	0	2	3	0	1	1
Bacteria|Acidobacteria|Unassigned|Unassigned|Unassigned	5	6	2	3	8	4	4	10	3	3	1	7	1	3	49	1	0	4
Bacteria|Acidobacteria|Vicinamibacteria|Vicinamibacterales|Vicinamibacteraceae	2	7	1	1	1	2	26	9	10	6	22	28	15	5	15	10	4	6
Bacteria|Actinobacteria|Acidimicrobiia|Acidimicrobiales|Acidimicrobiaceae	1	5	2	7	7	5	11	4	3	10	4	4	3	10	8	10	9	3
Bacteria|Actinobacteria|Acidimicrobiia|Acidimicrobiales|Iamiaceae	46	57	65	39	40	53	89	84	60	57	76	78	66	62	81	51	58	52
Bacteria|Actinobacteria|Acidimicrobiia|Acidimicrobiales|Ilumatobacteraceae	16	16	13	12	12	12	37	11	14	18	25	32	16	17	13	16	12	13
Bacteria|Actinobacteria|Acidimicrobiia|Acidimicrobiales|Unassigned	0	2	1	0	0	0	3	1	3	2	3	2	0	5	2	0	2	4
Bacteria|Actinobacteria|Actinobacteria|Cryptosporangiales|Cryptosporangiaceae	9	22	8	4	2	9	6	10	5	15	7	10	14	6	5	14	12	6
Bacteria|Actinobacteria|Actinobacteria|Frankiales|Frankiaceae	3	8	4	4	2	3	7	9	4	5	7	6	5	3	6	8	3	2
Bacteria|Actinobacteria|Actinobacteria|Geodermatophilales|Geodermatophilaceae	8	29	12	9	4	13	19	28	13	10	12	38	8	5	15	21	22	9
Bacteria|Actinobacteria|Actinobacteria|Glycomycetales|Glycomycetaceae	8	19	9	4	5	8	2	3	9	3	2	4	9	5	3	7	8	4
Bacteria|Actinobacteria|Actinobacteria|Kineosporiales|Kineosporiaceae	5	2	3	3	0	3	5	5	1	2	0	3	2	1	5	1	4	3
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Cellulomonadaceae	7	1	0	3	0	5	14	4	5	4	7	3	1	2	9	2	6	13
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Dermacoccaceae	5	13	3	6	6	1	9	1	5	5	6	8	5	6	2	4	5	3
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Intrasporangiaceae	41	110	52	94	19	32	82	62	65	85	71	54	138	137	102	99	109	69
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Microbacteriaceae	120	182	147	142	88	100	125	146	133	128	153	123	142	108	159	143	157	184
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Micrococcaceae	13	17	13	8	5	11	14	38	18	20	31	23	16	10	17	28	15	21
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Promicromonosporaceae	33	42	15	29	12	55	31	21	18	16	60	41	26	30	29	23	15	22
Bacteria|Actinobacteria|Actinobacteria|Micromonosporales|Micromonosporaceae	562	886	595	535	313	540	578	770	800	565	658	561	661	547	640	563	668	698
