"","x"
"KO1",1
"KO2",1
"KO3",1
"KO4",1
"KO5",1
"KO6",1
"OE1",1
"OE2",1
"OE3",1
"OE4",1
"OE5",1
"OE6",1
"WT1",1
"WT2",1
"WT3",1
"WT4",1
"WT5",1
"WT6",1
