"","ME1","ME2","ME3","ME4","ME5","ME6","ME7","ME8","ME9","ME10","ME11","ME12","ME13","ME14","ME15","ME16","ME17","ME18","ME19","ME20","ME21","ME22","ME23","ME24","ME25","ME26","ME27","ME28","ME29","ME30","ME31","ME32","ME33","ME34","ME35","ME36","ME37","ME38","ME39","ME40","ME41","ME42","ME43"
"WT1",-0.219453083024877,-0.219453083024877,-0.219453083024877,-0.219453083024877,-0.219453083024877,-0.219453083024877,-0.219453083024877,-0.219453083024878,-0.219453083024878,-0.219453083024877,-0.219453083024877,-0.219453083024877,-0.219453083024877,-0.219453083024878,-0.219453083024877,-0.219453083024878,-0.219453083024877,-0.219453083024877,-0.219453083024877,-0.219453083024877,-0.219453083024877,-0.219453083024877,-0.219453083024878,-0.219453083024877,-0.219453083024877,-0.219453083024878,-0.219453083024877,-0.219453083024877,-0.219453083024877,-0.219453083024877,-0.219453083024877,-0.219453083024877,-0.219453083024877,-0.219453083024877,-0.219453083024877,-0.219453083024877,-0.219453083024878,-0.219453083024877,-0.219453083024878,-0.219453083024877,-0.219453083024877,-0.219453083024877,-0.219453083024877
"WT2",-0.502485394360004,-0.502485394360004,-0.502485394360004,-0.502485394360004,-0.502485394360004,-0.502485394360004,-0.502485394360003,-0.502485394360005,-0.502485394360005,-0.502485394360004,-0.502485394360004,-0.502485394360004,-0.502485394360004,-0.502485394360004,-0.502485394360004,-0.502485394360004,-0.502485394360004,-0.502485394360004,-0.502485394360005,-0.502485394360004,-0.502485394360004,-0.502485394360004,-0.502485394360004,-0.502485394360004,-0.502485394360004,-0.502485394360005,-0.502485394360005,-0.502485394360004,-0.502485394360004,-0.502485394360004,-0.502485394360004,-0.502485394360004,-0.502485394360004,-0.502485394360004,-0.502485394360004,-0.502485394360004,-0.502485394360005,-0.502485394360004,-0.502485394360005,-0.502485394360004,-0.502485394360004,-0.502485394360004,-0.502485394360004
"WT3",0.568249445668554,0.568249445668554,0.568249445668555,0.568249445668554,0.568249445668554,0.568249445668554,0.568249445668555,0.568249445668554,0.568249445668554,0.568249445668554,0.568249445668554,0.568249445668554,0.568249445668555,0.568249445668554,0.568249445668554,0.568249445668555,0.568249445668555,0.568249445668554,0.568249445668554,0.568249445668554,0.568249445668554,0.568249445668554,0.568249445668555,0.568249445668555,0.568249445668554,0.568249445668554,0.568249445668555,0.568249445668555,0.568249445668554,0.568249445668554,0.568249445668555,0.568249445668555,0.568249445668554,0.568249445668554,0.568249445668554,0.568249445668555,0.568249445668554,0.568249445668554,0.568249445668554,0.568249445668555,0.568249445668555,0.568249445668555,0.568249445668554
"WT4",-0.0311095217032097,-0.0311095217032095,-0.0311095217032098,-0.0311095217032095,-0.0311095217032092,-0.0311095217032097,-0.0311095217032098,-0.0311095217032102,-0.03110952170321,-0.03110952170321,-0.0311095217032097,-0.0311095217032098,-0.0311095217032099,-0.03110952170321,-0.0311095217032095,-0.0311095217032096,-0.0311095217032096,-0.0311095217032092,-0.0311095217032098,-0.0311095217032097,-0.0311095217032095,-0.0311095217032094,-0.0311095217032099,-0.0311095217032097,-0.0311095217032097,-0.0311095217032095,-0.0311095217032094,-0.0311095217032094,-0.0311095217032097,-0.0311095217032098,-0.03110952170321,-0.0311095217032099,-0.0311095217032098,-0.0311095217032098,-0.0311095217032101,-0.0311095217032088,-0.0311095217032098,-0.0311095217032096,-0.0311095217032097,-0.0311095217032098,-0.0311095217032093,-0.0311095217032092,-0.0311095217032095
"WT5",-0.33091992040368,-0.33091992040368,-0.33091992040368,-0.33091992040368,-0.33091992040368,-0.33091992040368,-0.33091992040368,-0.33091992040368,-0.33091992040368,-0.33091992040368,-0.33091992040368,-0.33091992040368,-0.33091992040368,-0.33091992040368,-0.33091992040368,-0.33091992040368,-0.33091992040368,-0.33091992040368,-0.33091992040368,-0.33091992040368,-0.33091992040368,-0.33091992040368,-0.33091992040368,-0.33091992040368,-0.33091992040368,-0.33091992040368,-0.33091992040368,-0.33091992040368,-0.33091992040368,-0.33091992040368,-0.33091992040368,-0.33091992040368,-0.33091992040368,-0.33091992040368,-0.33091992040368,-0.330919920403679,-0.33091992040368,-0.33091992040368,-0.33091992040368,-0.33091992040368,-0.33091992040368,-0.33091992040368,-0.33091992040368
"WT6",0.515718473823217,0.515718473823216,0.515718473823217,0.515718473823217,0.515718473823217,0.515718473823217,0.515718473823217,0.515718473823217,0.515718473823216,0.515718473823217,0.515718473823217,0.515718473823217,0.515718473823217,0.515718473823216,0.515718473823217,0.515718473823216,0.515718473823217,0.515718473823217,0.515718473823217,0.515718473823217,0.515718473823217,0.515718473823217,0.515718473823216,0.515718473823217,0.515718473823217,0.515718473823216,0.515718473823217,0.515718473823217,0.515718473823217,0.515718473823216,0.515718473823216,0.515718473823217,0.515718473823217,0.515718473823216,0.515718473823216,0.515718473823217,0.515718473823216,0.515718473823216,0.515718473823216,0.515718473823217,0.515718473823217,0.515718473823217,0.515718473823217
