"","id","group","Distance"
"1",1,"KO_VS_OE",0.325847284605962
"2",2,"KO_VS_OE",0.427887039838628
"3",3,"KO_VS_OE",0.39866464425953
"4",4,"KO_VS_OE",0.478280359169036
"5",5,"KO_VS_OE",0.375120706801378
"6",6,"KO_VS_OE",0.398938161050195
"7",7,"KO_VS_OE",0.398911549358992
"8",8,"KO_VS_OE",0.44850148326818
"9",9,"KO_VS_OE",0.395328941740098
"10",10,"KO_VS_OE",0.349170997277902
"11",11,"KO_VS_OE",0.43516077301514
"12",12,"KO_VS_OE",0.348459023722373
"13",13,"KO_VS_OE",0.411033216491404
"14",14,"KO_VS_OE",0.333619505494505
"15",15,"KO_VS_OE",0.309488905651784
"16",16,"KO_VS_WT",0.291973780836076
"17",17,"KO_VS_WT",0.37275703994761
"18",18,"KO_VS_WT",0.3258194821535
"19",19,"KO_VS_WT",0.389278183080328
"20",20,"KO_VS_WT",0.33754791848813
"21",21,"KO_VS_WT",0.35759911039851
"22",22,"KO_VS_WT",0.325376178212385
"23",23,"KO_VS_WT",0.360461357435639
"24",24,"KO_VS_WT",0.341802397355741
"25",25,"KO_VS_WT",0.343349536014141
"26",26,"KO_VS_WT",0.412205553275161
"27",27,"KO_VS_WT",0.337450182945905
"28",28,"KO_VS_WT",0.405915537512522
"29",29,"KO_VS_WT",0.333017437452616
"30",30,"KO_VS_WT",0.326776837296789
"31",31,"OE_VS_WT",0.311232946576565
"32",32,"OE_VS_WT",0.275145423498216
"33",33,"OE_VS_WT",0.281414822081005
"34",34,"OE_VS_WT",0.275815255819215
"35",35,"OE_VS_WT",0.340686556848289
"36",36,"OE_VS_WT",0.320313890905107
"37",37,"OE_VS_WT",0.313434928290036
"38",38,"OE_VS_WT",0.315193439513542
"39",39,"OE_VS_WT",0.388920438412176
"40",40,"OE_VS_WT",0.269164928432712
"41",41,"OE_VS_WT",0.235033195970696
"42",42,"OE_VS_WT",0.291247704817697
"43",43,"OE_VS_WT",0.262711261088093
"44",44,"OE_VS_WT",0.323357547812722
"45",45,"OE_VS_WT",0.365740008341363
