,fc,,fc,mod_pre,fc,mod_pre
1,1,0.374,1,0.227194025692926,1,1
2,2,0.84,2,0.912098882266618,2,2.22044604925031e-16
3,1,0.182,1,0.106694063847584,1,2.22044604925031e-16
4,2,0.892,2,0.871342303872984,2,1
5,1,0.296,1,0.275918323331748,1,1
6,2,0.77,2,0.70903545560171,2,0.0022200204424845
7,1,0.154,1,0.0646261683960055,1,2.22044604925031e-16
8,1,0.166,1,0.0911778120632813,1,1
9,2,0.728,2,0.928957514489757,2,2.22044604925031e-16
10,2,0.844,2,0.833254033005025,2,0.999999999998856
11,2,0.868,2,0.806792342750881,2,1
12,1,0.18,1,0.0776504311282779,1,0.865978098513009
