"","Group1","Group2","Group3"
"num.edges(L)","148","881","47"
"num.pos.edges","138","802","45"
"num.neg.edges","10","79","2"
"num.vertices(n)","134","310","81"
"Connectance(edge_density)","0.0166086858938391","0.0183944044263493","0.0145061728395062"
"average.degree(Average K)","2.2089552238806","5.68387096774194","1.16049382716049"
"average.path.length","2.94972067039106","3.87912549926424","1.59722222222222"
"diameter","8.93016714900214","10.8668092672778","4.96711041546362"
"edge.connectivity","0","0","0"
"mean.clustering.coefficient(Average.CC)","0.546517412935323","0.515544764548736","0.166666666666667"
"no.clusters","35","45","35"
"centralization.degree","0.0435416900460106","0.0786929742144274","0.0229938271604938"
"centralization.betweenness","0.0117478704736322","0.0214226599166344","0.00431566455696203"
"centralization.closeness","0.0022304287373244","0.00250848370062374","0.0017832794799855"
"RM(relative.modularity)","0.504959923815572","0.513475998505717","0.148493150684932"
"the.number.of.keystone.nodes","Not.calculated","Not.calculated","Not.calculated"
