source,target,correlation,direct,cor
ASV_208,ASV_297,0.992208195879835,undirected,+
ASV_297,ASV_458,0.993785310693099,undirected,+
ASV_116,ASV_661,0.997679574626212,undirected,+
ASV_105,ASV_661,0.992117572433658,undirected,+
ASV_94,ASV_661,0.996474487279296,undirected,+
ASV_293,ASV_661,0.995964196310373,undirected,+
ASV_25,ASV_705,0.997470356405618,undirected,+
ASV_649,ASV_705,0.999779979003667,undirected,+
ASV_913,ASV_705,0.994793690634343,undirected,+
ASV_241,ASV_705,0.992235642846462,undirected,+
ASV_767,ASV_705,0.992811381146412,undirected,+
ASV_1234,ASV_705,0.999913560854551,undirected,+
ASV_297,ASV_208,0.992208195879835,undirected,+
ASV_415,ASV_539,0.994807202703683,undirected,+
ASV_517,ASV_539,0.995323108082882,undirected,+
ASV_378,ASV_539,0.991171919683045,undirected,+
ASV_69,ASV_444,0.992842699351897,undirected,+
ASV_173,ASV_444,0.993988964145212,undirected,+
ASV_744,ASV_444,0.996040523978413,undirected,+
ASV_654,ASV_444,0.993559195493167,undirected,+
ASV_25,ASV_913,0.994913235174871,undirected,+
ASV_649,ASV_913,0.993616338664598,undirected,+
ASV_705,ASV_913,0.994793690634343,undirected,+
ASV_241,ASV_913,0.994719316961837,undirected,+
ASV_767,ASV_913,0.991683843831523,undirected,+
ASV_1234,ASV_913,0.995308486584965,undirected,+
ASV_80,ASV_217,0.998515218195674,undirected,+
ASV_193,ASV_417,0.992315670358266,undirected,+
ASV_309,ASV_417,0.991018644911262,undirected,+
ASV_2250,ASV_452,0.997380721837432,undirected,+
ASV_244,ASV_241,0.991574080624459,undirected,+
ASV_649,ASV_241,0.990635767222732,undirected,+
ASV_705,ASV_241,0.992235642846462,undirected,+
ASV_913,ASV_241,0.994719316961837,undirected,+
ASV_1234,ASV_241,0.99301585582081,undirected,+
ASV_128,ASV_419,-0.993205746931946,undirected,-
ASV_225,ASV_419,0.992983162305635,undirected,+
ASV_312,ASV_294,-0.996617634669466,undirected,-
ASV_153,ASV_385,0.997065458049842,undirected,+
ASV_367,ASV_385,0.992531075019714,undirected,+
ASV_328,ASV_578,0.997106778770025,undirected,+
ASV_69,ASV_744,0.999385205153198,undirected,+
ASV_173,ASV_744,0.999683978749791,undirected,+
ASV_206,ASV_744,0.998535075601861,undirected,+
ASV_444,ASV_744,0.996040523978413,undirected,+
ASV_654,ASV_744,0.999411600231146,undirected,+
ASV_60,ASV_420,0.991219976400668,undirected,+
ASV_105,ASV_420,0.996347683154657,undirected,+
ASV_90,ASV_420,0.990964349310275,undirected,+
ASV_330,ASV_420,0.996383688951585,undirected,+
ASV_69,ASV_945,0.993628684809612,undirected,+
ASV_173,ASV_945,0.991538975387252,undirected,+
ASV_206,ASV_945,0.993899151020533,undirected,+
ASV_218,ASV_945,0.99225673900522,undirected,+
ASV_654,ASV_945,0.991336771581128,undirected,+
ASV_11,ASV_545,0.993015270623209,undirected,+
ASV_61,ASV_411,0.994048275775245,undirected,+
ASV_611,ASV_411,0.993218389129548,undirected,+
ASV_262,ASV_535,0.994918475294148,undirected,+
ASV_662,ASV_602,0.995518736508987,undirected,+
ASV_25,ASV_767,0.990876628068691,undirected,+
ASV_649,ASV_767,0.992660197141306,undirected,+
ASV_705,ASV_767,0.992811381146412,undirected,+
ASV_913,ASV_767,0.991683843831523,undirected,+
ASV_1234,ASV_767,0.992683406886226,undirected,+
ASV_57,ASV_293,0.991670172042482,undirected,+
ASV_94,ASV_293,0.99337469883973,undirected,+
ASV_90,ASV_293,0.991254520572705,undirected,+
ASV_661,ASV_293,0.995964196310373,undirected,+
ASV_63,ASV_304,-0.993413356195651,undirected,-
ASV_369,ASV_413,-0.997380480110751,undirected,-
ASV_147,ASV_822,0.995929438734611,undirected,+
ASV_69,ASV_654,0.999788607491378,undirected,+
ASV_173,ASV_654,0.999936280045486,undirected,+
ASV_206,ASV_654,0.998883334590185,undirected,+
ASV_444,ASV_654,0.993559195493167,undirected,+
ASV_744,ASV_654,0.999411600231146,undirected,+
ASV_945,ASV_654,0.991336771581128,undirected,+
ASV_411,ASV_611,0.993218389129548,undirected,+
ASV_129,ASV_527,0.994499719356659,undirected,+
ASV_25,ASV_1234,0.998018957298784,undirected,+
ASV_649,ASV_1234,0.99941776538289,undirected,+
ASV_705,ASV_1234,0.999913560854551,undirected,+
ASV_913,ASV_1234,0.995308486584965,undirected,+
ASV_241,ASV_1234,0.99301585582081,undirected,+
ASV_767,ASV_1234,0.992683406886226,undirected,+
