source,target,correlation,direct,cor
ASV_1696,ASV_1,0.990225597354564,undirected,+
ASV_364,ASV_29,0.98297455190157,undirected,+
ASV_789,ASV_29,0.98584385076541,undirected,+
ASV_187,ASV_29,0.998066993427336,undirected,+
ASV_1332,ASV_29,0.991030987742369,undirected,+
ASV_341,ASV_29,0.984391861259345,undirected,+
ASV_367,ASV_7,0.995764407638044,undirected,+
ASV_488,ASV_7,-0.983019647592754,undirected,-
ASV_400,ASV_131,0.984783724817079,undirected,+
ASV_470,ASV_131,0.988595525861167,undirected,+
ASV_758,ASV_131,0.990130172612454,undirected,+
ASV_1517,ASV_131,0.982775560167544,undirected,+
ASV_629,ASV_131,0.987319496068947,undirected,+
ASV_34,ASV_17,0.98526384450954,undirected,+
ASV_70,ASV_17,0.983691258805586,undirected,+
ASV_381,ASV_17,0.982752422332607,undirected,+
ASV_247,ASV_5,0.987041936231017,undirected,+
ASV_372,ASV_5,0.999620814520823,undirected,+
ASV_2804,ASV_5,0.991858118022806,undirected,+
ASV_99,ASV_268,0.987298894415423,undirected,+
ASV_1138,ASV_268,0.987192328370522,undirected,+
ASV_1902,ASV_35,0.983000456790666,undirected,+
ASV_336,ASV_60,0.983825361734955,undirected,+
ASV_252,ASV_60,0.989495964178207,undirected,+
ASV_1399,ASV_60,0.986453400305916,undirected,+
ASV_1614,ASV_60,0.985686632322762,undirected,+
ASV_3037,ASV_60,0.994443210515874,undirected,+
ASV_130,ASV_22,-0.985617407150566,undirected,-
ASV_286,ASV_148,0.986831575511634,undirected,+
ASV_3241,ASV_148,0.988925334168782,undirected,+
ASV_57,ASV_127,-0.996486879073948,undirected,-
ASV_572,ASV_127,0.988076383237041,undirected,+
ASV_390,ASV_127,-0.983221156261515,undirected,-
ASV_17,ASV_34,0.98526384450954,undirected,+
ASV_77,ASV_34,0.985155469824643,undirected,+
ASV_865,ASV_34,0.989420056509906,undirected,+
ASV_227,ASV_18,0.984507087072203,undirected,+
ASV_245,ASV_185,-0.988474055031094,undirected,-
ASV_328,ASV_185,-0.991539348974638,undirected,-
ASV_1327,ASV_185,-0.985967947063834,undirected,-
ASV_2206,ASV_185,-0.985983557016931,undirected,-
ASV_659,ASV_185,-0.989869191676354,undirected,-
ASV_24,ASV_214,0.984163158513286,undirected,+
ASV_70,ASV_214,0.989363259622219,undirected,+
ASV_65,ASV_214,0.988983535678708,undirected,+
ASV_866,ASV_214,0.991856790031955,undirected,+
ASV_299,ASV_214,0.983819961643054,undirected,+
ASV_6,ASV_214,0.982620098239001,undirected,+
ASV_221,ASV_214,0.994460192175259,undirected,+
ASV_223,ASV_214,0.994284943724632,undirected,+
ASV_284,ASV_214,0.985975620279393,undirected,+
ASV_674,ASV_214,0.982809321824516,undirected,+
ASV_418,ASV_214,0.997266123178372,undirected,+
ASV_218,ASV_214,0.988787952747886,undirected,+
ASV_506,ASV_214,0.984086580309355,undirected,+
ASV_508,ASV_214,0.990423115557899,undirected,+
ASV_691,ASV_214,0.99886687245592,undirected,+
ASV_1227,ASV_214,0.988960851126739,undirected,+
ASV_293,ASV_214,0.986942834505229,undirected,+
ASV_2759,ASV_214,0.991881835728905,undirected,+
