"","id","Abundance","Group","Kingdom","Phylum","Class","Order","Family","Genus"
"281","KO4",0.0236183278223902,"KO","Bacteria","Actinobacteria","Actinobacteria","Acidimicrobiales","Iamiaceae","Other"
"1494","KO4",0.0236183278223902,"KO","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micromonosporaceae","Other"
"2481","KO4",0.0236183278223902,"KO","Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Other"
"2096","WT2",0.0234454372574048,"WT","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Microbacteriaceae","Other"
"220","KO5",0.0231065468549422,"KO","Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae_1","Other"
"2083","KO5",0.0231065468549422,"KO","Bacteria","Proteobacteria","Betaproteobacteria","Methylophilales","Methylophilaceae","Other"
"272","KO3",0.023105953634053,"KO","Bacteria","Actinobacteria","Actinobacteria","Acidimicrobiales","Iamiaceae","Other"
"2479","KO3",0.023105953634053,"KO","Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Other"
"655","KO3",0.023105953634053,"KO","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Other"
"1422","KO3",0.023105953634053,"KO","Bacteria","Acidobacteria","Acidobacteria_Gp6","Unassigned","Unassigned","Other"
"3106","KO3",0.023105953634053,"KO","Bacteria","Chloroflexi","Chloroflexia","Chloroflexales","Chloroflexaceae","Other"
"3300","KO3",0.023105953634053,"KO","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Other"
"685","OE3",0.0231000231000231,"OE","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micromonosporaceae","Other"
"1371","OE3",0.0231000231000231,"OE","Bacteria","Acidobacteria","Acidobacteria_Gp3","Unassigned","Unassigned","Other"
"1654","OE3",0.0231000231000231,"OE","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Intrasporangiaceae","Other"
"2535","OE3",0.0231000231000231,"OE","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Other"
"3675","OE3",0.0231000231000231,"OE","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","Other"
"82","KO2",0.022139200221392,"KO","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Thermomonosporaceae","Other"
"2354","KO2",0.022139200221392,"KO","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Other"
"3283","KO2",0.022139200221392,"KO","Bacteria","Firmicutes","Bacilli","Bacillales","Thermoactinomycetaceae_1","Other"
"1646","WT3",0.0218740600989801,"WT","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Intrasporangiaceae","Other"
"607","OE6",0.0218415551187245,"OE","Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae_1","Other"
