"","taxon.name"
"307","ASV_2743"
"308","ASV_2580"
"309","ASV_47"
"310","ASV_85"
"311","ASV_182"
"312","ASV_242"
"313","ASV_485"
"314","ASV_2283"
"315","ASV_135"
"316","ASV_1438"
"317","ASV_280"
"318","ASV_1635"
"319","ASV_2663"
"320","ASV_1597"
"321","ASV_1957"
"322","ASV_2309"
"323","ASV_2371"
"324","ASV_1997"
"325","ASV_920"
"326","ASV_1319"
"327","ASV_2647"
"328","ASV_2722"
"329","ASV_1361"
"330","ASV_1804"
"331","ASV_1581"
"332","ASV_2172"
"333","ASV_918"
"334","ASV_1734"
"335","ASV_2373"
"336","ASV_1615"
"337","ASV_1868"
"338","ASV_1147"
"339","ASV_48"
"340","ASV_1028"
"341","ASV_124"
"342","ASV_175"
"343","ASV_399"
"344","ASV_449"
"345","ASV_1114"
"346","ASV_2829"
"347","ASV_49"
"348","ASV_253"
"349","ASV_309"
"350","ASV_708"
"351","ASV_2851"
"352","ASV_2065"
"353","ASV_2428"
"354","ASV_1381"
"355","ASV_2591"
"356","ASV_50"
"357","ASV_2571"
"358","ASV_601"
"359","ASV_324"
"360","ASV_693"
"361","ASV_2790"
"362","ASV_89"
"363","ASV_757"
"364","ASV_2094"
"365","ASV_444"
"366","ASV_2702"
"367","ASV_1187"
"368","ASV_101"
"369","ASV_1735"
"370","ASV_2383"
"371","ASV_371"
"372","ASV_994"
"373","ASV_1335"
"374","ASV_1612"
"375","ASV_326"
"376","ASV_819"
"377","ASV_1238"
"378","ASV_486"
"379","ASV_1087"
"380","ASV_805"
"381","ASV_1472"
"382","ASV_1298"
"383","ASV_1263"
"384","ASV_2728"
"385","ASV_235"
"386","ASV_964"
"387","ASV_1159"
"388","ASV_51"
"389","ASV_668"
"390","ASV_1259"
"391","ASV_187"
"392","ASV_229"
"393","ASV_382"
"394","ASV_345"
"395","ASV_1364"
"396","ASV_817"
"397","ASV_1540"
"398","ASV_53"
"399","ASV_377"
"400","ASV_2522"
"401","ASV_154"
"402","ASV_618"
"403","ASV_1135"
"404","ASV_1923"
"405","ASV_289"
"406","ASV_717"
"407","ASV_679"
"408","ASV_307"
"409","ASV_765"
"410","ASV_1414"
"411","ASV_54"
"412","ASV_143"
"413","ASV_1755"
"414","ASV_431"
"415","ASV_1500"
"416","ASV_303"
"417","ASV_378"
"418","ASV_406"
"419","ASV_683"
"420","ASV_2659"
"421","ASV_549"
"422","ASV_2682"
"423","ASV_2403"
"424","ASV_1547"
"425","ASV_1582"
"426","ASV_2900"
"427","ASV_2804"
"428","ASV_1753"
"429","ASV_2602"
"430","ASV_249"
"431","ASV_1099"
"432","ASV_255"
"433","ASV_461"
"434","ASV_2042"
"435","ASV_55"
"436","ASV_598"
"437","ASV_1123"
"438","ASV_1317"
"439","ASV_2187"
"440","ASV_57"
"441","ASV_365"
"442","ASV_591"
"443","ASV_204"
"444","ASV_603"
"445","ASV_288"
"446","ASV_347"
"447","ASV_1783"
"448","ASV_743"
"449","ASV_1927"
"450","ASV_2908"
"451","ASV_1892"
"452","ASV_355"
"453","ASV_497"
"454","ASV_1674"
"455","ASV_1689"
"456","ASV_1699"
"457","ASV_2299"
"458","ASV_1012"
"459","ASV_1211"
"460","ASV_59"
"461","ASV_2212"
"462","ASV_1083"
"463","ASV_2104"
"464","ASV_2125"
"465","ASV_2524"
"466","ASV_2136"
"467","ASV_1721"
"468","ASV_60"
"469","ASV_165"
"470","ASV_646"
"471","ASV_1030"
"472","ASV_64"
"473","ASV_1048"
"474","ASV_2544"
"475","ASV_1274"
"476","ASV_66"
"477","ASV_228"
"478","ASV_67"
"479","ASV_103"
"480","ASV_1257"
"481","ASV_2537"
"482","ASV_779"
"483","ASV_790"
"484","ASV_2117"
"485","ASV_2404"
"486","ASV_650"
"487","ASV_68"
"488","ASV_1233"
"489","ASV_2228"
"490","ASV_69"
"491","ASV_362"
"492","ASV_405"
"493","ASV_745"
"494","ASV_145"
"495","ASV_156"
"496","ASV_1608"
"497","ASV_398"
"498","ASV_2458"
"499","ASV_2532"
"500","ASV_472"
"501","ASV_1133"
"502","ASV_1485"
"503","ASV_1560"
"504","ASV_210"
"505","ASV_2259"
"506","ASV_72"
"507","ASV_170"
"508","ASV_462"
"509","ASV_97"
"510","ASV_2074"
"511","ASV_1084"
"512","ASV_1534"
"513","ASV_277"
"514","ASV_1620"
"515","ASV_837"
"516","ASV_74"
"517","ASV_246"
"518","ASV_1122"
"519","ASV_1127"
"520","ASV_2915"
"521","ASV_77"
"522","ASV_1412"
"523","ASV_2307"
"524","ASV_79"
"525","ASV_1646"
"526","ASV_596"
"527","ASV_2095"
"528","ASV_1095"
"529","ASV_84"
"530","ASV_723"
"531","ASV_86"
"532","ASV_157"
"533","ASV_372"
"534","ASV_2893"
"535","ASV_2457"
"536","ASV_88"
"537","ASV_447"
"538","ASV_284"
"539","ASV_968"
"540","ASV_1511"
"541","ASV_386"
"542","ASV_709"
"543","ASV_2794"
"544","ASV_1427"
"545","ASV_467"
"546","ASV_703"
"547","ASV_2918"
"548","ASV_1003"
"549","ASV_927"
"550","ASV_1078"
"551","ASV_1119"
"552","ASV_1398"
"553","ASV_1570"
"554","ASV_1790"
"555","ASV_1057"
"556","ASV_2147"
"557","ASV_1910"
"558","ASV_2535"
"559","ASV_93"
"560","ASV_188"
"561","ASV_275"
"562","ASV_119"
"563","ASV_1629"
"564","ASV_535"
"565","ASV_2399"
"566","ASV_94"
"567","ASV_922"
"568","ASV_1081"
"569","ASV_1246"
"570","ASV_1850"
"571","ASV_2119"
"572","ASV_2588"
"573","ASV_2175"
"574","ASV_1178"
"575","ASV_2463"
"576","ASV_113"
"577","ASV_225"
"578","ASV_419"
"579","ASV_2318"
"580","ASV_126"
"581","ASV_956"
"582","ASV_1448"
"583","ASV_241"
"584","ASV_913"
"585","ASV_389"
"586","ASV_356"
"587","ASV_1039"
"588","ASV_2211"
"589","ASV_1506"
"590","ASV_616"
"591","ASV_116"
"592","ASV_287"
"593","ASV_302"
"594","ASV_546"
"595","ASV_643"
"596","ASV_1961"
"597","ASV_98"
"598","ASV_712"
"599","ASV_1456"
"600","ASV_1976"
"601","ASV_1272"
"602","ASV_1609"
"603","ASV_1621"
"604","ASV_537"
"605","ASV_617"
"606","ASV_854"
"607","ASV_1736"
"608","ASV_910"
"609","ASV_1286"
"610","ASV_102"
"611","ASV_474"
"612","ASV_1733"
"613","ASV_1926"
"614","ASV_2085"
"615","ASV_2011"
"616","ASV_626"
"617","ASV_989"
"618","ASV_1157"
"619","ASV_2913"
"620","ASV_105"
"621","ASV_218"
"622","ASV_2865"
"623","ASV_250"
"624","ASV_1774"
"625","ASV_2765"
"626","ASV_2441"
"627","ASV_455"
"628","ASV_299"
"629","ASV_2582"
"630","ASV_1703"
"631","ASV_1955"
"632","ASV_121"
"633","ASV_391"
"634","ASV_2557"
"635","ASV_343"
"636","ASV_515"
"637","ASV_884"
"638","ASV_699"
"639","ASV_1189"
"640","ASV_107"
"641","ASV_2674"
