"","MeanDecreaseAccuracy"
"ASV_204",0.0039008
"ASV_2907",0.0035452
"ASV_60",0.0034214
"ASV_575",0.0032143
"ASV_43",0.0027333
"ASV_1850",0.0025952
"ASV_1792",0.0022381
"ASV_302",0.0020833
"ASV_2251",0.0020833
"ASV_112",0.0020833
"ASV_73",0.0020079
"ASV_201",0.002
"ASV_141",0.0019524
"ASV_172",0.0018571
"ASV_191",0.0018524
"ASV_553",0.0018405
"ASV_2902",0.0016667
"ASV_344",0.0016571
"ASV_63",0.0016429
"ASV_1139",0.0016381
"ASV_1342",0.0015714
"ASV_2327",0.0015429
"ASV_111",0.0015429
"ASV_120",0.0015238
"ASV_760",0.0015111
"ASV_2266",0.0014286
"ASV_1271",0.0014071
"ASV_251",0.0013833
"ASV_1847",0.0013651
"ASV_1114",0.00135
"ASV_1005",0.0013333
"ASV_877",0.0013333
"ASV_41",0.0012889
"ASV_1093",0.0012857
"ASV_529",0.0012857
"ASV_247",0.0012857
"ASV_66",0.0012857
"ASV_841",0.00125
"ASV_2313",0.0012381
"ASV_488",0.0012024
"ASV_2910",0.0012
"ASV_803",0.0012
"ASV_1447",0.0012
"ASV_1687",0.0011548
"ASV_1887",0.0011429
"ASV_505",0.0011429
"ASV_17",0.001119
"ASV_580",0.0011071
"ASV_2460",0.0010833
"ASV_641",0.0010794
"ASV_307",0.0010667
"ASV_2",0.0010159
"ASV_664",0.0010143
"ASV_438",0.0010032
"ASV_1189",0.001
"ASV_1008",0.001
"ASV_1044",0.001
"ASV_334",0.001
"ASV_351",0.001
"ASV_271",0.001
"ASV_187",0.001
"ASV_2105",0.001
"ASV_2086",0.00097143
"ASV_1640",0.00095238
"ASV_1120",0.00095238
"ASV_318",0.00095238
"ASV_79",0.00092143
"ASV_447",0.00091667
"ASV_782",0.00090476
"ASV_670",0.00090476
"ASV_437",0.00090476
"ASV_91",0.00090476
"ASV_1175",9e-04
"ASV_702",0.00088571
"ASV_1993",0.00085714
"ASV_1611",0.00085714
"ASV_1246",0.00085714
"ASV_874",0.00085714
"ASV_67",0.00085714
"ASV_480",0.00084444
"ASV_1220",0.00083333
"ASV_410",0.00083333
"ASV_1042",8e-04
"ASV_1333",8e-04
"ASV_956",8e-04
"ASV_860",8e-04
"ASV_1674",8e-04
"ASV_816",8e-04
"ASV_391",8e-04
"ASV_132",8e-04
"ASV_267",0.00078571
"ASV_146",0.00078571
"ASV_632",0.00078095
"ASV_638",0.00075
"ASV_470",0.00075
"ASV_1288",0.00073333
"ASV_175",0.00073333
"ASV_565",0.00071429
"ASV_1764",0.00068571
"ASV_2253",0.00066667
"ASV_1191",0.00066667
"ASV_1402",0.00066667
"ASV_1098",0.00066667
"ASV_981",0.00066667
"ASV_1047",0.00066667
"ASV_761",0.00066667
"ASV_764",0.00066667
"ASV_665",0.00066667
"ASV_862",0.00066667
"ASV_581",0.00066667
"ASV_669",0.00066667
"ASV_405",0.00066667
"ASV_383",0.00066667
"ASV_1208",0.00066667
"ASV_292",0.00066667
"ASV_294",0.00066667
"ASV_253",0.00066667
"ASV_2195",0.00066667
"ASV_156",0.00066667
"ASV_2325",0.00066667
"ASV_114",0.00066667
