,logFC,level,p,Genus,ord
Crenarchaeota,5.08544787217117,enriched,0.000142144148426119,Crenarchaeota,25.8617800605703
candidate_division_WPS-2,-2.06061105175073,depleted,0.000475559937931935,candidate_division_WPS-2,4.24611790659724
Spirochaetes,1.25111537333608,enriched,0.00219074201323076,Spirochaetes,1.56528967739787
Candidatus_Saccharibacteria,-0.852685561974851,depleted,0.00257744836499023,Candidatus_Saccharibacteria,0.727072667600367
Firmicutes,-0.794398035278222,depleted,0.000182714791843752,Firmicutes,0.631068238453899
