"","id","Abundance","Group","Kingdom","Phylum","Class"
"48","WT6",0.0376384557479299,"WT","Bacteria","Acidobacteria","Other"
"616","WT5",0.0373492690214491,"WT","Bacteria","Verrucomicrobia","Other"
"293","KO1",0.0361097737120847,"KO","Bacteria","Chlamydiae","Other"
"82","KO2",0.035976200359762,"KO","Bacteria","Acidobacteria","Other"
"536","KO2",0.035976200359762,"KO","Bacteria","Verrucomicrobia","Other"
"615","WT3",0.0355453476608427,"WT","Bacteria","Verrucomicrobia","Other"
"535","WT4",0.0352131751449158,"WT","Bacteria","Verrucomicrobia","Other"
"489","KO6",0.0351864883884588,"KO","Bacteria","Verrucomicrobia","Other"
"538","KO6",0.0351864883884588,"KO","Bacteria","Verrucomicrobia","Other"
"578","KO5",0.0333761232349166,"KO","Bacteria","Verrucomicrobia","Other"
"534","WT1",0.0320864194229792,"WT","Bacteria","Verrucomicrobia","Other"
"93","WT1",0.0320864194229792,"WT","Bacteria","Acidobacteria","Other"
"49","WT5",0.0320136591612421,"WT","Bacteria","Acidobacteria","Other"
"385","OE6",0.0312022215981778,"OE","Bacteria","Firmicutes","Other"
"492","KO5",0.030808729139923,"KO","Bacteria","Verrucomicrobia","Other"
"451","KO3",0.0308079381787374,"KO","Bacteria","Nitrospirae","Other"
"491","KO3",0.0308079381787374,"KO","Bacteria","Verrucomicrobia","Other"
"613","OE4",0.0303563839475442,"OE","Bacteria","Verrucomicrobia","Other"
"275","WT3",0.0300768326360977,"WT","Bacteria","Chloroflexi","Other"
"88","KO6",0.0297731824825421,"KO","Bacteria","Acidobacteria","Other"
"86","WT6",0.0295730723733735,"WT","Bacteria","Acidobacteria","Other"
"339","WT2",0.028655534425717,"WT","Bacteria","Firmicutes","Other"
"100","OE1",0.0277460924253168,"OE","Bacteria","Acidobacteria","Other"
"50","OE4",0.0273207455527897,"OE","Bacteria","Acidobacteria","Other"
"476","OE2",0.0271182355068097,"OE","Bacteria","Proteobacteria","Other"
"94","WT4",0.0270870578037814,"WT","Bacteria","Acidobacteria","Other"
"75","KO1",0.0270823302840636,"KO","Bacteria","Acidobacteria","Other"
"42","KO6",0.0270665295295837,"KO","Bacteria","Acidobacteria","Other"
"290","WT1",0.0267386828524827,"WT","Bacteria","Chlamydiae","Other"
"325","WT5",0.0266780493010351,"WT","Bacteria","Firmicutes","Other"
"494","KO2",0.024906600249066,"KO","Bacteria","Verrucomicrobia","Other"
"77","WT3",0.0246083176113526,"WT","Bacteria","Acidobacteria","Other"
"71","OE5",0.0240132072639952,"OE","Bacteria","Acidobacteria","Other"
"274","OE5",0.0240132072639952,"OE","Bacteria","Chloroflexi","Other"
"298","OE5",0.0240132072639952,"OE","Bacteria","Chlamydiae","Other"
"517","KO4",0.0236183278223902,"KO","Bacteria","Planctomycetes","Planctomycetia"
"622","KO5",0.0231065468549422,"KO","Bacteria","Verrucomicrobia","Other"
"135","KO3",0.023105953634053,"KO","Bacteria","Acidobacteria","Other"
"79","OE3",0.0231000231000231,"OE","Bacteria","Acidobacteria","Other"
"107","OE3",0.0231000231000231,"OE","Bacteria","Acidobacteria","Other"
"281","OE3",0.0231000231000231,"OE","Bacteria","Chloroflexi","Other"
"280","KO2",0.022139200221392,"KO","Bacteria","Chloroflexi","Other"
"62","OE6",0.0218415551187245,"OE","Bacteria","Acidobacteria","Other"
"480","OE1",0.0215802941085797,"OE","Bacteria","Proteobacteria","Other"
"439","WT6",0.0215076889988171,"WT","Bacteria","Ignavibacteriae","Other"
"122","OE4",0.0212494687632809,"OE","Bacteria","Acidobacteria","Other"
"524","OE4",0.0212494687632809,"OE","Bacteria","Verrucomicrobia","Other"
"103","OE2",0.0210919609497409,"OE","Bacteria","Acidobacteria","Other"
"43","KO1",0.0210640346653828,"KO","Bacteria","Acidobacteria","Other"
"304","KO4",0.0209940691754579,"KO","Bacteria","Chlamydiae","Other"
"54","KO3",0.0205386254524916,"KO","Bacteria","Acidobacteria","Other"
"306","KO2",0.019371800193718,"KO","Bacteria","Chlamydiae","Other"
"441","KO2",0.019371800193718,"KO","Bacteria","Ignavibacteriae","Other"
"437","WT3",0.0191398025866076,"WT","Bacteria","Ignavibacteriae","Other"
"341","KO6",0.0189465706707086,"KO","Bacteria","Firmicutes","Other"
"104","WT6",0.0188192278739649,"WT","Bacteria","Acidobacteria","Other"
"630","WT6",0.0188192278739649,"WT","Bacteria","Verrucomicrobia","Other"
"288","OE6",0.0187213329589067,"OE","Bacteria","Chloroflexi","Other"
"203","WT1",0.0187170779967379,"WT","Bacteria","Armatimonadetes","Other"
"81","WT5",0.0186746345107246,"WT","Bacteria","Acidobacteria","Other"
"111","OE1",0.0184973949502112,"OE","Bacteria","Acidobacteria","Other"
"282","OE1",0.0184973949502112,"OE","Bacteria","Chloroflexi","Other"
"144","KO4",0.0183698105285257,"KO","Bacteria","Acidobacteria","Other"
"106","OE4",0.0182138303685265,"OE","Bacteria","Acidobacteria","Other"
"39","KO5",0.0179717586649551,"KO","Bacteria","Acidobacteria","Other"
"78","KO3",0.0179712972709301,"KO","Bacteria","Acidobacteria","Other"
"620","KO2",0.016604400166044,"KO","Bacteria","Verrucomicrobia","Other"
"91","WT3",0.0164055450742351,"WT","Bacteria","Acidobacteria","Other"
"114","WT3",0.0164055450742351,"WT","Bacteria","Acidobacteria","Other"
"626","KO6",0.0162399177177502,"KO","Bacteria","Verrucomicrobia","Other"
"526","WT6",0.0161307667491128,"WT","Bacteria","Verrucomicrobia","Other"
"68","WT1",0.0160432097114896,"WT","Bacteria","Acidobacteria","Other"
"90","KO4",0.0157455518815935,"KO","Bacteria","Acidobacteria","Other"
"498","KO4",0.0157455518815935,"KO","Bacteria","Verrucomicrobia","Other"
"80","OE6",0.0156011107990889,"OE","Bacteria","Acidobacteria","Other"
"121","OE6",0.0156011107990889,"OE","Bacteria","Acidobacteria","Other"
"475","OE6",0.0156011107990889,"OE","Bacteria","Proteobacteria","Other"
"381","OE1",0.0154144957918426,"OE","Bacteria","Firmicutes","Other"
"334","KO5",0.0154043645699615,"KO","Bacteria","Firmicutes","Other"
"69","OE4",0.0151781919737721,"OE","Bacteria","Acidobacteria","Other"
"70","KO1",0.015045739046702,"KO","Bacteria","Acidobacteria","Other"
"394","OE5",0.015008254539997,"OE","Bacteria","Firmicutes","Other"
"484","OE5",0.015008254539997,"OE","Bacteria","Proteobacteria","Other"
"32","OE3",0.0144375144375144,"OE","Bacteria","Acidobacteria","Other"
"125","OE3",0.0144375144375144,"OE","Bacteria","Acidobacteria","Other"
"22","WT3",0.0136712875618626,"WT","Bacteria","Acidobacteria","Other"
"383","WT3",0.0136712875618626,"WT","Bacteria","Firmicutes","Other"
"115","WT4",0.0135435289018907,"WT","Bacteria","Acidobacteria","Other"
"55","WT6",0.0134423056242607,"WT","Bacteria","Acidobacteria","Other"
"148","WT1",0.0133693414262413,"WT","Bacteria","Acidobacteria","Other"
"286","WT1",0.0133693414262413,"WT","Bacteria","Chloroflexi","Other"
"469","WT1",0.0133693414262413,"WT","Bacteria","Proteobacteria","Other"
"530","WT5",0.0133390246505176,"WT","Bacteria","Verrucomicrobia","Other"
"87","WT2",0.0130252429207805,"WT","Bacteria","Acidobacteria","Other"
"271","WT2",0.0130252429207805,"WT","Bacteria","Chloroflexi","Other"
"36","OE6",0.0124808886392711,"OE","Bacteria","Acidobacteria","Other"
"442","OE6",0.0124808886392711,"OE","Bacteria","Ignavibacteriae","Other"
"28","OE1",0.0123315966334741,"OE","Bacteria","Acidobacteria","Other"
"56","OE1",0.0123315966334741,"OE","Bacteria","Acidobacteria","Other"
"201","OE1",0.0123315966334741,"OE","Bacteria","Armatimonadetes","Other"
"76","OE2",0.0120525491141376,"OE","Bacteria","Acidobacteria","Other"
"109","KO1",0.0120365912373616,"KO","Bacteria","Acidobacteria","Other"
"446","KO1",0.0120365912373616,"KO","Bacteria","Ignavibacteriae","Other"
