"","id","Abundance","Group","Kingdom","Phylum"
"166","WT5",0.0827019528332088,"WT","Bacteria","Nitrospirae"
"180","OE4",0.0819622366583693,"OE","Bacteria","Nitrospirae"
"164","KO2",0.080254600802546,"KO","Bacteria","Nitrospirae"
"179","WT3",0.0792934678588029,"WT","Bacteria","Nitrospirae"
"184","KO6",0.0784929356357928,"KO","Bacteria","Planctomycetes"
"173","WT1",0.0721944437017033,"WT","Bacteria","Nitrospirae"
"226","WT5",0.0693629281826913,"WT","Bacteria","Spirochaetes"
"195","KO5",0.0693196405648267,"KO","Bacteria","Planctomycetes"
"224","KO1",0.0692103996148291,"KO","Bacteria","Spirochaetes"
"188","KO4",0.0682307248202383,"KO","Bacteria","Planctomycetes"
"102","OE1",0.0678237814841076,"OE","Bacteria","Chlamydiae"
"170","KO6",0.0676663238239593,"KO","Bacteria","Nitrospirae"
"218","KO6",0.0676663238239593,"KO","Bacteria","Spirochaetes"
"91","OE3",0.0664125664125664,"OE","Bacteria","Chlamydiae"
"167","OE2",0.0632758828492226,"OE","Bacteria","Nitrospirae"
"104","OE2",0.0632758828492226,"OE","Bacteria","Chlamydiae"
"176","WT2",0.0599161174355902,"WT","Bacteria","Nitrospirae"
"83","WT3",0.0574194077598228,"WT","Bacteria","Other"
"192","KO1",0.0571738083774675,"KO","Bacteria","Planctomycetes"
"77","KO2",0.05534800055348,"KO","Bacteria","Other"
"103","KO3",0.051346563631229,"KO","Bacteria","Chlamydiae"
"53","OE2",0.051223333735085,"OE","Bacteria","Other"
"169","KO4",0.0498609142917126,"KO","Bacteria","Nitrospirae"
"79","WT6",0.0483923002473384,"WT","Bacteria","Other"
"81","OE5",0.045024763619991,"OE","Bacteria","Other"
"217","KO2",0.044278400442784,"KO","Bacteria","Spirochaetes"
"106","OE6",0.0436831102374489,"OE","Bacteria","Chlamydiae"
"108","WT4",0.0433392924860502,"WT","Bacteria","Chlamydiae"
"38","OE3",0.0433125433125433,"OE","Bacteria","Other"
"46","OE1",0.0431605882171594,"OE","Bacteria","Other"
"94","WT2",0.0416807773464975,"WT","Bacteria","Chlamydiae"
"177","KO5",0.0410783055198973,"KO","Bacteria","Nitrospirae"
"75","KO1",0.0391189215214251,"KO","Bacteria","Other"
"42","WT3",0.0382796051732152,"WT","Bacteria","Other"
"98","KO6",0.0378931413414172,"KO","Bacteria","Chlamydiae"
"156","KO6",0.0378931413414172,"KO","Bacteria","Other"
"54","WT1",0.0374341559934758,"WT","Bacteria","Other"
"52","WT5",0.0373492690214492,"WT","Bacteria","Other"
"45","OE4",0.036427660737053,"OE","Bacteria","Other"
"82","OE4",0.036427660737053,"OE","Bacteria","Other"
"92","KO1",0.0361097737120847,"KO","Bacteria","Chlamydiae"
"49","WT4",0.0352131751449158,"WT","Bacteria","Other"
"51","WT6",0.0322615334982256,"WT","Bacteria","Other"
"47","OE6",0.0312022215981778,"OE","Bacteria","Other"
"84","KO3",0.0308079381787374,"KO","Bacteria","Other"
"163","KO3",0.0308079381787374,"KO","Bacteria","Nitrospirae"
"89","WT1",0.029412551137731,"WT","Bacteria","Other"
