"","id","Abundance","Group","Kingdom","Phylum","Class","Order","Family"
"903","KO3",0.143770378167441,"KO","Bacteria","Proteobacteria","Betaproteobacteria","Methylophilales","Other"
"1296","KO3",0.143770378167441,"KO","Bacteria","Planctomycetes","Planctomycetia","Planctomycetales","Other"
"869","WT6",0.142488439617163,"WT","Bacteria","Spirochaetes","Spirochaetia","Spirochaetales","Other"
"1577","OE1",0.141813361284952,"OE","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Other"
"1635","KO5",0.141206675224647,"KO","Bacteria","Actinobacteria","Actinobacteria","Solirubrobacterales","Other"
"1488","KO3",0.14120304998588,"KO","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Other"
"357","OE5",0.141077592675972,"OE","Bacteria","Chloroflexi","Chloroflexia","Chloroflexales","Other"
"149","OE5",0.141077592675972,"OE","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Other"
"222","WT6",0.139799978492311,"WT","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Other"
"889","OE4",0.139639366158703,"OE","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Other"
"685","OE1",0.138730462126584,"OE","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Other"
"868","KO5",0.138639281129653,"KO","Bacteria","Spirochaetes","Spirochaetia","Spirochaetales","Other"
"358","OE3",0.138600138600139,"OE","Bacteria","Chloroflexi","Chloroflexia","Chloroflexales","Other"
"153","WT4",0.138143994799285,"WT","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Other"
"347","OE6",0.137289775031982,"OE","Bacteria","Chloroflexi","Chloroflexia","Chloroflexales","Other"
"483","OE6",0.137289775031982,"OE","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Other"
"409","WT6",0.137111517367459,"WT","Bacteria","Actinobacteria","Actinobacteria","Solirubrobacterales","Other"
"764","WT3",0.136712875618626,"WT","Bacteria","Actinobacteria","Actinobacteria","Acidimicrobiales","Other"
"940","OE1",0.135647562968215,"OE","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Other"
"1753","OE2",0.135591177534048,"OE","Bacteria","Firmicutes","Bacilli","Bacillales","Other"
"876","OE5",0.135074290859973,"OE","Bacteria","Spirochaetes","Spirochaetia","Spirochaetales","Other"
"1482","WT6",0.134423056242607,"WT","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Other"
"143","OE6",0.134169552872165,"OE","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Other"
"507","OE6",0.134169552872165,"OE","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Other"
"939","WT1",0.133693414262413,"WT","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Other"
"743","KO5",0.133504492939666,"KO","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Other"
"1491","WT5",0.133390246505176,"WT","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Other"
"224","KO2",0.132835201328352,"KO","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Other"
"1357","OE3",0.132825132825133,"OE","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Other"
"890","OE2",0.132578040255514,"OE","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Other"
"628","OE1",0.132564663809847,"OE","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfuromonadales","Other"
"973","KO5",0.130937098844673,"KO","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Other"
"1655","KO5",0.130937098844673,"KO","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Other"
"16","OE4",0.13053245097444,"OE","Bacteria","Actinobacteria","Actinobacteria","Acidimicrobiales","Other"
"862","KO2",0.130067801300678,"KO","Bacteria","Firmicutes","Clostridia","Clostridiales","Other"
"663","KO2",0.130067801300678,"KO","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Other"
"1571","OE2",0.12956490297698,"OE","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Other"
"1072","OE1",0.129481764651478,"OE","Bacteria","Nitrospirae","Nitrospira","Nitrospirales","Other"
"644","OE5",0.129070989043974,"OE","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Other"
"355","KO4",0.12858867369968,"KO","Bacteria","Chloroflexi","Chloroflexia","Chloroflexales","Other"
"1092","WT3",0.128510103081508,"WT","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Other"
"291","WT3",0.128510103081508,"WT","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Other"
"1168","WT1",0.128345677691917,"WT","Bacteria","Chloroflexi","Chloroflexia","Chloroflexales","Other"
"765","OE6",0.127929108552529,"OE","Bacteria","Actinobacteria","Actinobacteria","Acidimicrobiales","Other"
"353","WT4",0.127309171677772,"WT","Bacteria","Chloroflexi","Chloroflexia","Chloroflexales","Other"
"403","OE3",0.127050127050127,"OE","Bacteria","Actinobacteria","Actinobacteria","Solirubrobacterales","Other"
"50","OE2",0.126551765698445,"OE","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Other"
"145","OE1",0.12639886549311,"OE","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Other"
"1639","OE1",0.12639886549311,"OE","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Other"
"360","KO1",0.126384207992297,"KO","Bacteria","Chloroflexi","Chloroflexia","Chloroflexales","Other"
"833","WT6",0.12635767286805,"WT","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Other"
"298","OE5",0.126069338135975,"OE","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Other"
"626","OE5",0.126069338135975,"OE","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfuromonadales","Other"
"1652","KO4",0.125964415052748,"KO","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Other"
"234","WT3",0.125775845569136,"WT","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Other"
"1287","WT5",0.125386831714865,"WT","Bacteria","Planctomycetes","Planctomycetia","Planctomycetales","Other"
"400","WT4",0.124600465897394,"WT","Bacteria","Actinobacteria","Actinobacteria","Solirubrobacterales","Other"
"770","KO2",0.12453300124533,"KO","Bacteria","Actinobacteria","Actinobacteria","Acidimicrobiales","Other"
"844","KO2",0.12453300124533,"KO","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Other"
"4","OE3",0.124162624162624,"OE","Bacteria","Actinobacteria","Actinobacteria","Acidimicrobiales","Other"
"710","OE3",0.124162624162624,"OE","Bacteria","Chloroflexi","Chloroflexia","Herpetosiphonales","Other"
"130","WT6",0.123669211743198,"WT","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Other"
"303","WT6",0.123669211743198,"WT","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Other"
"1165","WT6",0.123669211743198,"WT","Bacteria","Chloroflexi","Chloroflexia","Chloroflexales","Other"
"302","OE2",0.123538628419911,"OE","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Other"
"1","KO1",0.123375060182956,"KO","Bacteria","Actinobacteria","Actinobacteria","Acidimicrobiales","Other"
"942","KO1",0.123375060182956,"KO","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Other"
"477","OE1",0.123315966334741,"OE","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Other"
"839","WT3",0.123041588056763,"WT","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Other"
"647","WT5",0.122719026784761,"WT","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Other"
"1202","WT2",0.122437283455336,"WT","Bacteria","Firmicutes","Bacilli","Bacillales","Other"
"803","KO2",0.121765601217656,"KO","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Other"
"412","OE4",0.121425535790177,"OE","Bacteria","Actinobacteria","Actinobacteria","Solirubrobacterales","Other"
"1486","OE4",0.121425535790177,"OE","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Other"
"873","OE3",0.121275121275121,"OE","Bacteria","Spirochaetes","Spirochaetia","Spirochaetales","Other"
"884","WT6",0.120980750618346,"WT","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Other"
"1494","KO5",0.120667522464698,"KO","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Other"
"946","KO3",0.120664424533388,"KO","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Other"
"148","KO1",0.120365912373616,"KO","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Other"
"774","OE1",0.120233067176373,"OE","Bacteria","Actinobacteria","Actinobacteria","Acidimicrobiales","Other"
"834","OE1",0.120233067176373,"OE","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Other"
"407","OE5",0.120066036319976,"OE","Bacteria","Actinobacteria","Actinobacteria","Solirubrobacterales","Other"
"1490","WT2",0.11983223487118,"WT","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Other"
"161","KO2",0.118998201189982,"KO","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Other"
"830","OE6",0.118568442073076,"OE","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Other"
