"","id","Abundance","Group","Kingdom","Phylum","Class","Order","Family"
"1795","OE1",27.6258593581404,"OE","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Unassigned"
"1786","OE6",26.1537021435926,"OE","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Unassigned"
"1787","WT3",26.1203620156946,"WT","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Unassigned"
"1793","KO1",24.7201492537313,"KO","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Unassigned"
"1799","KO6",23.6967466031505,"KO","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Unassigned"
"1791","KO2",23.5976200359762,"KO","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Unassigned"
"1796","OE4",23.5838746888471,"OE","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Unassigned"
"1792","WT4",22.6041497372555,"WT","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Unassigned"
"1798","WT6",22.599204215507,"WT","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Unassigned"
"1784","OE5",22.4373405372955,"OE","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Unassigned"
"1789","OE2",21.7548511510184,"OE","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Unassigned"
"1785","OE3",21.2202587202587,"OE","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Unassigned"
"1794","WT1",21.0166047220514,"WT","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Unassigned"
"1783","KO4",20.408859497192,"KO","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Unassigned"
"1797","KO3",20.3435085106929,"KO","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Unassigned"
"1790","WT2",19.7697137051606,"WT","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Unassigned"
"1800","KO5",19.2605905006419,"KO","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Unassigned"
"1788","WT5",18.4985593853377,"WT","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Unassigned"
"384","KO5",15.0064184852375,"KO","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae"
"383","KO1",11.5551275878671,"KO","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae"
"386","KO6",11.5303415796027,"KO","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae"
"381","KO3",11.3527252188647,"KO","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae"
"390","KO4",11.155723508109,"KO","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae"
"1415","KO2",11.0004151100042,"KO","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Pseudonocardiaceae"
"394","WT5",9.84953580194216,"WT","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae"
"1182","KO6",9.47599198830726,"KO","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae"
"385","WT2",9.1254851902988,"WT","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae"
"389","OE5",8.92090649857422,"OE","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae"
"1394","WT2",8.90145101206137,"WT","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae"
"382","OE3",8.87618387618387,"OE","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae"
"388","OE4",8.78513751441928,"OE","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae"
"392","WT4",8.70578037813533,"WT","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae"
"1405","WT5",8.69971187706755,"WT","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Pseudonocardiaceae"
"395","WT6",8.57887944940316,"WT","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae"
"1413","KO4",8.5052222747074,"KO","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Pseudonocardiaceae"
"379","WT1",8.497553410519,"WT","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae"
"1410","WT1",8.49487954223375,"WT","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Pseudonocardiaceae"
"1416","KO3",8.43880773279248,"KO","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Pseudonocardiaceae"
"1181","KO5",8.26444159178434,"KO","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae"
"1703","OE3",8.21783321783322,"OE","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Streptomycetaceae"
"1393","KO5",8.00256739409499,"KO","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae"
"1770","WT2",7.96623857034934,"WT","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Thermomonosporaceae"
"1401","OE4",7.64677311638638,"OE","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae"
"380","KO2",7.64632627646326,"KO","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae"
"1414","WT6",7.61909882783095,"WT","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Pseudonocardiaceae"
"396","WT3",7.60397014190796,"WT","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae"
"1411","WT4",7.50853242320819,"WT","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Pseudonocardiaceae"
"1183","KO4",7.43452474675904,"KO","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae"
"1188","WT2",7.42438846484487,"WT","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae"
"1399","WT5",7.41916551061786,"WT","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae"
"1777","WT1",7.4066151501377,"WT","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Thermomonosporaceae"
"960","KO2",7.16479867164799,"KO","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micromonosporaceae"
"1412","WT3",7.08719547206956,"WT","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Pseudonocardiaceae"
"1173","KO1",7.0323784304285,"KO","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae"
"588","KO3",6.85476624476907,"KO","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae"
"1391","KO1",6.61410688493019,"KO","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae"
"966","OE3",6.6008316008316,"OE","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micromonosporaceae"
"387","OE6",6.53998564697807,"OE","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae"
"1396","WT1",6.46273964544506,"WT","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae"
"1420","OE5",6.42953624493471,"OE","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Pseudonocardiaceae"
"1766","WT4",6.42234140527656,"WT","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Thermomonosporaceae"
"1779","KO2",6.35671786356718,"KO","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Thermomonosporaceae"
"581","OE2",6.35470652042907,"OE","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae"
"1187","WT1",6.29963368004492,"WT","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae"
"578","OE3",6.24566874566875,"OE","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae"
"956","OE2",6.23719416656623,"OE","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micromonosporaceae"
"1695","WT4",6.09458800585081,"WT","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Streptomycetaceae"
"393","OE1",6.08872583777785,"OE","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae"
"1767","OE2",5.88767024225624,"OE","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Thermomonosporaceae"
"1422","OE2",5.86959141858503,"OE","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Pseudonocardiaceae"
"391","OE2",5.76413161383633,"OE","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae"
"1421","OE1",5.76193852699078,"OE","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Pseudonocardiaceae"
"1404","OE5",5.71514332883086,"OE","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae"
"1407","WT2",5.69203115638107,"WT","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Pseudonocardiaceae"
"972","WT6",5.55704914506936,"WT","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micromonosporaceae"
"1437","KO5",5.55070603337612,"KO","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae"
"1403","OE6",5.54151455583638,"OE","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae"
"1397","OE2",5.53814631794625,"OE","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae"
"1178","WT5",5.52502401024437,"WT","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae"
"1417","OE6",5.51967300071765,"OE","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Pseudonocardiaceae"
"1400","OE3",5.46026796026796,"OE","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae"
"1776","WT3",5.42750116205944,"WT","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Thermomonosporaceae"
"1395","WT6",5.38229917195397,"WT","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae"
"1602","OE1",5.37349323303635,"OE","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Sinobacteraceae"
"1419","OE4",5.37307995871532,"OE","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Pseudonocardiaceae"
"1765","WT5",5.37029132429837,"WT","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Thermomonosporaceae"
"1174","OE3",5.34476784476785,"OE","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae"
"959","WT3",5.27164848385421,"WT","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micromonosporaceae"
"1388","WT4",5.2521805081532,"WT","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae"
"1406","KO1",5.24193548387097,"KO","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Pseudonocardiaceae"
"955","WT5",5.21822644328247,"WT","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micromonosporaceae"
"1408","KO5",5.21181001283697,"KO","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Pseudonocardiaceae"
"958","WT1",5.15789192224391,"WT","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micromonosporaceae"
"965","OE5",5.15083295812697,"OE","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micromonosporaceae"
"1418","KO6",5.0127212688789,"KO","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Pseudonocardiaceae"
"1387","WT3",4.98728570256747,"WT","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae"
"1588","WT3",4.97634867251798,"WT","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Sinobacteraceae"
"1172","OE4",4.96934005221298,"OE","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae"
"1781","WT6",4.96558769760189,"WT","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Thermomonosporaceae"
"1175","WT6",4.88224540273148,"WT","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae"
"1601","OE6",4.85194545851665,"OE","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Sinobacteraceae"
"1390","KO4",4.82863591035532,"KO","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae"
"1768","KO4",4.82338739306146,"KO","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Thermomonosporaceae"
"1591","WT6",4.80965695236047,"WT","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Sinobacteraceae"
"1430","KO3",4.77779774588586,"KO","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae"
"963","OE6",4.76769946020157,"OE","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micromonosporaceae"
"967","OE1",4.73533310725406,"OE","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micromonosporaceae"
"1184","WT3",4.71112569381784,"WT","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae"
"1704","OE4",4.65363365915852,"OE","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Streptomycetaceae"
"1775","OE5",4.60453249287108,"OE","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Thermomonosporaceae"
"971","KO1",4.58594126143476,"KO","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micromonosporaceae"
"1180","WT4",4.56958665149791,"WT","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae"
"1185","KO3",4.55957485045313,"KO","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae"
"968","OE4",4.53220812336834,"OE","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micromonosporaceae"
"1769","OE1",4.51028146869316,"OE","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Thermomonosporaceae"
"957","KO3",4.4953916459141,"KO","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micromonosporaceae"
"593","KO5",4.45442875481386,"KO","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae"
"1772","OE3",4.43809193809194,"OE","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Thermomonosporaceae"
"969","WT4",4.42331653935749,"WT","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micromonosporaceae"
"591","OE4",4.41381822597292,"OE","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae"
"1176","OE1",4.39313130067516,"OE","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae"
"1598","WT4",4.37726854109107,"WT","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Sinobacteraceae"
"1409","OE3",4.37167937167937,"OE","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Pseudonocardiaceae"
"1398","OE1",4.37155100656658,"OE","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae"
"1595","OE5",4.35239381659913,"OE","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Sinobacteraceae"
"592","WT6",4.30422626088827,"WT","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae"
"962","KO6",4.29545823634494,"KO","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micromonosporaceae"
"1694","WT5",4.26848788816562,"WT","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Streptomycetaceae"
"1171","OE5",4.18430136575116,"OE","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae"
"1780","KO1",4.17970630717381,"KO","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Thermomonosporaceae"
"1389","KO3",4.17190829503735,"KO","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae"
"1402","KO6",4.16283224164998,"KO","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae"
"1107","KO2",4.0874498408745,"KO","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardioidaceae"
"1179","KO2",4.07361284073613,"KO","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae"
"582","WT2",4.01177481960039,"WT","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae"
"1701","WT1",3.98138987673467,"WT","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Streptomycetaceae"
"1590","WT2",3.97269909083804,"WT","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Sinobacteraceae"
"1427","KO4",3.97050333280848,"KO","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae"
"1113","KO3",3.91517547688121,"KO","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardioidaceae"
"961","WT2",3.90757287623414,"WT","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micromonosporaceae"
"970","KO4",3.89702409069438,"KO","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micromonosporaceae"
"1771","OE6",3.85347436737496,"OE","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Thermomonosporaceae"
"1106","OE2",3.82969748101723,"OE","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardioidaceae"
"1432","WT5",3.82296446483833,"WT","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae"
"1438","KO6",3.81367401071835,"KO","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae"
"1773","OE4",3.79151235504827,"OE","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Thermomonosporaceae"
"1597","WT5",3.70291324298367,"WT","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Sinobacteraceae"
"1599","KO1",3.6651420317766,"KO","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Sinobacteraceae"
"1706","OE2",3.65794865614077,"OE","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Streptomycetaceae"
"577","WT1",3.6337869996524,"WT","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae"
"1587","OE3",3.6007161007161,"OE","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Sinobacteraceae"
"1186","OE6",3.57889481731099,"OE","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae"
"100","OE6",3.56017348435209,"OE","Bacteria","Firmicutes","Bacilli","Bacillales","Other"
"1429","OE5",3.55695632597929,"OE","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae"
"1589","OE4",3.5365187298889,"OE","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Sinobacteraceae"
"1782","KO6",3.51594218589292,"KO","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Thermomonosporaceae"
"1585","OE2",3.50126551765698,"OE","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Sinobacteraceae"
"193","OE5",3.46390514783131,"OE","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Other"
"1700","WT2",3.40479849949202,"WT","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Streptomycetaceae"
"722","KO5",3.40436456996149,"KO","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Other"
"580","WT5",3.27339664923701,"WT","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae"
"1104","OE5",3.27179948971935,"OE","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardioidaceae"
"1177","OE2",3.26322767265277,"OE","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae"
"1702","KO3",3.21942953967806,"KO","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Streptomycetaceae"
"1600","WT1",3.20864194229792,"WT","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Sinobacteraceae"
"1707","WT6",3.20195719969889,"WT","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Streptomycetaceae"
"1431","WT2",3.20160470992784,"WT","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae"
"1103","WT4",3.18002058616393,"WT","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardioidaceae"
"1710","OE6",3.16702549221505,"OE","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Streptomycetaceae"
"191","KO3",3.16038099150214,"KO","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Other"
"1698","WT3",3.11431930659229,"WT","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Streptomycetaceae"
"1778","KO5",3.09627727856226,"KO","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Thermomonosporaceae"
"1592","KO2",3.07181403071814,"KO","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Sinobacteraceae"
"195","OE1",3.04590436846811,"OE","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Other"
"1659","KO3",3.04228389515032,"KO","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Other"
"1709","KO1",3.03623013962446,"KO","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Streptomycetaceae"
"1110","KO6",3.03415796026633,"KO","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardioidaceae"
"1114","WT3",3.024088808684,"WT","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardioidaceae"
"1105","WT5",3.02262298580728,"WT","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardioidaceae"
"1837","OE5",3.0136575116314,"OE","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Other"
"1436","KO1",3.00312951372171,"KO","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae"
"1705","OE5",2.9896443043674,"OE","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Streptomycetaceae"
"1440","OE6",2.97045149614653,"OE","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae"
"188","KO2",2.95004842950048,"KO","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Other"
"98","OE1",2.91642260381663,"OE","Bacteria","Firmicutes","Bacilli","Bacillales","Other"
"724","KO6",2.91506523033617,"KO","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Other"
"197","KO4",2.8735632183908,"KO","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Other"
"725","KO3",2.87284023516726,"KO","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Other"
"1665","KO5",2.85494223363286,"KO","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Other"
"1586","KO6",2.84469225355925,"KO","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Sinobacteraceae"
"245","KO5",2.81129653401797,"KO","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Other"
"1844","KO6",2.80679911221783,"KO","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Other"
"1099","OE6",2.80195949951637,"OE","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardioidaceae"
"185","KO6",2.77973258268825,"KO","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Other"
"1697","KO2",2.7784696277847,"KO","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Streptomycetaceae"
"1102","KO4",2.77646564845431,"KO","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardioidaceae"
"182","KO5",2.77021822849807,"KO","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Other"
"1596","KO3",2.76244512336012,"KO","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Sinobacteraceae"
"1425","OE4",2.75332402404226,"OE","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae"
"1392","KO2",2.69821502698215,"KO","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae"
"194","WT6",2.68846112485214,"WT","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Other"
"186","OE6",2.68027083528347,"OE","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Other"
"1434","OE2",2.67566590333856,"OE","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae"
"1671","KO4",2.65837400934236,"KO","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Other"
"1428","WT6",2.65619959135391,"WT","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae"
"192","KO1",2.65406836783823,"KO","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Other"
"1423","WT4",2.64911425320982,"WT","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae"
"1854","WT6",2.64813420797935,"WT","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Other"
"1849","KO5",2.64698331193838,"KO","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Other"
"1101","WT6",2.61318421335627,"WT","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardioidaceae"
"189","OE2",2.60636374593226,"OE","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Other"
"1108","KO1",2.60592200288878,"KO","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardioidaceae"
"1593","KO4",2.59276754316905,"KO","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Sinobacteraceae"
"196","WT4",2.56785307979847,"WT","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Other"
"1109","OE3",2.56121506121506,"OE","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardioidaceae"
"198","WT5",2.55842492796927,"WT","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Other"
"589","WT3",2.54832800153118,"WT","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales","Flavobacteriaceae"
"1848","WT4",2.53263990465356,"WT","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Other"
"1852","KO4",2.52191255970188,"KO","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Other"
"709","WT1",2.52145779298912,"WT","Bacteria","Chloroflexi","Chloroflexia","Herpetosiphonales","Other"
"184","WT3",2.46356601864764,"WT","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Other"
"729","KO1",2.4584737602311,"KO","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Other"
"1112","WT2",2.42530023184932,"WT","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardioidaceae"
"1195","KO4",2.42481498976539,"KO","Bacteria","Firmicutes","Bacilli","Bacillales","Other"
"1842","OE6",2.40881150737933,"OE","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Other"
"1115","KO5",2.37483953786906,"KO","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardioidaceae"
"1100","WT1",2.36102569587422,"WT","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Nocardioidaceae"
