"","id","Abundance","Group","Kingdom","Phylum","Class","Order"
"577","KO1",12.3976889744824,"KO","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales"
"763","WT3",12.3561096984114,"WT","Bacteria","Proteobacteria","Unassigned","Unassigned"
"583","OE6",12.0003744266592,"OE","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales"
"767","OE2",11.7120646016633,"OE","Bacteria","Proteobacteria","Unassigned","Unassigned"
"581","KO2",11.3214335132143,"KO","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales"
"764","OE4",11.2652540829336,"OE","Bacteria","Proteobacteria","Unassigned","Unassigned"
"578","WT6",11.0899021400151,"WT","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales"
"773","KO2",11.077902310779,"KO","Bacteria","Proteobacteria","Unassigned","Unassigned"
"589","OE2",10.9648065565867,"OE","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales"
"769","KO1",10.784785748676,"KO","Bacteria","Proteobacteria","Unassigned","Unassigned"
"584","WT5",10.7752641126881,"WT","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales"
"765","OE5",10.5718144979739,"OE","Bacteria","Proteobacteria","Unassigned","Unassigned"
"580","WT4",10.4285172544558,"WT","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales"
"587","WT3",10.4257238946764,"WT","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales"
"771","KO6",10.3610675039246,"KO","Bacteria","Proteobacteria","Unassigned","Unassigned"
"760","WT1",10.2168507179336,"WT","Bacteria","Proteobacteria","Unassigned","Unassigned"
"768","WT6",10.1354984406925,"WT","Bacteria","Proteobacteria","Unassigned","Unassigned"
"772","OE3",9.88969738969739,"OE","Bacteria","Proteobacteria","Unassigned","Unassigned"
"590","OE4",9.87796733653087,"OE","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales"
"757","WT4",9.64028387236578,"WT","Bacteria","Proteobacteria","Unassigned","Unassigned"
"591","WT2",9.47977179774403,"WT","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales"
"574","WT2",8.90145101206137,"WT","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales"
"593","OE3",8.57877107877108,"OE","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales"
"761","KO4",8.34776675589146,"KO","Bacteria","Proteobacteria","Unassigned","Unassigned"
"586","WT1",8.30503489398112,"WT","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales"
"762","WT2",8.30228983770547,"WT","Bacteria","Proteobacteria","Unassigned","Unassigned"
"759","WT5",8.15547967132643,"WT","Bacteria","Proteobacteria","Unassigned","Unassigned"
"562","KO5",8.00256739409499,"KO","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales"
"560","OE4",7.64677311638638,"OE","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales"
"810","WT6",7.62716421120551,"WT","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales"
"795","OE5",7.5011256190905,"OE","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales"
"570","WT5",7.41916551061786,"WT","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales"
"796","OE6",7.41364785172704,"OE","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales"
"809","WT3",7.29773330052224,"WT","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales"
"774","KO3",7.25526944109265,"KO","Bacteria","Proteobacteria","Unassigned","Unassigned"
"799","OE1",7.25097882048278,"OE","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales"
"800","WT4",6.95866514979143,"WT","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales"
"332","KO3",6.89841082385561,"KO","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales"
"564","KO1",6.61410688493019,"KO","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales"
"770","KO5",6.61360718870347,"KO","Bacteria","Proteobacteria","Unassigned","Unassigned"
"572","WT1",6.46273964544506,"WT","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales"
"326","OE2",6.45112691334217,"OE","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales"
"339","OE3",6.38138138138138,"OE","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales"
"804","WT2",6.11665407559851,"WT","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales"
"805","WT5",6.11460889979725,"WT","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales"
"797","KO1",5.94908521906596,"KO","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales"
"808","OE3",5.76923076923077,"OE","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales"
"807","KO6",5.74893087208358,"KO","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales"
"571","OE5",5.71514332883086,"OE","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales"
"568","OE6",5.54151455583638,"OE","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales"
"563","OE2",5.53814631794625,"OE","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales"
"794","OE4",5.47629166413697,"OE","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales"
"575","OE3",5.46026796026796,"OE","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales"
"803","OE2",5.39652886585513,"OE","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales"
"561","WT6",5.38229917195397,"WT","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales"
"573","WT4",5.2521805081532,"WT","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales"
"798","KO4",5.16716527580958,"KO","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales"
"806","KO3",5.05763651767605,"KO","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales"
"569","WT3",4.98728570256747,"WT","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales"
"73","OE1",4.93263865338965,"OE","Bacteria","Firmicutes","Bacilli","Bacillales"
"793","WT1",4.89317896200433,"WT","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales"
"559","KO4",4.82863591035532,"KO","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales"
"801","KO2",4.78760204787602,"KO","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales"
"90","OE6",4.71777590564448,"OE","Bacteria","Firmicutes","Bacilli","Bacillales"
"342","OE4",4.51095865460506,"OE","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales"
"328","KO5",4.47240051347882,"KO","Bacteria","Bacteroidetes","Flavobacteriia","Flavobacteriales"
