"","id","Abundance","Group","Kingdom","Phylum","Class","Order"
"402","KO6",0.495317490391382,"KO","Bacteria","Proteobacteria","Betaproteobacteria","Other"
"690","WT2",0.494959230989658,"WT","Bacteria","Actinobacteria","Actinobacteria","Other"
"263","KO5",0.492939666238768,"KO","Bacteria","Bacteroidetes","Cytophagia","Cytophagales"
"714","WT3",0.492166352227053,"WT","Bacteria","Bacteroidetes","Sphingobacteriia","Other"
"686","WT4",0.490275746248442,"WT","Bacteria","Actinobacteria","Actinobacteria","Other"
"355","OE1",0.490180966180596,"OE","Bacteria","Actinobacteria","Actinobacteria","Other"
"697","KO5",0.48780487804878,"KO","Bacteria","Actinobacteria","Actinobacteria","Other"
"258","KO4",0.482863591035532,"KO","Bacteria","Bacteroidetes","Cytophagia","Cytophagales"
"703","WT1",0.481296291344688,"WT","Bacteria","Bacteroidetes","Sphingobacteriia","Other"
"638","WT5",0.477537082488528,"WT","Bacteria","Proteobacteria","Alphaproteobacteria","Other"
