"","Row.names","AA","Group","Shannon","Inv_Simpson","Pielou_evenness","Simpson_evenness","Richness","Chao1","ACE"
"1","KO1","KO","KO",6.08938227661917,103.833675911336,0.796228116272843,0.0495389675149505,2096,2278.13043478261,2297.7374516903
"2","KO2","KO","KO",6.12061188523553,120.807506533841,0.801975738957928,0.0585591403460208,2063,2312.06270627063,2299.27132545134
"3","KO3","KO","KO",5.76931859022757,92.0998565964426,0.77337593940562,0.0530223699461385,1737,1979.6875,1965.2365761752
"4","KO4","KO","KO",5.80299536929265,96.3839676035859,0.774365229114278,0.0536360420721124,1797,2056.98106060606,2037.50816961569
"5","KO5","KO","KO",5.51544571476133,68.7367585636502,0.748854151614756,0.0435042775719305,1580,1797.17786561265,1805.15859344362
"6","KO6","KO","KO",6.01698506470798,122.069482403625,0.796108636976072,0.0637105858056497,1916,2181.32530120482,2132.48386071537
"7","OE1","OE","OE",6.52261923948749,198.004377292671,0.84221840593508,0.0857533032882942,2309,2479.77777777778,2463.8962260575
"8","OE2","OE","OE",6.30487226459514,137.020973256763,0.817683275343038,0.0613893249358258,2232,2444.0409556314,2411.58473501224
"9","OE3","OE","OE",6.07296806223154,108.879247242265,0.7915454340868,0.050688662589509,2148,2356.61671469741,2375.97016208305
"10","OE4","OE","OE",6.16291145576657,137.935524569829,0.80390465023406,0.0646068030772032,2135,2340.4748427673,2337.96619942921
"11","OE5","OE","OE",6.26148019604101,156.865627186297,0.814984577862002,0.0722550102193906,2171,2327.76880222841,2354.48137601458
"12","OE6","OE","OE",6.50619000258715,210.690086490267,0.840709923822769,0.0917639749522071,2296,2456.03215434084,2450.60177239728
"13","WT1","WT","WT",5.90404719011376,92.9169298882894,0.77433996385014,0.0453695946720163,2048,2271.63354037267,2274.92483342978
"14","WT2","WT","WT",5.66674172249493,72.2289531426647,0.752883534728584,0.0388955051926035,1857,2131.15306122449,2124.6112383848
"15","WT3","WT","WT",6.25477886567205,143.867779514448,0.812708686568102,0.06539444523384,2200,2403.27094972067,2424.05800506739
"16","WT4","WT","WT",6.05053800772563,112.609896451227,0.791842860308597,0.054087366210964,2082,2304.45652173913,2299.29244485235
"17","WT5","WT","WT",5.79643067445165,93.4945398626753,0.766609901165705,0.0486444015934835,1922,2144.11974110032,2143.49512721377
"18","WT6","WT","WT",6.13069909798921,130.603532203292,0.800340418242003,0.0615473761561227,2122,2354.68224299065,2348.79764503354
