"","ID","i","index","Group"
"KO1","KO1",100,76,"KO"
"KO2","KO2",100,77,"KO"
"KO3","KO3",100,68,"KO"
"KO4","KO4",100,70,"KO"
"KO5","KO5",100,65,"KO"
"KO6","KO6",100,80,"KO"
"OE1","OE1",100,81,"OE"
"OE2","OE2",100,86,"OE"
"OE3","OE3",100,80,"OE"
"OE4","OE4",100,79,"OE"
"OE5","OE5",100,83,"OE"
"OE6","OE6",100,88,"OE"
"WT1","WT1",100,70,"WT"
"WT2","WT2",100,73,"WT"
"WT3","WT3",100,82,"WT"
"WT4","WT4",100,74,"WT"
"WT5","WT5",100,75,"WT"
"WT6","WT6",100,82,"WT"
"KO11","KO1",3682.44444444444,988,"KO"
"KO21","KO2",3682.44444444444,977,"KO"
"KO31","KO3",3682.44444444444,845,"KO"
"KO41","KO4",3682.44444444444,822,"KO"
"KO51","KO5",3682.44444444444,731,"KO"
"KO61","KO6",3682.44444444444,911,"KO"
"OE11","OE1",3682.44444444444,1201,"OE"
"OE21","OE2",3682.44444444444,1105,"OE"
"OE31","OE3",3682.44444444444,987,"OE"
"OE41","OE4",3682.44444444444,1016,"OE"
"OE51","OE5",3682.44444444444,1072,"OE"
"OE61","OE6",3682.44444444444,1160,"OE"
"WT11","WT1",3682.44444444444,921,"WT"
"WT21","WT2",3682.44444444444,858,"WT"
"WT31","WT3",3682.44444444444,1064,"WT"
"WT41","WT4",3682.44444444444,941,"WT"
"WT51","WT5",3682.44444444444,870,"WT"
"WT61","WT6",3682.44444444444,1018,"WT"
"KO12","KO1",7264.88888888889,1455,"KO"
"KO22","KO2",7264.88888888889,1385,"KO"
"KO32","KO3",7264.88888888889,1149,"KO"
"KO42","KO4",7264.88888888889,1156,"KO"
"KO52","KO5",7264.88888888889,977,"KO"
"KO62","KO6",7264.88888888889,1272,"KO"
"OE12","OE1",7264.88888888889,1642,"OE"
"OE22","OE2",7264.88888888889,1557,"OE"
"OE32","OE3",7264.88888888889,1430,"OE"
"OE42","OE4",7264.88888888889,1426,"OE"
"OE52","OE5",7264.88888888889,1463,"OE"
"OE62","OE6",7264.88888888889,1594,"OE"
"WT12","WT1",7264.88888888889,1314,"WT"
"WT22","WT2",7264.88888888889,1157,"WT"
"WT32","WT3",7264.88888888889,1450,"WT"
"WT42","WT4",7264.88888888889,1347,"WT"
"WT52","WT5",7264.88888888889,1213,"WT"
"WT62","WT6",7264.88888888889,1407,"WT"
"KO13","KO1",10847.3333333333,1671,"KO"
"KO23","KO2",10847.3333333333,1637,"KO"
"KO33","KO3",10847.3333333333,1357,"KO"
"KO43","KO4",10847.3333333333,1403,"KO"
"KO53","KO5",10847.3333333333,1194,"KO"
"KO63","KO6",10847.3333333333,1497,"KO"
"OE13","OE1",10847.3333333333,1912,"OE"
"OE23","OE2",10847.3333333333,1824,"OE"
"OE33","OE3",10847.3333333333,1715,"OE"
"OE43","OE4",10847.3333333333,1697,"OE"
"OE53","OE5",10847.3333333333,1755,"OE"
"OE63","OE6",10847.3333333333,1867,"OE"
"WT13","WT1",10847.3333333333,1589,"WT"
"WT23","WT2",10847.3333333333,1445,"WT"
"WT33","WT3",10847.3333333333,1736,"WT"
"WT43","WT4",10847.3333333333,1622,"WT"
"WT53","WT5",10847.3333333333,1472,"WT"
"WT63","WT6",10847.3333333333,1692,"WT"
"KO14","KO1",14429.7777777778,1873,"KO"
"KO24","KO2",14429.7777777778,1837,"KO"
"KO34","KO3",14429.7777777778,1487,"KO"
"KO44","KO4",14429.7777777778,1558,"KO"
"KO54","KO5",14429.7777777778,1345,"KO"
"KO64","KO6",14429.7777777778,1704,"KO"
"OE14","OE1",14429.7777777778,2089,"OE"
"OE24","OE2",14429.7777777778,2028,"OE"
"OE34","OE3",14429.7777777778,1879,"OE"
"OE44","OE4",14429.7777777778,1898,"OE"
"OE54","OE5",14429.7777777778,1927,"OE"
"OE64","OE6",14429.7777777778,2116,"OE"
"WT14","WT1",14429.7777777778,1780,"WT"
"WT24","WT2",14429.7777777778,1607,"WT"
"WT34","WT3",14429.7777777778,1920,"WT"
"WT44","WT4",14429.7777777778,1796,"WT"
"WT54","WT5",14429.7777777778,1639,"WT"
"WT64","WT6",14429.7777777778,1863,"WT"
"KO15","KO1",18012.2222222222,1985,"KO"
"KO25","KO2",18012.2222222222,1983,"KO"
"KO35","KO3",18012.2222222222,1625,"KO"
"KO45","KO4",18012.2222222222,1654,"KO"
"KO55","KO5",18012.2222222222,1468,"KO"
"KO65","KO6",18012.2222222222,1829,"KO"
"OE15","OE1",18012.2222222222,2231,"OE"
"OE25","OE2",18012.2222222222,2180,"OE"
"OE35","OE3",18012.2222222222,2026,"OE"
"OE45","OE4",18012.2222222222,2022,"OE"
"OE55","OE5",18012.2222222222,2076,"OE"
"OE65","OE6",18012.2222222222,2227,"OE"
"WT15","WT1",18012.2222222222,1925,"WT"
"WT25","WT2",18012.2222222222,1766,"WT"
"WT35","WT3",18012.2222222222,2086,"WT"
"WT45","WT4",18012.2222222222,1959,"WT"
"WT55","WT5",18012.2222222222,1791,"WT"
"WT65","WT6",18012.2222222222,2040,"WT"
"KO16","KO1",21594.6666666667,2117,"KO"
"KO26","KO2",21594.6666666667,2053,"KO"
"KO36","KO3",21594.6666666667,1730,"KO"
"KO46","KO4",21594.6666666667,1790,"KO"
"KO56","KO5",21594.6666666667,1573,"KO"
"KO66","KO6",21594.6666666667,1932,"KO"
"OE16","OE1",21594.6666666667,2328,"OE"
"OE26","OE2",21594.6666666667,2268,"OE"
"OE36","OE3",21594.6666666667,2156,"OE"
"OE46","OE4",21594.6666666667,2180,"OE"
"OE56","OE5",21594.6666666667,2188,"OE"
"OE66","OE6",21594.6666666667,2318,"OE"
"WT16","WT1",21594.6666666667,2055,"WT"
"WT26","WT2",21594.6666666667,1866,"WT"
"WT36","WT3",21594.6666666667,2184,"WT"
"WT46","WT4",21594.6666666667,2092,"WT"
"WT56","WT5",21594.6666666667,1921,"WT"
"WT66","WT6",21594.6666666667,2106,"WT"
"KO17","KO1",25177.1111111111,2198,"KO"
"KO27","KO2",25177.1111111111,2166,"KO"
"KO37","KO3",25177.1111111111,1811,"KO"
"KO47","KO4",25177.1111111111,1868,"KO"
"KO57","KO5",25177.1111111111,1630,"KO"
"KO67","KO6",25177.1111111111,2020,"KO"
"OE17","OE1",25177.1111111111,2400,"OE"
"OE27","OE2",25177.1111111111,2355,"OE"
"OE37","OE3",25177.1111111111,2227,"OE"
"OE47","OE4",25177.1111111111,2244,"OE"
"OE57","OE5",25177.1111111111,2288,"OE"
"OE67","OE6",25177.1111111111,2401,"OE"
"WT17","WT1",25177.1111111111,2117,"WT"
"WT27","WT2",25177.1111111111,1931,"WT"
"WT37","WT3",25177.1111111111,2271,"WT"
"WT47","WT4",25177.1111111111,2165,"WT"
"WT57","WT5",25177.1111111111,2005,"WT"
"WT67","WT6",25177.1111111111,2226,"WT"
"KO18","KO1",28759.5555555556,2262,"KO"
"KO28","KO2",28759.5555555556,2226,"KO"
"KO38","KO3",28759.5555555556,1877,"KO"
"KO48","KO4",28759.5555555556,1938,"KO"
"KO58","KO5",28759.5555555556,1755,"KO"
"KO68","KO6",28759.5555555556,2092,"KO"
"OE18","OE1",28759.5555555556,2471,"OE"
"OE28","OE2",28759.5555555556,2410,"OE"
"OE38","OE3",28759.5555555556,2300,"OE"
"OE48","OE4",28759.5555555556,2303,"OE"
"OE58","OE5",28759.5555555556,2351,"OE"
"OE68","OE6",28759.5555555556,2460,"OE"
"WT18","WT1",28759.5555555556,2219,"WT"
"WT28","WT2",28759.5555555556,2004,"WT"
"WT38","WT3",28759.5555555556,2343,"WT"
"WT48","WT4",28759.5555555556,2241,"WT"
"WT58","WT5",28759.5555555556,2087,"WT"
"WT68","WT6",28759.5555555556,2294,"WT"
"KO19","KO1",32342,2323,"KO"
"KO29","KO2",32342,2299,"KO"
"KO39","KO3",32342,1928,"KO"
"KO49","KO4",32342,1987,"KO"
"KO59","KO5",32342,1814,"KO"
"KO69","KO6",32342,2140,"KO"
"OE19","OE1",32342,2517,"OE"
"OE29","OE2",32342,2464,"OE"
"OE39","OE3",32342,2368,"OE"
"OE49","OE4",32342,2375,"OE"
"OE59","OE5",32342,2405,"OE"
"WT19","WT1",32342,2259,"WT"
"WT29","WT2",32342,2065,"WT"
"WT39","WT3",32342,2414,"WT"
"WT49","WT4",32342,2302,"WT"
"WT59","WT5",32342,2140,"WT"
"WT69","WT6",32342,2344,"WT"
"KO210","KO2",35924.4444444444,2346,"KO"
"KO310","KO3",35924.4444444444,1976,"KO"
"KO410","KO4",35924.4444444444,2043,"KO"
"KO510","KO5",35924.4444444444,1836,"KO"
"KO610","KO6",35924.4444444444,2193,"KO"
"WT110","WT1",35924.4444444444,2326,"WT"
"WT210","WT2",35924.4444444444,2132,"WT"
"WT310","WT3",35924.4444444444,2464,"WT"
"WT410","WT4",35924.4444444444,2352,"WT"
"WT510","WT5",35924.4444444444,2185,"WT"
"WT610","WT6",35924.4444444444,2400,"WT"
