"","name","R_mantel","p_mantel","R_pro","p_pro"
"1","KO_VS_OE",0.0678571428571429,0.409722222222222,0.642814669170474,0.366666666666667
"2","KO_VS_WT",0.389285714285714,0.0958333333333333,0.51413487067523,0.136111111111111
"3","OE_VS_WT",-0.00357142857142857,0.511111111111111,0.828536858999099,0.7125
