"","x","y","ID","Group"
"sample1",0.0407193476485039,0.100605181643327,"sample1","Group1"
"sample10",-0.265009981109888,-0.220121493288715,"sample10","Group2"
"sample11",-0.206383781791632,-0.392989029068014,"sample11","Group2"
"sample12",-0.230839646060237,-0.0843195724708712,"sample12","Group2"
"sample13",0.124818557074256,0.0392063441138135,"sample13","Group3"
"sample14",0.173147099261437,0.00399298897672758,"sample14","Group3"
"sample15",0.115215074086967,0.012736166283694,"sample15","Group3"
"sample16",0.147971669415748,0.0270435518058175,"sample16","Group3"
"sample17",0.172680575140467,-0.011241078230413,"sample17","Group3"
"sample18",0.166611905326912,0.00501023475269285,"sample18","Group3"
"sample2",0.0957788840560201,0.0634884381825528,"sample2","Group1"
"sample3",0.164801515341904,-0.0648273076153741,"sample3","Group1"
"sample4",0.19266835958356,-0.0467473213703749,"sample4","Group1"
"sample5",0.178543176781768,-0.0358214779919599,"sample5","Group1"
"sample6",0.0146925896706877,0.0923839027771829,"sample6","Group1"
"sample7",-0.258091856649601,0.145839239925323,"sample7","Group2"
"sample8",-0.284049471683082,0.150182199607528,"sample8","Group2"
"sample9",-0.343274016093792,0.215579031967063,"sample9","Group2"
