""	"Row.names"	"RDA1"	"RDA2"	"RDA3"	"RDA4"	"RDA5"	"RDA6"	"Group"
"1"	"KO1"	-0.160727930603148	-0.0785398893067333	-0.0261198796093606	0.00538536122488942	0.0208178637646385	-0.290643761010565	"KO"
"2"	"KO2"	0.0431087168884822	-0.19582135964066	-0.00396677775889476	0.140757348357214	0.225155641971224	0.0335050048790219	"KO"
"3"	"KO3"	-0.170984544384685	0.118757293439369	0.17528150369698	0.00402780002045589	0.250342853100605	0.0780125133190803	"KO"
"4"	"KO4"	-0.195288335091348	-0.0467180153533659	0.0669504021324965	-0.0500903383391722	-0.0381919197338241	0.132716210610065	"KO"
"5"	"KO5"	-0.322228185116542	0.0752340002069755	-0.12433926626118	0.0255088578556362	-0.178412559240247	-0.0480505942588111	"KO"
"6"	"KO6"	-0.15782998643751	-0.115471549558916	0.101124399685375	0.0795533744283645	-0.0243820760210494	0.0607232556413593	"KO"
"7"	"OE1"	0.125417810865288	-0.1432421724312	0.0176918306780131	-0.20854559981762	0.000285925225024634	0.00361057978010588	"OE"
"8"	"OE2"	0.13881211782773	0.157970052948367	-0.144068597040467	-0.182385294321956	0.130470250923656	0.00571105148683954	"OE"
"9"	"OE3"	0.0911325869187584	0.25918344052312	0.215139801125994	0.0616126599456614	-0.00321949451809857	-0.0940199951759185	"OE"
"10"	"OE4"	0.0261640109931918	0.0649897101487434	0.158415426710133	-0.0584893680868914	-0.147644882621523	-0.058466873106022	"OE"
"11"	"OE5"	0.0554340121102409	-0.0794005086023475	0.0304416864668063	-0.0416131308068737	-0.0539074284695266	-0.0804697673262094	"OE"
"12"	"OE6"	0.0975083489089384	-0.132923242063597	0.121548585431231	-0.14878577647667	-0.1138792462412	0.0682252336477947	"OE"
"13"	"WT1"	0.0803239047583979	0.0664413600606532	-0.217838536602161	0.0104753228307881	0.072929336904272	0.0620444043350589	"WT"
"14"	"WT2"	0.0586949279551666	0.0967340290402952	-0.183403955959617	0.116379412594968	-0.141894499404897	0.19306132273828	"WT"
"15"	"WT3"	0.0979539748113093	-0.0550033649476645	-0.0369262395492427	-0.0304175116497981	0.0191008105085795	0.0581046429039001	"WT"
"16"	"WT4"	0.111984670248877	-0.0205781719969444	0.0187658851044402	0.133210997499326	-0.0176790289686063	0.1646715688292	"WT"
"17"	"WT5"	0.041521213601963	-0.0297938433504117	-0.0914562042456936	0.275160787314025	-0.108231607171191	-0.207869481267698	"WT"
"18"	"WT6"	0.0390026857448894	0.0581822308843179	-0.0772400640048535	-0.131744902572348	0.108340059992162	-0.0808653160254822	"WT"
