,id,group,model_2,model_1,model_3
1,KO1,KO,-0.0116024952602579,1.54475895296853,0.0773459462003553
2,KO2,KO,1.17833252424161,7.44194511622163,-0.682407913356215
3,KO3,KO,0.77554353134511,-0.838610415684642,-1.40855104535388
4,KO4,KO,0.0839475587022629,0.359593817068224,-1.33227528780117
5,KO5,KO,1.8144388974711,-0.14975824324514,2.98342649123461
6,KO6,KO,-1.12403785511386,0.336909067915438,-1.21633484973825
7,OE1,OE,-1.02517852940275,0.62746793974079,-1.56449957125975
8,OE2,OE,0.823730331347609,0.224518891192965,0.189806033626307
9,OE3,OE,-0.176152460416892,-1.4115473612997,-1.54816597611884
10,OE4,OE,-1.32932537346446,0.401502869175481,-1.4957430416365
11,OE5,OE,0.0164269339882288,0.84215780292935,0.80777133070293
12,OE6,OE,-1.69843301648813,0.676596942805192,-1.36577288604623
13,WT1,WT,-0.721159325306281,1.10961216646172,-0.869013816998789
14,WT2,WT,0.112786525850238,2.83823812956244,3.54958158963945
15,WT3,WT,-0.665098227729386,0.490250750808686,-1.11817170434966
16,WT4,WT,1.32415323266781,-0.0711211876839546,-1.48347959377247
17,WT5,WT,0.0394153558098047,25.1573661858864,2.27884497765892
18,WT6,WT,-0.181614971963372,0.292466439716714,-0.502502910128699
