,ID,group,Shannon,Richness,Pielou_evenness
1,1,model_1,1.82191561726698,8,0.876156208649743
2,2,model_1,1.84284247884535,8,0.886219901789902
3,3,model_1,1.90819349721615,8,0.917647098496769
4,4,model_1,1.81701451769454,8,0.873799277967053
5,5,model_1,1.50875378651607,7,0.775346069934691
6,6,model_1,1.81543883125992,8,0.873041532965314
7,7,model_1,1.70330454498895,8,0.81911634005973
8,8,model_1,1.74752225587182,8,0.840380564129788
9,9,model_1,1.83418862124718,8,0.882058275976093
10,10,model_1,1.7873527767729,8,0.859534995789795
11,11,model_1,1.82497833998065,8,0.877629066939953
12,12,model_1,1.90551518169235,8,0.916359100988727
13,13,model_1,1.88946699556773,8,0.908641554809646
14,14,model_1,1.63809369897087,8,0.787756552005577
15,15,model_1,1.70519292989447,8,0.820024461239224
16,16,model_1,1.46344075261233,7,0.752059776923818
17,17,model_1,1.73573406691442,8,0.834711643546487
18,18,model_1,1.67091020840536,8,0.803537957145719
19,19,model_2,1.5797794095482,7,0.811846019876684
20,20,model_2,1.8226254088057,7,0.936644176346239
21,21,model_2,0.787222414337754,7,0.404552293804485
22,22,model_2,1.38292659675148,7,0.710683685689624
23,23,model_2,0.775194706360541,7,0.398371274612487
24,24,model_2,1.47497590435878,7,0.757987672285301
25,25,model_2,1.75781946221537,7,0.903340507817763
26,26,model_2,0.854439564728473,7,0.439095075969094
27,27,model_2,1.03040014814682,7,0.529520928110194
28,28,model_2,1.21528870125736,7,0.624534849076845
29,29,model_2,1.57266204767921,7,0.808188419410165
30,30,model_2,1.6631919571439,7,0.85471158981895
31,31,model_2,1.05787353495628,7,0.543639456050861
32,32,model_2,1.0779501471903,7,0.553956793798325
33,33,model_2,1.2392519114061,7,0.636849503050138
34,34,model_2,1.59833190834521,7,0.821380118255284
35,35,model_2,1.15126450391743,7,0.591632920192299
36,36,model_2,1.02210621665614,7,0.525258690465407
37,37,model_3,1.55434399151632,6,0.867495898981341
38,38,model_3,1.44680909361396,6,0.807479529736927
39,39,model_3,1.30402645540367,6,0.727791022064743
40,40,model_3,1.46982152520999,6,0.820323012353457
41,41,model_3,1.39666178008166,6,0.779491781161557
42,42,model_3,1.56596787805973,6,0.873983313583042
43,43,model_3,1.3194866015014,6,0.736419493889921
44,44,model_3,1.33971777688556,6,0.747710727859445
45,45,model_3,1.48733633227418,6,0.830098212297979
46,46,model_3,1.39142713038168,6,0.776570267537726
47,47,model_3,1.5451799342211,6,0.862381341222552
48,48,model_3,1.43696728386552,6,0.801986711131831
49,49,model_3,1.34483113767817,6,0.75056454885519
50,50,model_3,1.38160030373957,6,0.771085811163482
51,51,model_3,1.39823079133456,6,0.780367463014979
52,52,model_3,1.52700886695766,6,0.852239875487052
53,53,model_3,1.37320670708962,6,0.766401255678164
54,54,model_3,1.57012023919372,6,0.876300790457199
