"","%IncMSE","%IncMSE.pval","rownames(frimp.scaled1)","lab"
"ME7",1.465,1,"ME7",""
"ME6",1.415,1,"ME6",""
"ME33",1.313,1,"ME33",""
"ME40",1.306,1,"ME40",""
"ME28",1.184,1,"ME28",""
"ME31",1.001,1,"ME31",""
"ME21",1.001,1,"ME21",""
"ME26",1.001,1,"ME26",""
"ME9",0.825,1,"ME9",""
"ME22",0.497,1,"ME22",""
"ME12",0.323,1,"ME12",""
"ME1",0,1,"ME1",""
"ME2",0,1,"ME2",""
"ME3",0,1,"ME3",""
"ME4",0,1,"ME4",""
"ME29",0,1,"ME29",""
"ME43",0,1,"ME43",""
"ME34",-0.366,1,"ME34",""
"ME19",-0.485,1,"ME19",""
"ME5",-0.56,1,"ME5",""
"ME24",-0.595,1,"ME24",""
"ME42",-0.761,1,"ME42",""
"ME23",-0.845,1,"ME23",""
"ME11",-0.945,1,"ME11",""
"ME35",-0.976,1,"ME35",""
"ME10",-1.001,1,"ME10",""
"ME41",-1.001,1,"ME41",""
"ME15",-1.001,1,"ME15",""
"ME32",-1.095,1,"ME32",""
"ME37",-1.169,1,"ME37",""
"ME20",-1.179,1,"ME20",""
"ME38",-1.207,1,"ME38",""
"ME18",-1.319,1,"ME18",""
"ME36",-1.723,1,"ME36",""
"ME8",0,1,"ME8",""
"ME13",0,1,"ME13",""
"ME14",0,1,"ME14",""
"ME16",0,1,"ME16",""
"ME17",0,1,"ME17",""
"ME25",0,1,"ME25",""
"ME27",0,1,"ME27",""
"ME30",0,1,"ME30",""
"ME39",0,1,"ME39",""
