""	"Row.names"	"RDA1"	"RDA2"	"RDA3"	"RDA4"	"RDA5"	"RDA6"	"Group"
"1"	"sample1"	-0.0285739206875355	-0.0108743990629911	-0.0859818660864814	0.0242212961587842	0.164272632817358	-0.286324161150542	"Group1"
"2"	"sample10"	0.0763001521977861	0.132214652815853	0.0381771970308565	-0.0979217709909403	0.043810235112669	-0.0104005828957484	"Group2"
"3"	"sample11"	-0.0393302350985811	0.380485284622578	0.0810901102405223	-0.15615097564847	-0.111836679332726	0.0144075303293385	"Group2"
"4"	"sample12"	0.0462125152939327	0.194069352776558	-0.0104705898687723	0.176789414670727	0.0745975046464576	-0.059257881897899	"Group2"
"5"	"sample13"	-0.0493369747303221	-0.0430453359747391	0.0681362466503704	0.0259022378302122	0.0824689639901958	-0.0484330580398671	"Group3"
"6"	"sample14"	-0.0718050548401089	-0.0962984274555082	0.197684719283656	0.05772892263577	-0.148562845710269	0.0504754555865558	"Group3"
"7"	"sample15"	-0.0563440897806322	-0.0231752332312537	0.028770436942068	0.0137059991885076	0.149757659147362	-0.0557557756252525	"Group3"
"8"	"sample16"	-0.0511421264903406	-0.0726793979924528	0.171435287590322	0.0672468793744847	-0.031618147529584	0.00945270607914678	"Group3"
"9"	"sample17"	-0.0658551246072534	-0.0771234681252718	0.148012656542644	0.0151032202007498	-0.0729563695225087	0.0177836178924226	"Group3"
"10"	"sample18"	-0.0685269835184008	-0.0598803980712227	0.113902996151516	0.0304951751291377	-0.0506488314293196	-0.0533538978209353	"Group3"
"11"	"sample2"	-0.0616381910170695	-0.0614809185821554	-0.180776526249536	-0.0688099286477151	0.0219830811067433	-0.0455715797356305	"Group1"
"12"	"sample3"	-0.0922192841035158	-0.0156477748399599	-0.201321317402458	-0.1024317408737	-0.0846419995359008	0.187275042904919	"Group1"
"13"	"sample4"	-0.0915219849259354	-0.0549854730910781	-0.0480015621674566	-0.0937014527866816	0.15109817563299	0.173033886316299	"Group1"
"14"	"sample5"	-0.0723566408944089	-0.0439085848503882	-0.0206175399155686	-0.0953332347067118	0.149537100037571	0.11880213386922	"Group1"
"15"	"sample6"	-0.0289066306094357	-0.0710287031752551	-0.164861260999512	-0.0559464133816461	-0.273621858859582	-0.225048543973274	"Group1"
"16"	"sample7"	0.0535851601323693	0.0420870347499959	-0.166929860804202	0.319159540504716	-0.105644501423772	0.161961008085256	"Group2"
"17"	"sample8"	0.219421708073645	0.000233860978224804	-0.0015811346710063	0.112937426664377	0.0900655013746984	0.023045302628941	"Group2"
"18"	"sample9"	0.382037705605807	-0.118962071490935	0.0333320077330393	-0.172994595321602	-0.0480596205223848	0.0279087974470502	"Group2"
