Phylum	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
Bacteria|Acidobacteria	0.0744255279560889	0.147556635708706	0.0309885342423303	0.0400064010241639	0.0681353622530093	0.0587051325058705	0.315633122911251	0.199866755496336	0.164338537387017	0.100027280167318	0.221533008418254	0.335731414868105	0.137622570101497	0.0842530963012891	0.600035823034211	0.0952463416746039	0.0417780748663102	0.0944530310836339
Bacteria|Actinobacteria	24.1138710577728	36.8370801145734	26.5106910443136	25.836133781405	14.9443561208267	21.620261657162	26.076865948756	32.0072332730561	30.8408655162969	26.5254160225516	28.3207797961896	26.9352517985612	31.5757784276621	24.7535596933187	29.3390650188071	30.9896960775825	31.6260026737968	28.5849218615834
Bacteria|Bacteroidetes	3.03284026421062	2.69073865115875	7.53796095444685	3.04048647783645	4.99659323188735	2.20563569272056	3.75974749350167	8.59427048634244	8.81950150643659	7.82031463126307	3.58883473637572	3.36690647482014	5.62532255289867	6.42851124778836	4.87193265269568	3.92241752532687	4.84625668449198	5.81315473123819
Bacteria|Chlamydiae	0.0186063819890222	0.00867980210051211	0	0	0.00757059580588992	0.0251593425025159	0.0464166357222429	0.0190349290948891	0.0365196749748927	0.0727471128489588	0.00886132033673017	0	0	0.00842530963012891	0.0895575855274942	0.0086587583340549	0	0.0601064743259488
Bacteria|Chloroflexi	1.30244673923156	1.64048259699679	0.488069414316703	1.12818050888142	1.40056022408964	0.779939617577994	1.13256591162273	2.50309317597792	1.03168081804072	1.3276348094935	1.75454142667257	1.49640287769784	3.85343196284191	0.800404414862246	1.37918681712341	1.62784656680232	1.6293449197861	1.76026103383136
Bacteria|Firmicutes	2.02809563680342	2.91641350577207	1.78184071893399	3.77660425668107	1.31728367022485	2.27272727272727	5.8670627552915	3.46435709526982	2.72984570437323	3.4373010821133	2.25963668586619	5.5347721822542	1.19559607775675	0.800404414862246	1.51352319541465	1.20356740843363	1.1447192513369	1.57135497166409
Bacteria|Gemmatimonadetes	0.148851055912178	0.182275844110754	0.100712736287574	0.112017922867659	0.0529941706412295	0.109023817510902	0.204233197177869	0.199866755496336	0.155208618643294	0.127307447485678	0.150642445724413	0.15347721822542	0.0774126956820919	0.126379644451934	0.116424861185742	0.147198891678933	0.100267379679144	0.171732783788425
Bacteria|Nitrospirae	0.0465159549725556	0.0607586147035848	0.0387356678029129	0.0640102416386622	0.0227117874176698	0.0754780275075478	0.148533234311177	0.10469211002189	0.118688943668401	0.0727471128489588	0.115197164377492	0.172661870503597	0.103216927576122	0.0842530963012891	0.125380619738492	0.355009091696251	0.12533422459893	0.171732783788425
Bacteria|Planctomycetes	0.0744255279560889	0.234354656713827	0.108459869848156	0.0640102416386622	0.00757059580588992	0.0754780275075478	0.538432974378017	0.666222518321119	0.283027481055419	0.172774393016277	0.265839610101905	0.45083932853717	0.206433855152245	0.168506192602578	0.241805480924234	0.173175166681098	0.12533422459893	0.111626309462476
Bacteria|Proteobacteria	67.6714112940739	53.6498567832653	62.1397582894329	64.6823491758681	76.1147702324173	71.4944649446495	59.6175269216487	50.3283525268868	53.8300009129919	58.4795853414568	61.0544971200709	59.1175059952038	55.0920350937554	65.0096891060746	59.8155113738134	59.2778595549398	58.7733957219251	59.9175682637816
Bacteria|Spirochaetes	0.0558191459670667	0.0260394063015363	0.0697242020452433	0.072011521843495	0.098417745476569	0.0335457900033546	0.0835499443000371	0.085657180927001	0.100429106180955	0.145494225697918	0.124058484714222	0.0863309352517986	0.0430070531567177	0.168506192602578	0.107469102632993	0.147198891678933	0.0501336898395722	0.188906062167268
Bacteria|Unassigned	0.381430830774956	0.503428521829702	0.178184071893399	0.256040966554649	0.242259065788478	0.301912110030191	0.538432974378017	0.475873227372228	0.456495937186159	0.391015731563154	0.478511298183429	0.556354916067146	0.602098744194048	0.286460527424383	0.340318825004478	0.303056541691921	0.376002673796791	0.300532371629744
Bacteria|Verrucomicrobia	0.102335100939622	0.0433990105025605	0.100712736287574	0.0240038406144983	0.0605647664471194	0.0922509225092251	0.204233197177869	0.114209574569335	0.292157399799142	0.154587614804037	0.336730172795747	0.412470023980815	0.215035265783589	0.168506192602578	0.250761239476984	0.207810200017318	0.108622994652406	0.120212948651898
