var	estimate	estimate1	estimate2	statistic	p.value	parameter	conf.low	conf.high	method	alternative
ASV_2	308.833333333333	733.833333333333	425	3.24541084696322	0.0145107533330052	6.87322207082737	82.9715422214062	534.69512444526	Welch Two Sample t-test	two.sided
ASV_6	163.5	334.333333333333	170.833333333333	4.35573454416088	0.00659793323966547	5.23049088230256	68.2737862955789	258.726213704421	Welch Two Sample t-test	two.sided
ASV_17	49.5	153.833333333333	104.333333333333	3.19606217748372	0.0199430788233149	5.72574085544214	11.1582944323559	87.8417055676441	Welch Two Sample t-test	two.sided
ASV_30	-34.1666666666667	59.5	93.6666666666667	-2.95124457806965	0.0145201823832446	9.98893336560416	-59.9657861025158	-8.3675472308175	Welch Two Sample t-test	two.sided
ASV_1276	22.8333333333333	85.8333333333333	63	2.97868320808965	0.0163826148036687	8.54701357042583	5.35147537145188	40.3151912952148	Welch Two Sample t-test	two.sided
ASV_35	-43.6666666666667	41.8333333333333	85.5	-2.74704969843001	0.0206985037778479	9.93495968458106	-79.1162633899835	-8.2170699433498	Welch Two Sample t-test	two.sided
ASV_41	38.6666666666667	86	47.3333333333333	2.6181699830439	0.0364424401500289	6.58447997117473	3.29275643679485	74.0405768965385	Welch Two Sample t-test	two.sided
ASV_37	-35.1666666666667	38.3333333333333	73.5	-4.07445252736094	0.00399534155350914	7.57589115967469	-55.2654471053342	-15.0678862279991	Welch Two Sample t-test	two.sided
ASV_38	47.8333333333333	93.8333333333333	46	3.44883174904387	0.0156242550589757	5.51241780422597	13.1549579951585	82.5117086715082	Welch Two Sample t-test	two.sided
ASV_47	12	60.6666666666667	48.6666666666667	2.41507417242739	0.0386619800525584	9.09245669683438	0.777211389638673	23.2227886103613	Welch Two Sample t-test	two.sided
ASV_68	24.3333333333333	66.8333333333333	42.5	2.93056910754851	0.0181377468408396	8.34429756098607	5.32258813914677	43.3440785275199	Welch Two Sample t-test	two.sided
ASV_48	-14.6666666666667	33.8333333333333	48.5	-2.74839008669976	0.0223490246747265	9.08374466661089	-26.721628305427	-2.6117050279063	Welch Two Sample t-test	two.sided
ASV_55	29.5	55.6666666666667	26.1666666666667	2.50030927567755	0.0383303390949472	7.6191224302214	2.0539462892354	56.9460537107646	Welch Two Sample t-test	two.sided
ASV_58	19	49.5	30.5	3.55902608401044	0.0111876127531203	6.23783514417781	6.05685211715165	31.9431478828483	Welch Two Sample t-test	two.sided
ASV_56	-27.3333333333333	23.5	50.8333333333333	-3.22400180897047	0.011903135794773	8.13245612277564	-46.828524565558	-7.83814210110863	Welch Two Sample t-test	two.sided
ASV_59	17.5	47.8333333333333	30.3333333333333	2.47970007001976	0.0472974261945369	6.08098816087406	0.286993163859288	34.7130068361407	Welch Two Sample t-test	two.sided
ASV_456	-18.5	23.8333333333333	42.3333333333333	-2.7176837673551	0.026820715645326	7.84550195030506	-34.251557298714	-2.74844270128606	Welch Two Sample t-test	two.sided
ASV_82	18.5	41.5	23	3.54830034181962	0.00808913942557899	7.65388411109544	6.38174179831527	30.6182582016847	Welch Two Sample t-test	two.sided
ASV_72	29.1666666666667	50.6666666666667	21.5	3.16677897800795	0.0220290572918484	5.4658069458745	6.08528569937488	52.2480476339585	Welch Two Sample t-test	two.sided
ASV_86	-20	15.8333333333333	35.8333333333333	-2.81749143625758	0.0185625891047201	9.81066754121821	-35.8579450470837	-4.14205495291631	Welch Two Sample t-test	two.sided
ASV_95	15.8333333333333	31.8333333333333	16	3.15651201749368	0.013069552629149	8.19016380534443	4.31280221780364	27.353864448863	Welch Two Sample t-test	two.sided
ASV_111	-20	6.33333333333333	26.3333333333333	-4.41128773256285	0.00564187948592245	5.46280535844942	-31.3637562711998	-8.63624372880017	Welch Two Sample t-test	two.sided
ASV_99	7.66666666666667	24.6666666666667	17	2.62792793316942	0.026622303907842	9.34979922238511	1.1045389101697	14.2287944231636	Welch Two Sample t-test	two.sided
ASV_115	-9.16666666666667	13.1666666666667	22.3333333333333	-2.47306558272639	0.0333743231435708	9.80252863872491	-17.4480950563022	-0.885238277031181	Welch Two Sample t-test	two.sided
ASV_116	10.5	25.5	15	3.17792961552351	0.0125563054353753	8.2372694562951	2.91890704350957	18.0810929564904	Welch Two Sample t-test	two.sided
ASV_152	-6.33333333333333	15.5	21.8333333333333	-3.16227766016838	0.0101927435378265	9.94020060257046	-10.7994376046496	-1.86722906201704	Welch Two Sample t-test	two.sided
ASV_124	5.5	22.3333333333333	16.8333333333333	3.32334541485689	0.00812619543686262	9.61237888075934	1.79226625688369	9.20773374311631	Welch Two Sample t-test	two.sided
ASV_161	9.16666666666667	18.3333333333333	9.16666666666667	3.04336890714225	0.0154723422773679	8.22349102773246	2.25367252584353	16.0796608074898	Welch Two Sample t-test	two.sided
ASV_146	-13.1666666666667	8.66666666666667	21.8333333333333	-4.09485857366439	0.00269858551003759	8.99806493283124	-20.4406775297372	-5.89265580359611	Welch Two Sample t-test	two.sided
ASV_347	10.8333333333333	19.1666666666667	8.33333333333333	2.84116527138961	0.0320963094640277	5.56340005221662	1.32289038407778	20.3437762825889	Welch Two Sample t-test	two.sided
ASV_147	13.5	23.6666666666667	10.1666666666667	5.5709919048732	0.000874625321263809	6.92106172805856	7.75660916561539	19.2433908343846	Welch Two Sample t-test	two.sided
ASV_156	3.66666666666667	7.66666666666667	4	2.80305955290694	0.0190426680251753	9.8	0.743967737143543	6.58936559618979	Welch Two Sample t-test	two.sided
