OTU	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
ASV_2	6.24244115731696	3.57607846541099	6.69352339634335	6.34501520243239	7.8128548716784	5.29184837302919	2.2744151503899	1.60845150851813	3.7797863599014	4.00109120669273	3.0837394771821	2.29256594724221	3.78462067779116	4.51596596174909	2.39118753358409	3.34228071694519	4.15274064171123	3.64073501631461
ASV_3	1.98157968183087	1.50160576338859	2.85869228385497	2.3683789406305	3.36891513362102	2.5830258302583	1.95878202747865	1.43713714666413	3.39632977266502	3.33727380194598	2.80017722640673	2.32134292565947	2.81266127644934	5.35007161513186	3.19720580333154	3.60204346696684	3.45086898395722	2.35273913790143
ASV_4	4.70741464322263	1.22385209617221	1.40223117446545	2.05632901264202	3.63388598682716	1.49278765514928	1.88451541032306	1.86542305129913	1.22340911165891	1.90961171228517	1.89632255206026	1.23741007194245	3.11371064854636	3.98517145505097	1.75532867633889	1.66248160013854	3.29211229946524	2.49012536493217
ASV_8	1.7583030979626	1.69256140959986	1.66563371552526	1.18418947031525	0.582935877053524	0.847031197584703	1.22539918306721	1.74169601218235	4.93015612161052	2.72801673183596	1.86973859105007	1.82254196642686	1.97832444520901	2.31696014828545	1.78219595199713	3.08251796692354	1.41209893048128	1.57994161085351
ASV_6	2.78165410735882	2.0050342852183	2.34738146885652	2.45639302288366	3.76258611552729	3.09459912780946	0.872632751578166	0.913676596554678	1.03168081804072	1.30035464217514	1.27603012848914	1.33333333333333	1.53105109237915	1.58395821046423	1.37023105857066	1.57589401679799	1.33689839572193	1.40820882706509
ASV_7	0.7535584705554	0.373231490322021	3.21506042764177	1.14418306929109	3.30077977136801	0.654142905065414	0.436316375789083	4.15913200723327	2.62941659819228	1.61862326088933	0.575985821887461	0.729016786570743	2.21916394288663	2.61184598533996	1.67472684936414	0.701359425058447	1.66276737967914	2.36132577709085
ASV_18	1.49781375011629	2.99453172467668	0.852184691664084	1.17618819011042	0.779771368006662	1.56826568265683	1.41106572595618	1.27534024935757	1.09559024924678	1.72774393016277	2.21533008418254	1.35251798561151	2.23636676414932	1.87041873788862	2.3016299480566	1.16893237509741	1.95521390374332	1.28799587841319
ASV_9	1.0884733463578	2.37826577554032	1.00712736287574	1.29620739318291	0.704065409947763	1.55149278765515	1.11399925733383	1.39906728847435	2.07249155482516	1.39128853323634	1.84315463003988	1.39088729016787	1.62566660932393	0.952059988204566	1.28962923159592	1.34210754177851	2.18917112299465	1.74308775545252
ASV_10	1.0047446274072	1.11969447096606	1.79733498605516	2.11233797407585	2.82383223559694	2.01274740020127	0.6498329001114	0.628152660131341	0.748653336985301	0.963899245248704	1.23172352680549	0.988009592326139	1.18699466712541	1.69348723565591	0.743327959878202	0.81392328340116	1.58756684491979	0.798557444616177
ASV_11	0.958228672434645	1.22385209617221	0.766966222497676	1.0241638662186	1.41570141570142	1.09023817510902	1.59673226884515	1.27534024935757	0.739523418241578	1.39128853323634	1.08108108108108	0.575539568345324	1.18699466712541	1.4575785660123	1.56725774673115	1.21222616676769	0.852272727272727	1.19354284732956
ASV_14	0.641920178621267	0.529467928131239	0.937403160830493	0.992158745399264	1.52168975698387	0.914122777591412	0.612699591533606	1.70362615399258	1.53382634894549	0.991179412567064	1.61276030128489	0.642685851318945	1.2041974883881	0.884657511163535	1.37918681712341	0.86587583340549	1.55414438502674	1.64004808517946
ASV_12	0.99544143641269	1.12837427306657	0.952897427951658	1.08017282765242	1.22643652055417	1.04830593760483	0.77979948013368	0.637670124678786	1.07733041175934	1.1003000818405	1.06335844040762	0.824940047961631	1.126784792706	1.65136068750527	1.32545226580691	1.54991774179583	0.902406417112299	0.978876867594024
ASV_15	0.948925481440134	1.30197031507682	1.14657576696622	1.04816770683309	1.02203043379514	1.20764844012076	1.29038247307835	0.970781383839345	0.903861955628595	0.809311630444667	1.23172352680549	1.2757793764988	0.799931188714949	0.724576628191086	1.02095647501343	1.19490865009958	0.969251336898396	1.04756998110939
ASV_13	0.0930319099451112	0.381911292422533	1.72761078400992	0.864138262121939	0.446665152547506	0.687688695068769	0.659116227255849	2.53164556962025	1.81685383000091	1.63681003910157	1.13424900310146	0.479616306954436	0.842938241871667	0.884657511163535	0.671681891456206	0.476231708373019	1.48729946524064	1.70874119869483
ASV_16	0.762861661549912	0.711743772241993	1.32475983885962	0.816130580892943	0.408812173518056	0.612210667561221	0.631266245822503	0.885124202912344	1.99032228613165	1.02755296899154	0.700044306601684	0.546762589928058	1.36762429038362	0.968910607464824	0.725416442772703	0.987098450082258	2.3980614973262	1.09908981624592
ASV_17	1.5071169411108	0.885339814252235	0.999380229315153	1.28820611297808	1.19615413733061	1.76954042267695	0.51986632008912	0.399733510992672	0.712133662010408	0.691097572065109	0.770934869295525	0.556354916067146	1.04077068639257	0.825680343752633	0.913487372380441	0.952463416746039	0.852272727272727	0.798557444616177
ASV_28	0.99544143641269	0.998177241558892	0.20917260613573	1.3922227556409	0.348247407070936	0.628983562562898	0.58484961010026	1.0469211002189	0.40171642472382	0.809311630444667	0.850686752326097	0.671462829736211	1.2041974883881	1.25537113488921	0.698549167114455	0.995757208416313	1.37867647058824	0.729864331100807
ASV_20	0.558191459670667	1.25857130457426	0.20917260613573	0.816130580892943	0.507229918994625	0.511573297551157	0.250649832900111	0.54249547920434	0.127818862412125	0.645630626534509	0.372175454142667	0.364508393285372	0.713917082401514	0.842530963012891	0.277628515135232	0.337691575028141	4.80447860962567	0.386398763523957
ASV_30	0.7535584705554	0.677024563839944	0.410598078710877	0.392062730036806	0.219547278370808	0.561891982556189	0.9747493501671	0.637670124678786	0.657354149548069	0.554696735473311	0.815241470979176	0.959232613908873	0.653707207982109	0.648748841519926	0.985133440802436	0.883193350073599	0.626671122994652	1.04756998110939
ASV_23	0.418643594753	0.399270896623557	3.07561202355129	0.192030724915987	0.0605647664471194	0.159342502515934	0.993316004455997	0.580565337394118	0.283027481055419	0.60016368100391	0.593708462560922	0.479616306954436	0.464476174092551	0.092678405931418	0.886620096722192	0.744653216728721	0.626671122994652	1.13343637300361
