Species	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
Bacteria|Proteobacteria|Gammaproteobacteria|Xanthomonadales|Xanthomonadaceae|Arenimonas|terrae	0.0465159549725556	0.0433990105025605	0.123954136969321	0.0400064010241639	0.189264895147248	0.0503186850050319	0.0464166357222428	0.0571047872846674	0.0639094312060623	0.0909338910611985	0.203810367744794	0.0479616306954436	0.0344056425253742	0.0589771674109024	0.179115171054988	0.0779288250064941	0.108622994652406	0.13738622703074
Bacteria|Proteobacteria|Gammaproteobacteria|Xanthomonadales|Xanthomonadaceae|Arenimonas|Unassigned	0.0372127639780445	0.0607586147035848	0.154942671211652	0.248039686349816	0.158982511923688	0.0922509225092251	0.111399925733383	0.0475873227372228	0.00912991874372318	0.0454669455305993	0.221533008418254	0.134292565947242	0.0430070531567177	0.134804954082063	0.107469102632993	0.112563858342714	0.0835561497326203	0.128799587841319
Bacteria|Proteobacteria|Gammaproteobacteria|Xanthomonadales|Xanthomonadaceae|Coralloluteibacterium|stylophorae	0.0651223369615778	0.0607586147035848	0.0619770684846607	0.0240038406144983	0.0908471496706791	0.100637370010064	0.0835499443000371	0.0475873227372228	0.0273897562311695	0.063653723742839	0.0354452813469207	0.0671462829736211	0.0172028212626871	0.0674024770410313	0.0716460684219953	0.216468958351372	0.0167112299465241	0.0686931135153701
Bacteria|Proteobacteria|Gammaproteobacteria|Xanthomonadales|Xanthomonadaceae|Luteimonas|padinae	0.00930319099451112	0.0260394063015363	0	0.00800128020483277	0.0151411916117798	0.0167728950016773	0.0464166357222429	0.0475873227372228	0.0273897562311695	0.063653723742839	0.0265839610101905	0.00959232613908873	0.0258042318940306	0.0252759288903867	0.0358230342109977	0.0086587583340549	0.0167112299465241	0.00858663918942126
Bacteria|Proteobacteria|Gammaproteobacteria|Xanthomonadales|Xanthomonadaceae|Luteimonas|terrae	0.00930319099451112	0.0347192084020484	0	0.00800128020483277	0.0227117874176698	0.0335457900033546	0.0371333085777943	0.0380698581897782	0.00912991874372318	0.0363735564244794	0.124058484714222	0.134292565947242	0.00860141063134354	0	0.00895575855274942	0	0.0584893048128342	0
Bacteria|Proteobacteria|Gammaproteobacteria|Xanthomonadales|Xanthomonadaceae|Luteimonas|Unassigned	0.00930319099451112	0.0260394063015363	0.00774713356058258	0.0240038406144983	0	0	0.0185666542888971	0.0190349290948891	0.00912991874372318	0.00909338910611985	0.0354452813469207	0.0191846522781775	0	0.0252759288903867	0.0179115171054988	0.0086587583340549	0.00835561497326203	0.034346556757685
Bacteria|Proteobacteria|Gammaproteobacteria|Xanthomonadales|Xanthomonadaceae|Lysobacter|agri	0.0558191459670667	0.0433990105025605	0.0542299349240781	0.0800128020483277	0.0529941706412295	0.0922509225092251	0.06498329001114	0.00951746454744456	0.0821692686935086	0.0181867782122397	0.0177226406734603	0.0479616306954436	0.0430070531567177	0.0337012385205156	0.0447787927637471	0.0519525500043294	0.00835561497326203	0.0686931135153701
Bacteria|Proteobacteria|Gammaproteobacteria|Xanthomonadales|Xanthomonadaceae|Lysobacter|caseinilyticus	0.0279095729835334	0.0173596042010242	0.0232414006817478	0.0160025604096655	0	0.00838644750083864	0.0185666542888971	0.0190349290948891	0	0.0363735564244794	0.0265839610101905	0.00959232613908873	0	0.0168506192602578	0	0.0086587583340549	0	0.0171732783788425
Bacteria|Proteobacteria|Gammaproteobacteria|Xanthomonadales|Xanthomonadaceae|Lysobacter|firmicutimachus	0.204670201879245	0.12151722940717	0.294391075302138	0.184029444711154	0.211976682564918	0.176115397517612	0.120683252877831	0.10469211002189	0.191728293618187	0.145494225697918	0.177226406734603	0.345323741007194	0.137622570101497	0.53921981632825	0.134336378291241	0.81392328340116	0.133689839572192	0.163146144599004
Bacteria|Proteobacteria|Gammaproteobacteria|Xanthomonadales|Xanthomonadaceae|Lysobacter|fragariae	0.139547864917667	0.16491623990973	0.224666873256895	0.248039686349816	0.234688469982588	0.134183160013418	0.102116598588934	0.085657180927001	0.246507806080526	0.163681003910157	0.124058484714222	0.105515587529976	0.111818338207466	0.109529025191676	0.143292136843991	0.129881375010823	0.108622994652406	0.0944530310836339
Bacteria|Proteobacteria|Gammaproteobacteria|Xanthomonadales|Xanthomonadaceae|Lysobacter|hankyongensis	0.0186063819890222	0.0433990105025605	0.185931205453982	0.184029444711154	0.181694299341358	0.117410265011741	0.102116598588934	0.266489007328448	0.0730393499497854	0.0818405019550787	0.248116969428445	0.124700239808153	0.14622398073284	0.143230263712191	0.0716460684219953	0.164516408347043	0.551470588235294	0.704104413532543
Bacteria|Proteobacteria|Gammaproteobacteria|Xanthomonadales|Xanthomonadaceae|Lysobacter|helvus	0	0.00867980210051211	0.0232414006817478	0.0400064010241639	0.0227117874176698	0.0167728950016773	0	0	0.00912991874372318	0	0.0177226406734603	0	0	0	0.0179115171054988	0.0173175166681098	0.0167112299465241	0.00858663918942126
Bacteria|Proteobacteria|Gammaproteobacteria|Xanthomonadales|Xanthomonadaceae|Lysobacter|psychrotolerans	0.00930319099451112	0	0.0232414006817478	0.0160025604096655	0	0.0167728950016773	0	0.00951746454744456	0.0456495937186159	0.00909338910611985	0.0265839610101905	0	0.0258042318940306	0.00842530963012891	0.0179115171054988	0.0346350333362196	0.0167112299465241	0.0429331959471063
Bacteria|Proteobacteria|Gammaproteobacteria|Xanthomonadales|Xanthomonadaceae|Lysobacter|pythonis	0.0372127639780445	0.0347192084020484	0	0.0240038406144983	0.0302823832235597	0.0503186850050319	0.0371333085777943	0.00951746454744456	0.0182598374874464	0.0181867782122397	0.053167922020381	0.0287769784172662	0.0172028212626871	0.0252759288903867	0.0358230342109977	0.0259762750021647	0.0334224598930481	0.00858663918942126
Bacteria|Proteobacteria|Gammaproteobacteria|Xanthomonadales|Xanthomonadaceae|Lysobacter|rhizosphaerae	0.0651223369615778	0.0867980210051211	0.0619770684846607	0.0560089614338294	0.121129532894239	0.0838644750083865	0.0464166357222429	0.0380698581897782	0.0547795124623391	0.0727471128489588	0.0708905626938414	0.0575539568345324	0.0344056425253742	0.0421265481506445	0.0895575855274942	0.0259762750021647	0.0584893048128342	0.034346556757685
Bacteria|Proteobacteria|Gammaproteobacteria|Xanthomonadales|Xanthomonadaceae|Lysobacter|silvestris	0.241882965857289	0.173596042010242	0.123954136969321	0.280044807169147	0.136270724506019	0.218047635021805	0.120683252877831	0.142761968211668	0.182598374874464	0.118214058379558	0.132919805050953	0.23021582733813	0.163426801995527	0.168506192602578	0.170159412502239	0.129881375010823	0.150401069518717	0.103039670273055
Bacteria|Proteobacteria|Gammaproteobacteria|Xanthomonadales|Xanthomonadaceae|Lysobacter|solanacearum	0.00930319099451112	0	0	0.00800128020483277	0.00757059580588992	0	0.00928332714444857	0.0380698581897782	0.00912991874372318	0.0272801673183596	0.168365086397873	0.00959232613908873	0.0258042318940306	0	0	0	0.0250668449197861	0.171732783788425
Bacteria|Proteobacteria|Gammaproteobacteria|Xanthomonadales|Xanthomonadaceae|Lysobacter|tabacisoli	0.0186063819890222	0.0173596042010242	0.00774713356058258	0.0560089614338294	0.00757059580588992	0.00838644750083864	0.0185666542888971	0.0190349290948891	0	0.0181867782122397	0.0177226406734603	0	0.0258042318940306	0.00842530963012891	0	0	0.0167112299465241	0.0171732783788425
