Class	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
Bacteria|Acidobacteria|Acidobacteria_Gp1	0.00930319099451112	0.0347192084020484	0.00774713356058258	0.00800128020483277	0	0.00838644750083864	0.0371333085777943	0.0190349290948891	0.0456495937186159	0.0181867782122397	0.0177226406734603	0	0	0.0168506192602578	0.0268672756582483	0	0.00835561497326203	0.00858663918942126
Bacteria|Acidobacteria|Unassigned	0.0465159549725556	0.0520788126030727	0.0154942671211652	0.0240038406144983	0.0605647664471194	0.0335457900033546	0.0371333085777943	0.0951746454744456	0.0273897562311695	0.0272801673183596	0.00886132033673017	0.0671462829736211	0.00860141063134354	0.0252759288903867	0.438832169084722	0.0086587583340549	0	0.034346556757685
Bacteria|Acidobacteria|Vicinamibacteria	0.0186063819890222	0.0607586147035848	0.00774713356058258	0.00800128020483277	0.00757059580588992	0.0167728950016773	0.241366505755663	0.085657180927001	0.0912991874372318	0.0545603346367191	0.194949047408064	0.268585131894484	0.129021159470153	0.0421265481506445	0.134336378291241	0.086587583340549	0.0334224598930481	0.0515198351365276
Bacteria|Actinobacteria|Acidimicrobiia	0.5861010326542	0.694384168040969	0.627517818407189	0.464074251880301	0.446665152547505	0.587051325058705	1.2996658002228	0.951746454744456	0.730393499497854	0.791124852232427	0.957022596366859	1.11270983213429	0.731119903664201	0.791979105232117	0.931398889485939	0.666724391722227	0.676804812834225	0.618238021638331
Bacteria|Actinobacteria|Actinobacteria	22.0485626569913	34.1376616613141	24.907034397273	24.0518482957273	13.6800666212431	19.1965783294197	22.1685852209432	28.3144570286476	28.4762165616726	24.0611075747931	25.4940186087727	23.0215827338129	29.1071735764665	22.7820372398686	26.6523374529823	29.015499177418	29.3866978609626	26.55847501288
Bacteria|Actinobacteria|Coriobacteriia	0.0651223369615778	0.0520788126030727	0.0464828013634955	0.00800128020483277	0	0.0335457900033546	0.167099888600074	0.133244503664224	0.118688943668401	0	0.0620292423571112	0.182254196642686	0.0430070531567177	0.0337012385205156	0.125380619738492	0.0779288250064941	0.0167112299465241	0.034346556757685
Bacteria|Actinobacteria|Nitriliruptoria	0.0651223369615778	0.0433990105025605	0.0387356678029129	0.00800128020483277	0.00757059580588992	0.0587051325058705	0.0556999628666914	0.152279432759113	0.0456495937186159	0.0545603346367191	0.0708905626938414	0.115107913669065	0.0172028212626871	0.0758277866711602	0.0626903098692459	0.086587583340549	0.0250668449197861	0.0429331959471063
Bacteria|Actinobacteria|Rubrobacteria	0.0186063819890222	0.130197031507682	0.0464828013634955	0.0480076812289966	0.00757059580588992	0.0503186850050319	0.120683252877831	0.085657180927001	0.0365196749748927	0.0545603346367191	0.0354452813469207	0.143884892086331	0.0860141063134354	0.0421265481506445	0.0626903098692459	0.0692700666724392	0.116978609625668	0.0515198351365276
Bacteria|Actinobacteria|Thermoleophilia	1.20011163829193	1.53632497179064	0.790207623179424	1.12818050888142	0.787341963812552	1.41730962764173	2.12588191607872	2.04625487770058	1.22340911165891	1.47312903519142	1.55959237926451	2.17745803357314	1.39342852227765	0.943634678574438	1.25380619738492	0.952463416746039	1.31183155080214	1.13343637300361
Bacteria|Actinobacteria|Unassigned	0.130244673923156	0.243034458814339	0.0542299349240781	0.128020483277324	0.0151411916117798	0.276752767527675	0.139249907166729	0.323593794613115	0.209988131105633	0.0909338910611985	0.141781125387683	0.182254196642686	0.197832444520901	0.0842530963012891	0.250761239476984	0.121222616676769	0.0919117647058823	0.145972866220161
Bacteria|Bacteroidetes|Chitinophagia	0.1674574379012	0.078118218904609	0.0619770684846607	0.0800128020483277	0.0454235748353395	0.0754780275075478	0.566282955811363	0.342628723708004	0.520405368392221	0.436482677093753	0.310146211785556	0.268585131894484	0.378462067779116	0.53921981632825	0.367186100662726	0.38964412503247	0.259024064171123	0.180319422977846
Bacteria|Bacteroidetes|Cytophagia	1.07917015536329	0.677024563839944	0.263402541059808	0.320051208193311	0.401241577712166	0.167728950016773	1.55959896026736	0.951746454744456	1.43339724276454	2.30062744384832	1.08108108108108	0.853717026378897	1.23860313091347	1.17954334821805	1.51352319541465	1.48064767512339	0.6600935828877	0.961703589215181
Bacteria|Bacteroidetes|Flavobacteriia	1.63736161503396	1.85747764950959	7.15060427641773	2.51240198431749	4.38337497161027	1.89533713518953	1.56888228741181	7.22375559151042	6.74700995161143	4.91952350641084	2.10013291980505	2.1294964028777	3.89643901599862	4.44856348470806	2.89271001253806	1.98285565849857	3.7850935828877	4.49081229606732
Bacteria|Bacteroidetes|Sphingobacteriia	0.130244673923156	0.0607586147035848	0.0619770684846607	0.112017922867659	0.166553107729578	0.0251593425025159	0.0556999628666914	0.0666222518321119	0.118688943668401	0.100027280167318	0.0974745237040319	0.115107913669065	0.111818338207466	0.261184598533996	0.0895575855274942	0.0692700666724392	0.142045454545455	0.154559505409583
Bacteria|Bacteroidetes|Unassigned	0.0186063819890222	0.0173596042010242	0	0.0160025604096655	0	0.0419322375041932	0.00928332714444857	0.00951746454744456	0	0.063653723742839	0	0	0	0	0.00895575855274942	0	0	0.0257599175682638
Bacteria|Chlamydiae|Chlamydiia	0.0186063819890222	0.00867980210051211	0	0	0.00757059580588992	0.0251593425025159	0.0464166357222429	0.0190349290948891	0.0365196749748927	0.0727471128489588	0.00886132033673017	0	0	0.00842530963012891	0.0895575855274942	0.0086587583340549	0	0.0601064743259488
