"","Actinomycetales","Burkholderiales","Rhizobiales","Unassigned","Xanthomonadales","Pseudomonadales","Flavobacteriales","Sphingomonadales","Bacillales","Myxococcales","Caulobacterales","Cytophagales","Solirubrobacterales","Rhodospirillales","Herpetosiphonales","Gaiellales","Sphingobacteriales","Acidimicrobiales","Chloroflexales","Bdellovibrionales","Methylophilales","Planctomycetales","Spirochaetales","Desulfuromonadales","Clostridiales","Nitrospirales","Sneathiellales","Opitutales","Rubrobacterales","Enterobacteriales","Rhodobacterales","Chlamydiales","Verrucomicrobiales","Alphaproteobacteria_incertae_sedis","Ignavibacteriales","Caldilineales","Rhodocyclales","Erysipelotrichales","Oceanospirillales","Oligoflexales"
"KO1",0.232456668271545,0.274524554646124,0.123976889744824,0.10784785748676,0.0594908521906596,0.0661410688493019,0.0149554646124218,0.0202816562349543,0.0154369282619162,0.0142934520943669,0.0156475686085701,0.0113444872412133,0.00758305247953779,0.00755296100144439,0.0038216177178623,0.0038216177178623,0.00300914780934039,0.00291887337506018,0.00337024554646124,0.0022568608570053,0.00219667790081849,0.000421280693307655,0.000692103996148291,0.00132402503610977,0.000601829561868079,0.000872652864708714,0.000782378430428503,0.000120365912373616,0.000331006259027443,0,0.000812469908521907,0.000361097737120847,3.00914780934039e-05,0.000120365912373616,0.000120365912373616,3.00914780934039e-05,6.01829561868079e-05,3.00914780934039e-05,0.000120365912373616,6.01829561868079e-05
"KO2",0.371412757714128,0.188570637885706,0.113214335132143,0.11077902310779,0.0478760204787602,0.0269821502698215,0.0173792721737927,0.0194548221945482,0.01383700013837,0.0103777501037775,0.0131728241317282,0.0066417600664176,0.00963055209630552,0.00855126608551266,0.00462155804621558,0.00642036806420368,0.00182648401826484,0.00412342604123426,0.0051196900511969,0.0022139200221392,0.00329320603293206,0.00232461602324616,0.00044278400442784,0.00071952400719524,0.00603293206032932,0.00080254600802546,0.00102393801023938,0.00024906600249066,0.00102393801023938,0,0.00038743600387436,0.00019371800193718,0.00016604400166044,0.00019371800193718,0.00019371800193718,0.00022139200221392,8.302200083022e-05,0.00011069600110696,2.767400027674e-05,5.534800055348e-05
"KO3",0.258504274601422,0.246386485584452,0.151421016148494,0.0725526944109265,0.0505763651767605,0.0417190829503735,0.0689841082385561,0.0342738312238453,0.0139919385895099,0.0092167081718056,0.0128109676259916,0.00351723960873919,0.00554542887217273,0.00564812199943519,0.00172010988164617,0.00374829914507972,0.00154039690893687,0.00367127929963287,0.00187414957253986,0.00290108084516444,0.00143770378167441,0.00143770378167441,0.00115529768170265,0.000770198454468435,0.000770198454468435,0.000308079381787374,0.000385099227234217,0.000308079381787374,0.000333752663602988,5.1346563631229e-05,0.000436445790865446,0.00051346563631229,0.000436445790865446,0.000462119072681061,2.56732818156145e-05,2.56732818156145e-05,0.000205386254524916,0.000102693127262458,0.000179712972709301,0
"KO4",0.258988085865743,0.272686716002729,0.130556867684879,0.0834776675589146,0.0516716527580958,0.0482863591035532,0.0235396000629822,0.0295753949509264,0.0316748018684722,0.0114680102870939,0.0126226840917441,0.00482863591035532,0.0069018002414318,0.00495984884270194,0.00419881383509159,0.00543221539914974,0.00220437726342308,0.00251928830105495,0.00335905106807327,0.00372644727864378,0.00160079777462867,0.000236183278223902,0.000918490526426285,0.00112843121818086,0.000393638797039836,0.000498609142917126,0.000498609142917126,0.000157455518815934,0.000472366556447804,0.00010497034587729,0.000551094315855771,0.000209940691754579,2.62425864693224e-05,0.000183698105285257,0.00010497034587729,0,5.24851729386448e-05,2.62425864693224e-05,2.62425864693224e-05,0
"KO5",0.156996148908858,0.350012836970475,0.149114249037227,0.0661360718870347,0.0428241335044929,0.0800256739409499,0.0447240051347882,0.0325032092426187,0.007599486521181,0.0096790757381258,0.0150192554557125,0.00492939666238768,0.0048780487804878,0.00238767650834403,0.00549422336328626,0.00295250320924262,0.00187419768934531,0.00187419768934531,0.00318356867779204,0.00816431322207959,0.00423620025673941,0.000564826700898588,0.00143774069319641,0.000333761232349166,0.000154043645699615,0.000410783055198973,0.00115532734274711,0.00030808729139923,0.000154043645699615,0,0.000205391527599487,0.000102695763799743,0.000231065468549422,5.13478818998716e-05,0,0,2.56739409499358e-05,7.70218228498074e-05,0.000128369704749679,0
"KO6",0.20998213609051,0.305418719211823,0.143263140800087,0.103610675039246,0.0574893087208358,0.0416283224164998,0.0191901694364749,0.028284523358415,0.0160233854815136,0.0100416824554756,0.0160233854815136,0.00235478806907378,0.00974395063065014,0.00701023114816218,0.0021653223623667,0.00495317490391382,0.00178639094895253,0.00327505007307963,0.00235478806907378,0.00295025171872463,0.00495317490391382,0.000676663238239593,0.000676663238239593,0.000784929356357928,0.000189465706707086,0.000676663238239593,0.000920262004005846,0.000351864883884588,0.000460131002002923,0,0.000676663238239593,0.000378931413414172,0.000162399177177502,0.000243598765766253,0.000378931413414172,0.000108266118118335,0.000270665295295837,2.70665295295837e-05,0.000487197531532507,0
"OE1",0.239140487714647,0.165397539846472,0.127138761291118,0.140826833554274,0.0725097882048278,0.0437155100656657,0.0156302987329284,0.0167401424299411,0.0493263865338965,0.0191139747818849,0.0137805592379073,0.0164318525141043,0.01489040293492,0.0136572432715726,0.00283626722569905,0.00490180966180596,0.00705983907266393,0.00585750840090021,0.00249714831827851,0.00299041218361747,0.00157227857076795,0.00456269075438542,0.00129481764651478,0.0023121743687764,0.00132564663809847,0.00129481764651478,0.000709066806424762,0.00101735672226161,0.000801553781175818,0.00693652310632919,0.000647408823257391,0.000678237814841076,0.000647408823257391,0.000431605882171594,6.16579831673706e-05,0.000184973949502112,0.000123315966334741,0.000154144957918426,0.000123315966334741,0.000215802941085797
"OE2",0.307219476919368,0.140984693262625,0.109648065565867,0.117120646016633,0.0539652886585513,0.0553814631794625,0.0645112691334217,0.0163613354224418,0.0265758707966735,0.0110582138122213,0.0113896589128601,0.0112691334217187,0.0108774255755092,0.00777389417861878,0.0109376883210799,0.00756297456912137,0.0038266843437387,0.00509220200072315,0.00403760395323611,0.00265156080511028,0.00388694708930939,0.008406653007111,0.00111486079305773,0.00159696275762324,0.000391707846209473,0.000632758828492226,0.000632758828492226,0.000723152946848258,0.000813547065204291,0,0.000723152946848258,0.000632758828492226,0.000753284319633602,0.000120525491141376,9.03941183560323e-05,0.000451970591780161,6.02627455706882e-05,9.03941183560323e-05,0.000120525491141376,0.000271182355068097
"OE3",0.300155925155925,0.207957957957958,0.0857877107877108,0.0988969738969739,0.0576923076923077,0.0546026796026796,0.0638138138138138,0.0132247632247632,0.0223492723492724,0.0151882651882652,0.00843150843150843,0.0166897666897667,0.00675675675675676,0.00770963270963271,0.00124162624162624,0.00467775467775468,0.00727650727650728,0.00381150381150381,0.00343612843612844,0.00277200277200277,0.00202125202125202,0.00404250404250404,0.00153037653037653,0.00164587664587665,0.00196350196350196,0.000981750981750982,0.000548625548625549,0.00101062601062601,0.000837375837375837,0,0.000664125664125664,0.000664125664125664,0.000577500577500578,0.000144375144375144,5.77500577500577e-05,0.000231000231000231,0.00025987525987526,0.000115500115500115,0,5.77500577500577e-05
"OE4",0.246615263189849,0.211917916337806,0.0987796733653087,0.112652540829336,0.0547629166413697,0.0764677311638638,0.0451095865460506,0.016513872867464,0.0319349159128165,0.0136603727763949,0.0101693886224273,0.0234047720235566,0.00683018638819744,0.00758909598688604,0.00549450549450549,0.00385526076133811,0.00686054277214498,0.00431060652055127,0.0044016756723939,0.00361240968975776,0.00215530326027564,0.00194280857264283,0.002064234108433,0.00142675004553458,0.000455345759213163,0.000819622366583693,0.000698196830793516,0.000758909598688604,0.000485702143160707,0.00106247343816405,0.000485702143160707,0.000880335134478781,0.000303563839475442,0.000151781919737721,0.000941047902373869,3.03563839475442e-05,0.000121425535790177,6.07127678950883e-05,0,0
