"","Unassigned","Comamonadaceae","Pseudonocardiaceae","Pseudomonadaceae","Oxalobacteraceae","Thermomonosporaceae","Micromonosporaceae","Sinobacteraceae","Streptomycetaceae","Flavobacteriaceae","Rhizobiaceae","Nocardioidaceae","Bradyrhizobiaceae","Xanthomonadaceae","Hyphomicrobiaceae","Sphingomonadaceae","Burkholderiales_incertae_sedis","Bacillaceae_1","Caulobacteraceae","Microbacteriaceae","Phyllobacteriaceae","Kineosporiaceae","Paenibacillaceae_1","Herpetosiphonaceae","Rhodospirillaceae","Gaiellaceae","Streptosporangiaceae","Mycobacteriaceae","Polyangiaceae","Chitinophagaceae","Methylophilaceae","Solirubrobacteraceae","Hyphomonadaceae","Planctomycetaceae","Promicromonosporaceae","Erythrobacteraceae","Bacteriovoracaceae","Sandaracinaceae","Conexibacteraceae","Rhodobiaceae"
"KO1",0.247201492537313,0.115551275878671,0.0524193548387097,0.0661410688493019,0.070323784304285,0.0417970630717381,0.0458594126143476,0.036651420317766,0.0303623013962446,0.0144740009629273,0.0300312951372171,0.0260592200288878,0.0265406836783823,0.0218163216177179,0.024584737602311,0.0172123254694271,0.0167007703418392,0.00999037072701011,0.0130296100144439,0.00806451612903226,0.0068307655272027,0.00448363023591719,0.0037915262397689,0.0038216177178623,0.00499518536350506,0.0038216177178623,0.00174530572941743,0.00412253249879634,0.00355079441502167,0.00177539720751083,0.00219667790081849,0.00297905633124699,0.00261795859412614,0.000421280693307655,0.00252768415984593,0.00237722676937891,0.00105320173326914,0.00201612903225806,0.00117356764564275,0.00195594607607126
"KO2",0.235976200359762,0.0764632627646326,0.110004151100042,0.0269821502698215,0.0407361284073613,0.0635671786356718,0.0716479867164799,0.0307181403071814,0.027784696277847,0.0169918361699184,0.0209768922097689,0.040874498408745,0.0295004842950048,0.0156911581569116,0.0218071122180711,0.0169364881693649,0.0101286841012868,0.00835754808357548,0.0107375121073751,0.0121765601217656,0.00700152207001522,0.00866196208661962,0.00348692403486924,0.00462155804621558,0.00619897606198976,0.00642036806420368,0.00633734606337346,0.0048429500484295,0.00157741801577418,0.0009685900096859,0.00329320603293206,0.00351459803514598,0.00243531202435312,0.00232461602324616,0.00354227203542272,0.00204787602047876,0.00102393801023938,0.0016604400166044,0.00271205202712052,0.00149439601494396
"KO3",0.203435085106929,0.113527252188647,0.0843880773279248,0.0417190829503735,0.0455957485045313,0.0226951811250032,0.044953916459141,0.0276244512336012,0.0321942953967806,0.0685476624476907,0.0477779774588586,0.0391517547688121,0.0316038099150214,0.0216682498523786,0.0287284023516726,0.0304228389515032,0.0134014531077508,0.0051346563631229,0.0110395111807142,0.00895997535364946,0.00572514184488203,0.00351723960873919,0.00754794485379066,0.00172010988164617,0.00341454648147673,0.00374829914507972,0.00205386254524916,0.00436445790865446,0.00223357551795846,0.000770198454468435,0.00143770378167441,0.0017714564452774,0.0017714564452774,0.00143770378167441,0.00105260455444019,0.00310646709968935,0.00220790223614285,0.00254165489974583,0.00156607019075248,0.0014120304998588
"KO4",0.20408859497192,0.11155723508109,0.085052222747074,0.0482863591035532,0.0743452474675904,0.0482338739306146,0.0389702409069438,0.0259276754316905,0.0226998372959639,0.0233296593712276,0.0397050333280848,0.0277646564845431,0.028735632183908,0.0252191255970188,0.0222012281530468,0.0265837400934236,0.016769012753897,0.00522227470739516,0.0109956437306461,0.00831889991077521,0.00834514249724453,0.00648191885792264,0.0242481498976539,0.00419881383509159,0.0030441400304414,0.00543221539914974,0.00514354694798719,0.00265050123340156,0.00341153624101191,0.000813520180548995,0.00160079777462867,0.00223061984989241,0.00162704036109799,0.000236183278223902,0.00233559019576969,0.00259801606046292,0.0019944365716685,0.0028079567522175,0.00191570881226054,0.0019944365716685
"KO5",0.192605905006418,0.150064184852375,0.0521181001283697,0.0800256739409499,0.0826444159178434,0.0309627727856226,0.0224390243902439,0.0159691912708601,0.0106803594351733,0.0445442875481386,0.0555070603337612,0.0237483953786906,0.0277021822849807,0.0264698331193838,0.0340436456996149,0.0285494223363286,0.0281129653401797,0.0044415917843389,0.0136842105263158,0.0055198973042362,0.00847240051347882,0.00118100128369705,0.00238767650834403,0.00549422336328626,0.00169448010269576,0.00295250320924262,0.000590500641848524,0.00130937098844673,0.00184852374839538,0.000385109114249037,0.00423620025673941,0.00141206675224647,0.00133504492939666,0.000564826700898588,0.000949935815147625,0.00333761232349166,0.00567394094993582,0.00290115532734275,0.00115532734274711,0.00120667522464698
"KO6",0.236967466031505,0.115303415796027,0.050127212688789,0.0416283224164998,0.0947599198830726,0.0351594218589293,0.0429545823634494,0.0284469225355925,0.0201916310290695,0.0191089698478861,0.0381367401071835,0.0303415796026633,0.0277973258268825,0.0280679911221783,0.0291506523033617,0.0235208141612082,0.018919504141179,0.00822822497699345,0.0138039300600877,0.00630650138039301,0.0107995452823039,0.00267958642342879,0.00652303361662968,0.0021653223623667,0.00414117901802631,0.00495317490391382,0.00351864883884588,0.00159692524224544,0.00292318518919504,0.000757862826828344,0.00495317490391382,0.00346451577978672,0.00221945542142586,0.000676663238239593,0.00400584637037839,0.00373518107508255,0.00192172359660044,0.00159692524224544,0.00224652195095545,0.00194879012613003
"OE1",0.276258593581404,0.0608872583777785,0.0576193852699078,0.0437155100656657,0.0439313130067516,0.0451028146869316,0.0473533310725406,0.0537349323303635,0.0229367697382619,0.0145821130190831,0.0208403983105713,0.023121743687764,0.0304590436846811,0.0174800382279496,0.0221968739402534,0.01430465209483,0.0158461016740142,0.0291642260381663,0.00955698739094244,0.00863211764343188,0.00601165335881863,0.00730647100533342,0.0167093134383574,0.00283626722569905,0.0102660541973672,0.00490180966180596,0.00431605882171594,0.00348367604895644,0.00533341554397756,0.00576502142614915,0.00157227857076795,0.0056725344513981,0.00422357184696489,0.00456269075438542,0.00200388445293954,0.00194222646977217,0.00172642352868638,0.00141813361284952,0.00280543823411536,0.00243549033511114
"OE2",0.217548511510184,0.0576413161383633,0.0586959141858503,0.0553814631794625,0.0326322767265277,0.0588767024225624,0.0623719416656623,0.0350126551765698,0.0365794865614077,0.0635470652042907,0.0267566590333856,0.0382969748101724,0.0260636374593226,0.0177172471977823,0.0226889237073641,0.0133783295166928,0.014794504037604,0.0131674099071954,0.00864770398939376,0.0117512353862842,0.00542364710136194,0.0061468000482102,0.0105158491020851,0.0109376883210799,0.00623719416656623,0.00756297456912137,0.00551404121971797,0.00361576473424129,0.00207906472218874,0.00313366276967579,0.00388694708930939,0.00337471375195854,0.00274195492346631,0.008406653007111,0.00180788236712065,0.00241050982282753,0.00183801373990599,0.0012956490297698,0.00277208629625166,0.00174761962154996
"OE3",0.212202587202587,0.0887618387618388,0.0437167937167937,0.0546026796026796,0.0534476784476784,0.0443809193809194,0.066008316008316,0.036007161007161,0.0821783321783322,0.0624566874566875,0.022031647031647,0.0256121506121506,0.0187398937398937,0.0207033957033957,0.0131092631092631,0.0114922614922615,0.017960267960268,0.0161988911988912,0.00617925617925618,0.00866250866250866,0.00565950565950566,0.00537075537075537,0.00415800415800416,0.00124162624162624,0.00568838068838069,0.00467775467775468,0.00317625317625318,0.00297412797412797,0.00355162855162855,0.00606375606375606,0.00202125202125202,0.00311850311850312,0.00225225225225225,0.00404250404250404,0.00132825132825133,0.0010972510972511,0.00164587664587665,0.00158812658812659,0.00127050127050127,0.00118387618387618
"OE4",0.235838746888471,0.0878513751441928,0.0537307995871532,0.0764677311638638,0.0496934005221298,0.0379151235504827,0.0453220812336834,0.035365187298889,0.0465363365915852,0.0441381822597292,0.0275332402404226,0.0235261975593467,0.0208244793880153,0.0181227612166839,0.0166352984032542,0.0144799951429786,0.0210066176917006,0.0186084633598446,0.00740695768320078,0.00786230344241394,0.00573735656608585,0.0075587396029385,0.0118997025074373,0.00549450549450549,0.00561593103029567,0.00385526076133811,0.00358205330581021,0.00264100540343634,0.00291421285896424,0.00546414911055795,0.00215530326027564,0.00276243093922652,0.00276243093922652,0.00194280857264283,0.00185173942080019,0.00145710642948212,0.00245886709975108,0.00163924473316739,0.00121425535790177,0.00121425535790177
