Phylum	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6	All
Proteobacteria	67.3	52.8	62.5	64.6	76.3	70.8	59.3	49.8	53.7	57.9	60.8	59.1	54.3	65.4	59	59.3	59.2	60.2	53.7
Actinobacteria	24.3	37.2	26.4	26	15	21.5	26.4	32.4	30.8	26.8	28.9	27.2	31.7	25	29.6	31.2	31.7	28.5	26.9
Firmicutes	2.5	3.42	2.1	3.78	1.15	3.3	6.29	3.8	2.98	4.2	2.41	5.87	1.73	0.75	1.72	1.39	1.2	1.63	5.0
Bacteroidetes	3	2.72	7.69	2.99	4.9	2.18	3.87	8.68	8.86	7.71	3.74	3.42	5.7	6.5	5.06	4.13	5.01	5.91	4.9
Chloroflexi	1.85	2.76	0.47	1.95	1.8	1.24	1.66	3.07	1.66	1.88	2.13	2.13	5.06	1.16	2.19	2.13	2	2.29	4.2
Acidobacteria	0.29	0.34	0.18	0.1	0.2	0.26	0.79	0.44	0.51	0.25	0.54	0.8	0.3	0.25	0.87	0.43	0.11	0.32	1.2
Verrucomicrobia	0.12	0.06	0.12	0.05	0.07	0.1	0.28	0.15	0.35	0.23	0.33	0.43	0.28	0.2	0.29	0.23	0.14	0.13	1.0
Unassigned	0.21	0.26	0.1	0.15	0.11	0.15	0.34	0.3	0.32	0.2	0.32	0.24	0.36	0.16	0.36	0.23	0.11	0.23	0.8
Planctomycetes	0.03	0.18	0.12	0.04	0	0.05	0.42	0.64	0.29	0.11	0.26	0.38	0.21	0.14	0.21	0.14	0.12	0.06	0.7
Spirochaetes	0.06	0.03	0.11	0.1	0.13	0.08	0.11	0.13	0.12	0.21	0.18	0.11	0.11	0.19	0.15	0.17	0.06	0.16	0.5
Gemmatimonadetes	0.17	0.15	0.1	0.09	0.06	0.1	0.24	0.2	0.15	0.15	0.14	0.16	0.1	0.14	0.11	0.16	0.13	0.18	0.4
Nitrospirae	0.05	0.06	0.03	0.06	0.03	0.06	0.1	0.06	0.09	0.07	0.11	0.13	0.07	0.07	0.08	0.34	0.12	0.15	0.2
Ignavibacteriae	0.02	0.03	0.01	0.02	0.04	0.05	0.03	0.03	0	0.09	0.02	0	0.02	0.01	0.02	0.01	0.02	0.03	0.1
Candidatus_Saccharibacteria	0	0	0.02	0.02	0.15	0	0	0.09	0	0.02	0.02	0	0	0	0.04	0.01	0	0.05	0.1
Campilobacterota	0.07	0.01	0.01	0.01	0.03	0.02	0.1	0.11	0.04	0.1	0.02	0.01	0.02	0.07	0.09	0.05	0.08	0.05	0.1
Armatimonadetes	0	0.01	0.02	0.01	0	0.03	0.06	0.05	0.04	0.01	0.02	0.03	0.03	0	0.05	0.03	0.02	0	0.1
Chlamydiae	0.02	0.01	0	0	0.01	0.02	0.04	0.02	0.04	0.07	0.01	0	0	0	0.09	0.01	0	0.06	0.1
