Order	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6	All
Rhizobiales	12.5	12.2	15.7	14	15.8	14.9	13.5	11.7	8.55	10.6	12.6	12.7	9.27	10.1	10.9	10.7	11.6	11.7	11.6
Burkholderiales	35.4	23.5	29.6	33.6	43.5	36.4	22.2	18.8	27.1	27.7	26.3	22.9	29	36.9	27.1	28.4	29.7	27.3	11.2
Unassigned	2.89	2.81	1.93	1.64	1.8	3.19	4.46	3.26	2.99	2.98	3.25	3.97	3.61	2.22	4.23	2.79	2.35	3.03	7.0
Myxococcales	4.28	3.05	2.59	2.78	2.23	3.67	3.99	2.87	3.65	3.57	3.67	3.88	3.19	3.13	3.97	3.29	3.18	3.48	6.4
Micromonosporales	5.43	7.66	4.45	4.4	2.35	4.59	5.48	7.43	7.3	5.17	6.04	5.38	5.76	4.71	5.73	4.85	5.52	5.86	4.7
Propionibacteriales	2.92	4.64	4.05	2.96	2.71	3.27	3	4.54	2.93	2.77	3.9	3.29	2.94	2.85	3.64	3.78	3.57	3.14	4.3
Bacillales	2.22	2.54	1.82	3.7	1.02	2.11	5.74	3.59	2.7	3.47	2.16	5.49	1.03	0.7	1.39	1.14	0.91	1.28	4.2
Nevskiales	3.64	3.41	2.53	2.57	1.22	2.64	4.96	3.45	3.64	3.15	3.94	4.44	2.79	3.51	4.41	4.18	3.21	4.96	3.8
Xanthomonadales	2.1	1.64	2.32	2.64	2.66	3.06	1.7	1.79	2.23	1.86	3.22	2.49	1.74	2.14	2.27	2.7	2.24	2.75	3.4
Pseudonocardiales	6.07	12	9.09	9.11	5.32	5.81	6.34	7.03	5.06	6.19	7.26	6.18	9.77	6.6	8.07	8.67	9.75	8.84	3.1
Sphingomonadales	2.13	2.18	3.53	3.2	3.7	3.09	1.89	1.84	1.36	1.63	2.09	2.21	1.26	1.82	1.56	2.36	2.11	1.74	2.9
Chloroflexales	0.84	1.43	0.2	1.32	0.9	0.72	0.8	1.47	0.91	0.8	0.9	0.96	1.37	0.69	1.15	1.17	0.44	0.94	2.7
Cytophagales	1.09	0.66	0.35	0.37	0.38	0.17	1.65	1.02	1.45	2.24	1.19	0.87	1.26	1.22	1.61	1.54	0.7	1.09	2.6
Gaiellales	0.47	0.86	0.44	0.69	0.33	0.59	0.78	1.13	0.64	0.89	0.81	0.87	0.9	0.64	0.79	0.75	0.68	0.66	2.4
