Order	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6	All
Solirubrobacterales	0.91	1.17	0.54	0.82	0.59	1.04	1.7	1.33	0.85	0.92	1.15	1.59	0.81	0.49	0.87	0.53	1.11	0.8	2.4
Micrococcales	1.52	2.17	1.25	1.29	0.76	1.27	1.59	2.01	1.39	1.48	2.04	1.94	1.48	1.13	1.8	1.6	1.18	1.63	2.3
Acidimicrobiales	0.49	0.81	0.71	0.5	0.48	0.57	1.27	0.98	0.74	0.86	0.94	1.16	0.81	0.87	1.05	0.61	0.7	0.7	2.2
Rhodospirillales	1.03	1.35	0.87	0.75	0.32	1.12	1.95	1.13	1.37	1.13	1.19	1.45	1.14	1.05	1.39	1.35	0.7	1.16	1.9
Caulobacterales	1.66	1.25	1.51	1.33	1.63	1.7	1.47	1.35	0.79	1.16	1.51	1.38	1.1	1.43	1.14	1.36	1.09	1.46	1.9
Streptomycetales	3.26	3.1	3.37	2.42	1.18	2	2.67	3.9	8.95	5.27	3.41	3.45	4.57	3.89	3.66	6.84	4.66	3.55	1.8
Flavobacteriales	1.62	1.91	7.22	2.42	4.32	1.93	1.59	7.22	6.79	4.88	2.13	2.17	4.01	4.43	2.96	2.1	3.9	4.52	1.6
Desulfuromonadales	0.57	0.71	0.42	0.63	0.58	0.54	1.15	0.7	0.65	0.71	0.92	0.92	0.77	0.95	0.99	0.64	0.66	0.84	1.5
Gammaproteobacteria_incertae_sedis	0.64	0.67	0.7	0.58	0.54	0.57	1.26	0.53	0.72	0.76	0.75	0.99	0.62	0.58	1.01	0.81	0.64	0.97	1.4
Nitrosomonadales	0.41	0.52	0.52	0.36	0.5	0.76	0.41	0.52	0.44	0.39	0.44	0.44	0.48	0.49	0.71	0.59	0.36	0.49	1.2
Mycobacteriales	0.74	0.84	0.72	0.35	0.28	0.33	0.69	0.68	0.58	0.56	0.47	0.61	0.68	0.31	0.98	0.63	0.45	0.44	1.0
Pseudomonadales	0.59	0.36	0.37	0.46	1.49	0.47	1	2.44	0.61	2.6	1.44	2.18	0.48	0.43	0.62	0.38	1.29	0.8	0.8
Herpetosiphonales	0.48	0.81	0.23	0.45	0.7	0.31	0.52	1.35	0.34	0.69	1.05	0.93	2.87	0.29	0.7	0.69	1.32	0.98	0.8
Pirellulales	0.03	0.18	0.12	0.04	0	0.05	0.42	0.64	0.29	0.11	0.26	0.38	0.21	0.14	0.21	0.14	0.12	0.06	0.7
Bdellovibrionales	0.12	0.13	0.08	0.14	0.23	0.1	0.11	0.08	0.1	0.08	0.16	0.07	0.09	0.2	0.05	0.14	0.06	0.1	0.7
Spirochaetales	0.06	0.03	0.11	0.1	0.13	0.08	0.11	0.13	0.12	0.21	0.18	0.11	0.11	0.19	0.15	0.17	0.06	0.16	0.5
Chitinophagales	0.16	0.1	0.07	0.1	0.04	0.06	0.59	0.37	0.5	0.49	0.31	0.26	0.35	0.56	0.4	0.43	0.28	0.16	0.4
Streptosporangiales	1.07	1.42	0.46	1.77	0.41	0.8	0.85	1.38	0.58	0.97	1.21	0.75	1.4	1.57	0.95	1.05	1.77	1.08	0.4
Kineosporiales	0.43	0.93	0.42	0.81	0.16	0.3	0.86	0.52	0.6	0.85	0.69	0.55	1.16	1.17	0.86	0.87	0.98	0.55	0.4
Bacteriovoracales	0.07	0.14	0.29	0.19	0.56	0.24	0.17	0.21	0.13	0.35	0.22	0.08	0.23	0.59	0.14	0.18	0.31	0.08	0.4
Chromatiales	0.25	0.29	0.16	0.13	0.09	0.18	0.4	0.26	0.3	0.14	0.31	0.43	0.25	0.12	0.34	0.21	0.16	0.27	0.4
Gemmatimonadales	0.1	0.05	0.06	0.04	0.02	0.02	0.16	0.1	0.1	0.09	0.07	0.1	0.05	0.1	0.07	0.05	0.06	0.11	0.4
Opitutales	0	0.02	0.02	0.01	0.02	0.04	0.06	0.04	0.11	0.11	0.17	0.24	0.15	0.09	0.15	0.08	0.07	0.05	0.3
Clostridiales	0.01	0.45	0.04	0.03	0.02	0.01	0.06	0.01	0.1	0.01	0.01	0.1	0.02	0	0.01	0.01	0.01	0.17	0.3
Sphingobacteriales	0.13	0.05	0.05	0.1	0.16	0.02	0.04	0.07	0.12	0.1	0.11	0.12	0.08	0.29	0.09	0.06	0.13	0.14	0.3
Sporichthyales	0.43	0.48	0.5	0.35	0.15	0.36	0.31	0.33	0.53	0.32	0.38	0.21	0.65	0.38	0.39	0.33	0.67	0.68	0.2
Sneathiellales	0.07	0.08	0.04	0.04	0.07	0.08	0.06	0.07	0.05	0.05	0.08	0.09	0.14	0.09	0.07	0.26	0.1	0.13	0.2
Nitrospirales	0.05	0.06	0.03	0.06	0.03	0.06	0.1	0.06	0.09	0.07	0.11	0.13	0.07	0.07	0.08	0.34	0.12	0.15	0.2
Neisseriales	0.08	0.05	0.03	0.06	0.06	0.04	0.15	0.05	0.03	0.12	0.07	0.12	0.04	0	0.09	0.09	0.06	0.1	0.2
Kallotenuales	0.3	0.26	0.03	0.09	0.05	0.08	0.16	0.12	0.18	0.2	0.14	0.15	0.17	0.06	0.2	0.09	0.04	0.15	0.2
Desulfobacterales	0.07	0.06	0.02	0.06	0.04	0.01	0.02	0.1	0.06	0.02	0.04	0.09	0.08	0.08	0.1	0.11	0.1	0.06	0.2
Cellvibrionales	0.12	0.03	0.05	0.04	0.03	0.02	0.09	0.3	0.65	0.39	0.04	0.04	0.3	0.1	0.08	0.04	0.04	0.09	0.2
Legionellales	0.04	0.06	0.06	0.11	0.09	0.04	0.04	0.05	0.04	0.09	0.07	0.06	0.12	0.1	0.08	0.11	0.11	0.06	0.2
Enterobacterales	0	0	0.01	0	0	0	0.68	0	0	0	0	0	0	0	0	0	0	0	0.1
Rhodocyclales	0.04	0	0	0	0.01	0.04	0.03	0.05	0.04	0.05	0.02	0.05	0	0.02	0.08	0.03	0.02	0.03	0.1
Rubrobacterales	0.02	0.13	0.04	0.05	0	0.04	0.13	0.09	0.04	0.06	0.03	0.14	0.07	0.05	0.07	0.07	0.12	0.04	0.1
Cryptosporangiales	0.04	0.01	0.01	0	0	0.07	0.03	0.04	0	0.02	0.02	0.06	0.02	0	0.02	0.07	0.04	0.02	0.1
Vicinamibacterales	0.01	0.02	0.01	0	0.01	0.01	0.12	0.07	0.05	0.03	0.1	0.17	0.11	0.03	0.08	0.03	0.03	0.03	0.1
Glycomycetales	0.06	0.15	0.05	0.03	0.04	0.06	0.02	0.03	0.08	0.03	0.02	0.04	0.09	0.04	0.03	0.06	0.08	0.04	0.1
Ignavibacteriales	0.02	0.03	0.01	0.02	0.04	0.05	0.03	0.03	0	0.09	0.02	0	0.02	0.01	0.02	0.01	0.02	0.03	0.1
Geodermatophilales	0.04	0.23	0.09	0.08	0.03	0.08	0.14	0.25	0.11	0.09	0.11	0.35	0.06	0.05	0.11	0.13	0.17	0.08	0.1
Frankiales	0.01	0.03	0	0.03	0.01	0.01	0	0.04	0.03	0.04	0.05	0.06	0.04	0	0.01	0.02	0.02	0.02	0.1
Alteromonadales	0.01	0.04	0	0	0.04	0.03	0	0.02	0	0	0	0	0.03	0.03	0	0	0.02	0.01	0.1
Syntrophobacterales	0.02	0	0.01	0.01	0	0	0.01	0.02	0	0.03	0.01	0.02	0	0.01	0.03	0.01	0.01	0.01	0.1
Thermoleophilales	0	0.02	0.02	0.01	0.03	0.01	0.01	0.03	0.02	0.01	0.01	0.01	0.04	0	0.04	0	0	0.01	0.1
Acidiferrobacterales	0.02	0.02	0.01	0	0	0	0.03	0.06	0.01	0.04	0.04	0.02	0	0.01	0.02	0.06	0	0.02	0.1
Verrucomicrobiales	0	0	0.03	0	0.01	0	0.02	0.01	0.07	0.01	0.07	0.06	0.01	0.06	0.01	0.03	0.03	0.01	0.1
Ardenticatenales	0.04	0.05	0	0.03	0.01	0.04	0.05	0.02	0.01	0.05	0.01	0.02	0.05	0.02	0.03	0.05	0.02	0.05	0.1
Deltaproteobacteria_incertae_sedis	0.01	0.02	0.01	0	0	0	0.03	0.03	0.02	0.02	0.02	0.02	0	0.02	0.03	0.02	0.01	0.01	0.1
Longimicrobiales	0.07	0.1	0.04	0.05	0.04	0.08	0.08	0.1	0.05	0.06	0.07	0.06	0.05	0.04	0.04	0.11	0.07	0.07	0.1
Erysipelotrichales	0	0.01	0	0.01	0	0	0.01	0.02	0.02	0.01	0	0.04	0.01	0	0.02	0	0.01	0	0.1
Campylobacterales	0.07	0.01	0.01	0.01	0.03	0.02	0.1	0.11	0.04	0.1	0.02	0.01	0.02	0.07	0.09	0.05	0.08	0.05	0.1
Methylococcales	0	0.01	0.02	0.01	0.01	0	0	0.04	0.01	0.01	0.01	0.01	0	0.01	0.02	0.03	0.01	0.03	0.1
Chlamydiales	0.02	0.01	0	0	0.01	0.02	0.04	0.02	0.04	0.07	0.01	0	0	0	0.09	0.01	0	0.06	0.1
