"","KO1","KO2","KO3","KO4","KO5","KO6","OE1","OE2","OE3","OE4","OE5","OE6","WT1","WT2","WT3","WT4","WT5","WT6"
"k__Bacteria|p__Proteobacteria",0.638730385164051,0.492383730351645,0.600990024750619,0.612601563697685,0.731346546196444,0.684709283649213,0.535090664875756,0.447199107832204,0.489101047651234,0.549870578084556,0.549116777236032,0.535286401399213,0.483920485071763,0.580689029918404,0.54045864045864,0.53813324903185,0.532008495145631,0.558184451955577
"k__Bacteria|p__Actinobacteria",0.266761768901569,0.401960784313726,0.279456986424661,0.28598804231182,0.173710288545614,0.238034050754899,0.281564808596373,0.34451402590718,0.330770530584657,0.285245901639344,0.298537287187275,0.280979449059904,0.347685931383836,0.288153520701118,0.316953316953317,0.339208092942385,0.333055218446602,0.31377756317399
"k__Bacteria|p__Unassigned",0.0376248216833096,0.0445632798573975,0.024825620640516,0.0295109612141653,0.029146021568056,0.0314005782203662,0.0790799194089993,0.0742043407394698,0.0554241297735722,0.045297670405522,0.0797698025737351,0.0789680804547442,0.0719164939749789,0.0553037171350861,0.0677313677313677,0.0545325219315577,0.0644720873786408,0.0410429744084983
"k__Bacteria|p__Bacteroidetes",0.030046362339515,0.0256846540269,0.0738018450461261,0.0295109612141653,0.0485281259108132,0.021763572116929,0.0353425117528543,0.078579394355323,0.0842345386955052,0.0748921484037964,0.0340500359683479,0.0318320944468736,0.0508864839972369,0.0587790873375642,0.046027846027846,0.0393582549592982,0.0453580097087379,0.05593111218413
"k__Bacteria|p__Firmicutes",0.0146219686162625,0.0189596499756928,0.0132003300082502,0.0329602943430937,0.00597493442145147,0.0155798265338901,0.0476830087306917,0.0256498241400017,0.0234876647516053,0.027351164797239,0.0157461433938134,0.0471359860078706,0.00767518612326349,0.00543970988213962,0.0105651105651106,0.00948391685766221,0.00538531553398058,0.0107838403347819
"k__Bacteria|p__Chloroflexi",0.00802425106990014,0.0105331388753849,0.00382509562739068,0.00620879963207113,0.00903526668609735,0.00449726951493736,0.0073875083948959,0.0172428583683624,0.00650557620817844,0.00983606557377049,0.0120693789465271,0.0104940970703979,0.0304704889093561,0.00498640072529465,0.00909090909090909,0.00956294949814273,0.0139563106796117,0.0126347980041848
"k__Bacteria|p__Planctomycetes",0.000891583452211127,0.00243072435585805,0.00165004125103128,0.000843170320404722,0.00021859516176042,0.0008030838419531,0.00587642713230356,0.0076348974864888,0.00346400811084826,0.00172562553925798,0.00383662377108145,0.00594665500655881,0.00230255583697905,0.0018887881535207,0.00286650286650287,0.00205484865249348,0.00182038834951456,0.00152905198776758
"k__Bacteria|p__Verrucomicrobia",0.000534950071326676,0.000405120725976341,0.000600015000375009,0.000306607389238081,0.000947245700961819,0.00112431737873434,0.00243451981195433,0.00128678047525092,0.00304156809733018,0.00181190681622088,0.0026376788426185,0.00376038478355925,0.00245605955944432,0.00173768510123905,0.00212940212940213,0.00197581601201296,0.00144114077669903,0.00128762272654112
"k__Bacteria|p__Gemmatimonadetes",0.00187232524964337,0.0017825311942959,0.00097502437560939,0.0011497777096428,0.000510055377440979,0.00112431737873434,0.00193082605775688,0.00188727803036802,0.00168976005407232,0.00155306298533218,0.00135880425225801,0.00157411456055969,0.000690766751093714,0.0013599274705349,0.00114660114660115,0.00142258752864933,0.00121359223300971,0.00185095766940287
"k__Bacteria|p__Nitrospirae",0.000445791726105563,0.000486144871171609,0.000225005625140629,0.000536562931166641,0.00021859516176042,0.00048185030517186,0.00083948959032908,0.000514712190100369,0.000760392024332545,0.000603968938740293,0.000879226280872832,0.00131176213379974,0.000690766751093714,0.000679963735267452,0.000737100737100737,0.0030032403382597,0.000986043689320388,0.00152905198776758
"k__Bacteria|p__Acidobacteria",0.000178316690442225,0.000567169016366877,7.50018750468762e-05,7.66518473095202e-05,7.28650539201399e-05,0.00016061676839062,0.00218267293485561,0.000772068285150553,0.000844880027036161,0.000517687661777394,0.00175845256174566,0.00244862264975951,0.00115127791848952,0.00037775763070414,0.00122850122850123,0.000790326404805185,0.000303398058252427,0.000482858522452921
"k__Bacteria|p__Chlamydiae",0.000178316690442225,0.000162048290390536,0.000300007500187505,0.00015330369461904,0.00021859516176042,0.00032123353678124,0.00041974479516454,0.000257356095050184,0.00042244001351808,0.00103537532355479,7.99296618975302e-05,0,0.00015350372246527,0.000151103052281656,0.000900900900900901,0.000237097921441555,0,0.000643811363270562
"k__Bacteria|p__Spirochaetes",8.91583452211127e-05,8.10241451952682e-05,7.50018750468762e-05,0.00015330369461904,7.28650539201399e-05,0,0.000167897918065816,0.000257356095050184,0.000253464008110848,0.000258843830888697,0.00015985932379506,0.000262352426759948,0,0.000453309156844968,0.000163800163800164,0.000237097921441555,0,0.000321905681635281
