"","Deferribacteres","Acidobacteria_Gp20","Oligoflexia","Thermoleophilia","Endomicrobia","Phycisphaerae","Fibrobacteria","Acidobacteria_Gp14","Thermoprotei","Epsilonproteobacteria","Thermoplasmata","Ignavibacteria","Subdivision5","Acidobacteria_Gp22","Acidobacteria_Gp18","Erysipelotrichia","Dehalococcoidetes","Acidobacteria_Gp12","Negativicutes","Chlorobia","Chloroflexia","Deinococci","Acidobacteria_Gp19","Acidobacteria_Gp11","Fimbriimonadia","Acidobacteria_Gp25","Mollicutes","Chthonomonadetes","Cyanobacteria","Verrucomicrobiae","Acidobacteria_Gp4","Bacteroidia","Chloroplast","Flavobacteriia","Acidobacteria_Gp10","Armatimonadia","Fusobacteriia","Ktedonobacteria","Anaerolineae","Holophagae"
"sample1",0,0,0,0,0,0,0,2.51026699199727e-05,2.51026699199727e-05,1.00410679679891e-05,2.00821359359782e-05,0,6.02464078079345e-05,1.50616019519836e-05,3.01232039039672e-05,1.00410679679891e-05,0,3.51437378879618e-05,2.00821359359782e-05,3.51437378879618e-05,3.51437378879618e-05,7.02874757759235e-05,0,0.000140574951551847,0.000175718689439809,7.53080097599181e-05,0.000115472281631874,0.00116476388428673,6.5266941791929e-05,7.53080097599181e-05,0.00608488718860138,0.00043176592262353,0.00146599592332641,0.00104427106867086,0.00200821359359782,0.00048699179644747,2.00821359359782e-05,0.00217389121506963,0.00224919922482955,0.00106435320460684
"sample10",0,0,0,0,0,0,6.11519810184251e-05,0.000189571141157118,0,0,0,0.00019568633925896,0,1.2230396203685e-05,2.446079240737e-05,3.05759905092125e-05,1.2230396203685e-05,3.66911886110551e-05,6.11519810184251e-06,0,0.00019568633925896,0,9.17279715276376e-05,0.000678786989304519,0.000299644706990283,6.72671791202676e-05,0.000158995150647905,0.00266011117430149,7.33823772221101e-05,0.000917279715276376,0.0123404697695182,6.11519810184251e-05,0.000788860555137684,0.000703247781711889,0.00107015966782244,0.000330220697499495,6.72671791202676e-05,0.00239715765592226,0.0010640444697206,0.00026906871648107
"sample11",0,0,0,0,3.69641355474851e-05,6.93077541515345e-05,0,6.00667202646632e-05,0,0,6.00667202646632e-05,0.00014785654218994,0,1.84820677737425e-05,6.46872372080989e-05,4.62051694343563e-06,9.24103388687126e-06,0,3.23436186040494e-05,1.84820677737425e-05,0.000120133440529326,0,2.31025847171782e-05,0.00110430354948112,9.24103388687126e-06,0.000115512923585891,6.46872372080988e-05,0.00523504569691257,0,0.000619149270420375,0.0213467882786726,2.31025847171782e-05,0.00327594651289586,0.00187130936209143,0.000887139253139641,0.000559082550155711,4.15846524909207e-05,0.00115974975280234,0.00292478722519476,0.000235646364115217
"sample12",0,0,0,0,0,0,3.42838111843587e-05,5.8772247744615e-05,0,0,4.40791858084612e-05,0,0,0,2.93861238723075e-05,0,5.38745604325637e-05,1.46930619361537e-05,9.7953746241025e-06,2.44884365602562e-05,7.836299699282e-05,2.93861238723075e-05,4.89768731205125e-06,0.000386917297652049,9.30560589289737e-05,5.8772247744615e-05,0.000328145049907434,0.00129298945038153,0.000239986678290511,0.00127829638844538,0.00804200256638815,8.32606843048712e-05,0.00115585420564409,0.0027622956439969,0.00204723329643742,0.000866890654233071,2.93861238723075e-05,0.00105790045940307,0.00160644143835281,0.000739550784119739
"sample13",0,0,0,1.41722686495245e-05,0,4.25168059485736e-05,3.77927163987321e-05,3.30686268488905e-05,1.8896358199366e-05,4.72408954984151e-06,6.14131641479396e-05,3.30686268488905e-05,3.30686268488905e-05,0.000217308119292709,1.8896358199366e-05,4.72408954984151e-05,1.8896358199366e-05,2.8344537299049e-05,4.72408954984151e-06,8.50336118971471e-05,5.66890745980981e-05,4.72408954984151e-05,9.44817909968301e-06,0.000212584029742868,0.000330686268488905,0.000292893552090173,0.000387375343087004,0.00101095516366608,8.97577014469886e-05,0.000396823522186687,0.0044500923559507,0.000410995790836211,0.00101095516366608,0.00120464283520958,0.00392571841591829,0.000779474775723849,0,0.00136998596945404,0.00388792569951956,0.00120936692475943
"sample14",0,6.28705432643643e-06,0,0,0,0,0,0,3.77223259586186e-05,0,0,5.65834889379279e-05,0,0.000213759847098839,0.00017603752114022,1.25741086528729e-05,1.25741086528729e-05,5.02964346114915e-05,0.000119454032202292,6.91575975908008e-05,0.000163463412487347,5.02964346114915e-05,4.4009380285055e-05,0.000163463412487347,6.28705432643643e-05,0.000823604116763173,6.28705432643643e-05,0.00154661536430336,5.65834889379279e-05,0.000207472792772402,0.00670199991198124,0.000100592869222983,0.000572121943705716,0.00118196621337005,0.00403000182324575,0.000232621010078148,8.17317062436736e-05,0.0028291744468964,0.00336986111896993,0.00143973544075394
"sample15",5.47873156406829e-06,0,0,0,1.09574631281366e-05,0,0,5.47873156406829e-06,5.47873156406829e-06,0,0,0.000262979115075278,4.38298525125463e-05,0.000246542920383073,0.000109574631281366,1.64361946922049e-05,5.47873156406829e-06,8.76597050250926e-05,1.09574631281366e-05,6.57447787688194e-05,0.000180798141614253,2.73936578203414e-05,1.64361946922049e-05,0.000372553746356644,0.000142447020665775,0.000334202625408165,0.00019175560474239,0.00123819333347943,8.76597050250926e-05,0.000723192566457014,0.00423505949902479,0.000120532094409502,0.00355569678508032,0.000788937345225833,0.00793320330477088,0.000613617935175648,8.76597050250926e-05,0.000920426902763472,0.00561569985316999,0.000849203392430584
"sample16",0,0,0,0,1.26869742835031e-05,0,0,3.17174357087578e-05,3.80609228505094e-05,0,6.34348714175156e-06,3.80609228505094e-05,3.17174357087578e-05,0.000114182768551528,5.70913842757641e-05,1.26869742835031e-05,8.24653328427703e-05,8.88088199845219e-05,9.51523071262735e-05,0.000107839281409777,8.88088199845219e-05,1.90304614252547e-05,3.80609228505094e-05,0.00020299158853605,0.000133213229976783,0.000355235279938088,0.000158587178543789,0.00168736757970592,9.51523071262735e-05,0.00028545692137882,0.00245492952385786,0.000399639689930349,0.000659722662742163,0.00177617639969044,0.00419938848783954,0.000279113434237069,5.07478971340125e-05,0.00164930665685541,0.00314636962230878,0.000983240506971492
"sample17",0,0,4.45106058882586e-05,1.48368686294195e-05,0,0,3.46193601353122e-05,2.47281143823659e-05,1.48368686294195e-05,0,2.47281143823659e-05,0,1.48368686294195e-05,0.000380812961488435,9.89124575294635e-06,0,0,4.94562287647318e-05,4.45106058882586e-05,0.000118694949035356,9.89124575294636e-05,7.41843431470977e-05,5.93474745176781e-05,0.0002027705379354,0.000153314309170668,0.000751734677223923,9.89124575294635e-06,0.00104352642693584,4.94562287647318e-05,0.000341247978476649,0.0064342553622916,0.000272009258206025,0.000692387202706245,0.000647876596817986,0.00438676749143171,0.000247281143823659,5.93474745176781e-05,0.00181504359566566,0.00227993214605413,0.000400595452994327
"sample18",0,0,0,0,0,3.80423411256729e-05,1.42658779221273e-05,1.90211705628364e-05,4.75529264070911e-06,0,1.42658779221273e-05,0.000118882316017728,1.42658779221273e-05,0.000118882316017728,2.37764632035455e-05,0,2.85317558442547e-05,2.85317558442547e-05,2.85317558442547e-05,0,9.03505601734731e-05,4.2797633766382e-05,1.90211705628364e-05,0.000237764632035455,0.000223498754113328,0.000817910334201967,0.000218743461472619,0.0010937173073631,8.08399748920549e-05,0.000142658779221273,0.00453179388659578,0.000175945827706237,0.00105091967359671,0.00163106537576322,0.00369010708919027,0.00031860460692751,0,0.00136001369524281,0.00252981568485725,0.000689517432902821
