observed	predict
A50Cp0r1	0	9.91202475685261
A50Cp0r2	0	9.43581146744432
A50Cp0r3	0	3.03206521739158
A50Cp0r4	0	8.32587476979767
A50Cp0r5	0	3.60653883972496
A50Cp0r6	0	6.30707762557099
A50Cp1r1	1	4.43015232974943
A50Cp1r2	1	4.27619692863627
A50Cp1r3	1	3.34173515981769
A50Cp1r4	1	2.12336065573797
A50Cp1r5	1	2.2728479853483
A50Cp1r6	1	2.00892080069659
A50Cp2r1	2	2.34572400388749
A50Cp2r2	2	2.20463228271285
A50Cp2r3	2	3.31300813008156
A50Cp2r4	2	2.50733506944479
A50Cp2r5	2	5.01737147595391
A50Cp2r6	2	2.06348600508939
A50Cp3r1	3	5.93585470085503
A50Cp3r2	3	5.00733901515179
A50Cp3r3	3	3.21872807017574
A50Cp3r4	3	3.76868279569924
A50Cp3r5	3	3.53731273408271
A50Cp3r6	3	5.81235465116301
A50Cp7r1	7	8.45899390243917
A50Cp7r2	7	11.0074127906978
A50Cp7r3	7	13.3525809273842
A50Cp7r4	7	10.4678305400374
A50Cp7r5	7	10.529155060353
A50Cp7r6	7	11.1265130984645
A50Cp10r1	10	14.0830374753453
A50Cp10r2	10	12.0838235294119
A50Cp10r3	10	15.7454841713222
A50Cp10r4	10	17.0603240740742
A50Cp10r5	10	15.9934018851758
A50Cp14r1	14	11.0756964457254
A50Cp14r2	14	17.8123036649215
A50Cp14r3	14	19.9019766397125
A50Cp14r4	14	13.620844811754
A50Cp14r5	14	21.8533766233766
A50Cp14r6	14	14.8436507936509
A50Cp21r1	21	16.1154235727441
A50Cp21r2	21	21.6886854460093
A50Cp21r3	21	14.6408741594622
A50Cp21r4	21	17.5967353951891
A50Cp21r5	21	18.856135770235
A50Cp21r6	21	22.1016260162601
A50Cp28r1	28	35.1435411020777
A50Cp28r2	28	29.6709292412617
A50Cp28r4	28	44.4955492424242
A50Cp28r5	28	29.7538715769594
A50Cp28r6	28	29.8748021108179
A50Cp35r1	35	41.7630208333333
A50Cp35r2	35	36.8652094717669
A50Cp35r3	35	28.0484674329501
A50Cp35r4	35	42.8595717884131
A50Cp35r5	35	36.3516203703704
A50Cp35r6	35	35.6639577594123
A50Cp42r1	42	41.0603006189213
A50Cp42r2	42	45.5927497789567
A50Cp42r3	42	45.7296929824561
A50Cp42r4	42	48.6995786516854
A50Cp42r5	42	49.5841777777778
A50Cp42r6	42	46.5797554347826
A50Cp49r1	49	42.5987179487179
A50Cp49r2	49	50.7721788194445
A50Cp49r3	49	47.9017615176152
A50Cp49r4	49	53.5083114610674
A50Cp49r5	49	56.3068398268398
A50Cp49r6	49	46.7471698113208
A50Cp57r1	57	51.4220238095238
A50Cp57r2	57	57.535443583118
A50Cp57r3	57	47.3148745519713
A50Cp57r4	57	48.702688172043
A50Cp57r5	57	51.1174908424909
A50Cp57r6	57	50.1204670329671
A50Cp63r1	63	47.5351002865329
A50Cp63r2	63	77.1649051490516
A50Cp63r3	63	68.9323699421965
A50Cp63r4	63	66.6349734042553
A50Cp63r5	63	55.7541666666667
A50Cp63r6	63	72.307175925926
A50Cp70r1	70	58.1285388127853
A50Cp70r2	70	65.2258771929824
A50Cp70r3	70	66.6907407407407
A50Cp70r4	70	79.281622678397
A50Cp70r5	70	76.7515873015874
A50Cp70r6	70	77.1953781512606
A50Cp77r1	77	64.9169491525423
A50Cp77r2	77	63.7679522497704
A50Cp77r3	77	75.3431425976386
A50Cp77r4	77	72.264393939394
A50Cp77r5	77	77.4939437984497
A50Cp77r6	77	84.2905838041433
A50Cp84r1	84	55.3905660377358
A50Cp84r2	84	81.4845136921626
A50Cp84r3	84	75.8212598425198
A50Cp84r4	84	63.3011574074074
A50Cp84r5	84	78.353659742829
A50Cp84r6	84	86.5045219638245
A50Cp91r1	91	78.1424882629109
A50Cp91r2	91	77.0612299465242
A50Cp91r3	91	78.1052951388891
A50Cp91r4	91	86.7504875886527
A50Cp91r5	91	95.0251111111114
A50Cp91r6	91	93.3684645286689
A50Cp98r1	98	92.3233983286911
A50Cp98r2	98	82.354541198502
A50Cp98r3	98	89.0796768707486
A50Cp98r4	98	78.5385585585587
A50Cp98r5	98	97.6012787723789
A50Cp98r6	98	93.472559366755
A50Cp112r1	112	97.6880000000003
A50Cp112r2	112	94.2665318957775
A50Cp112r3	112	94.0164893617024
A50Cp112r4	112	96.3899621212124
A50Cp112r5	112	91.1329015544044
A50Cp112r6	112	99.797796143251
A50Cp119r1	119	106.083419023137
A50Cp119r2	119	103.020844444445
A50Cp119r3	119	104.035805860806
A50Cp119r4	119	108.9581232493
A50Cp119r5	119	93.3458440445591
A50Cp119r6	119	101.884476190477
A50Sz0r1	0	7.88430018416232
A50Sz0r2	0	11.120365418895
A50Sz0r3	0	1.70847145488061
A50Sz0r4	0	2.41819444444474
A50Sz0r5	0	1.84103896103931
A50Sz0r6	0	2.16572504708126
A50Sz1r1	1	1.93558931860068
A50Sz1r2	1	3.30853994490382
A50Sz1r3	1	2.8165273909009
A50Sz1r4	1	5.50668449197887
A50Sz1r5	1	10.7380403458215
A50Sz1r6	1	4.43922603342161
A50Sz2r1	2	13.1814273049647
A50Sz2r2	2	5.01939313984197
A50Sz2r3	2	59.030707070707
A50Sz2r4	2	3.51361185983856
A50Sz2r5	2	5.57351111111144
A50Sz2r6	2	5.52048888888917
A50Sz3r1	3	4.42792672028626
A50Sz3r2	3	5.58847184986615
A50Sz3r3	3	3.91734786557705
A50Sz3r4	3	5.55624438454657
A50Sz3r5	3	4.86979768786151
A50Sz3r6	3	23.3148858447488
A50Sz5r1	5	9.37619680851082
A50Sz5r2	5	8.53713136729239
A50Sz5r3	5	5.4400584795324
A50Sz5r4	5	4.84866310160457
A50Sz5r5	5	8.79095238095262
A50Sz5r6	5	6.62643678160939
A50Sz7r1	7	14.4715817694371
A50Sz7r2	7	8.12679045092859
A50Sz7r3	7	10.7428000000002
A50Sz7r4	7	8.9001269035535
A50Sz7r5	7	10.6374174917494
A50Sz7r6	7	10.1157283288653
A50Sz10r2	10	21.5295305164318
A50Sz10r3	10	11.2067395264118
A50Sz10r4	10	15.6297413793104
A50Sz10r5	10	16.6132586367881
A50Sz10r6	10	12.3736380424748
A50Sz13r1	13	20.2062074829932
A50Sz13r2	13	15.9390362511053
A50Sz13r3	13	13.2665296803654
A50Sz13r4	13	11.0138743455499
A50Sz13r5	13	14.742993907746
A50Sz13r6	13	30.8187185929648
A50Sz20r1	20	16.7428506375228
A50Sz20r2	20	26.6520774315391
A50Sz20r3	20	25.7409006499535
A50Sz20r4	20	28.4414098972922
A50Sz20r5	20	19.6098765432098
A50Sz20r6	20	21.9570987654321
A50Sz27r1	27	25.7290644868301
A50Sz27r2	27	31.3644221585482
A50Sz27r3	27	38.6072727272728
A50Sz27r4	27	26.8920164609053
A50Sz27r5	27	42.8740464344942
A50Sz27r6	27	29.6677716390423
A50Sz34r1	34	36.7457343887423
A50Sz34r2	34	40.9102022867195
A50Sz34r3	34	35.3948509485095
A50Sz34r4	34	39.3242621527778
A50Sz34r5	34	33.4789229340761
