var	estimate	estimate1	estimate2	statistic	p.value	parameter	conf.low	conf.high	method	alternative
Bacteria|Actinobacteria|Acidimicrobiia|Acidimicrobiales|Iamiaceae|Actinomarinicola	-0.271308093545135	0.414269110780515	0.685577204325651	-4.25104050066752	0.00225730496408842	8.78904947555563	-0.416212473978999	-0.126403713111271	Welch Two Sample t-test	two.sided
Bacteria|Actinobacteria|Actinobacteria|Propionibacteriales|Nocardioidaceae|Aeromicrobium	0.220550477571445	0.507185338308785	0.28663486073734	2.98088400794742	0.0187227565320513	7.56740647693285	0.0482204863126192	0.392880468830271	Welch Two Sample t-test	two.sided
Bacteria|Actinobacteria|Thermoleophilia|Solirubrobacterales|Baekduiaceae|Baekduia	-0.243655636593298	0.457772616720193	0.701428253313491	-2.7328966711277	0.0240964763519706	8.59255755457428	-0.446809047772107	-0.0405022254144892	Welch Two Sample t-test	two.sided
Bacteria|Bacteroidetes|Chitinophagia|Chitinophagales|Chitinophagaceae|Niastella	-0.291404827343953	0.0694137207441599	0.360818548088113	-5.91326531216858	0.00096706798323526	6.1238997451492	-0.411399356995628	-0.171410297692279	Welch Two Sample t-test	two.sided
Bacteria|Bacteroidetes|Cytophagia|Cytophagales|Fulvivirgaceae|Chryseolinea	-0.502102619756255	0.157913671063866	0.66001629082012	-6.6845859288571	5.85823703258646e-05	9.85721667509818	-0.669795109669709	-0.334410129842801	Welch Two Sample t-test	two.sided
Bacteria|Firmicutes|Bacilli|Bacillales|Bacillaceae|Unassigned	-1.46117076282115	0.698480344358332	2.15965110717949	-3.35434000135788	0.016702079064063	5.67115584411652	-2.54222308240313	-0.380118443239178	Welch Two Sample t-test	two.sided
Bacteria|Gemmatimonadetes|Gemmatimonadetes|Gemmatimonadales|Gemmatimonadaceae|Gemmatirosa	-0.0459819246255528	0.103557747334678	0.149539671960231	-2.44740603114239	0.0354693092529034	9.54891976785398	-0.0881138579809709	-0.00384999127013469	Welch Two Sample t-test	two.sided
Bacteria|Nitrospirae|Nitrospira|Nitrospirales|Nitrospiraceae|Nitrospira	-0.0707183569480971	0.0513683823404888	0.122086739288586	-4.36155305819876	0.00257720091472452	7.77453985069118	-0.108297558809968	-0.0331391550862265	Welch Two Sample t-test	two.sided
Bacteria|Planctomycetes|Planctomycetacia|Pirellulales|Lacipirellulaceae|Lacipirellula	-0.203979378147638	0.0361488570328619	0.240128235180499	-3.0222965614932	0.0246983067168052	5.7311043961928	-0.371021716189538	-0.036937040105737	Welch Two Sample t-test	two.sided
Bacteria|Proteobacteria|Alphaproteobacteria|Caulobacterales|Caulobacteraceae|Brevundimonas	0.124916307170375	0.245556516145829	0.120640208975454	2.61260080258309	0.0346717921282725	7.02514518944886	0.01193848867913	0.237894125661619	Welch Two Sample t-test	two.sided
Bacteria|Proteobacteria|Alphaproteobacteria|Caulobacterales|Caulobacteraceae|Unassigned	-0.061015858338481	0.101145276170902	0.162161134509383	-3.11817677085541	0.0112813780627516	9.71575568272237	-0.104789152755653	-0.0172425639213088	Welch Two Sample t-test	two.sided
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Devosiaceae|Devosia	0.673106812829734	1.81075862147233	1.1376518086426	2.71797620332542	0.0263918103154251	7.97996110167337	0.101775167486429	1.24443845817304	Welch Two Sample t-test	two.sided
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Rhizobiaceae|Ensifer	0.207498689505314	0.455672335975299	0.248173646469985	3.25653753116459	0.0203656063592163	5.36140647781473	0.0469732558714008	0.368024123139228	Welch Two Sample t-test	two.sided
Bacteria|Proteobacteria|Alphaproteobacteria|Rhizobiales|Rhizobiaceae|Pararhizobium	0.934404559239637	1.83201193478085	0.897607375541211	3.22920722068346	0.0171970032717472	6.18064156254084	0.231351389508515	1.63745772897076	Welch Two Sample t-test	two.sided
Bacteria|Proteobacteria|Alphaproteobacteria|Rhodospirillales|Rhodospirillaceae|Dongia	-0.36012800140733	0.300192632732415	0.660320634139745	-3.75034367477458	0.00472647929556658	8.81199419657094	-0.578060920718243	-0.142195082096417	Welch Two Sample t-test	two.sided
Bacteria|Proteobacteria|Alphaproteobacteria|Sphingomonadales|Sphingomonadaceae|Sphingomonas	0.902842724017582	1.98347355500187	1.08063083098428	4.70104812935771	0.00147361351291525	8.13008831863544	0.461201917069918	1.34448353096525	Welch Two Sample t-test	two.sided
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Comamonadaceae|Aquincola	5.23742712032728	9.9127767818469	4.67534966151961	4.98793715587254	0.00128863853702138	7.51183579121242	2.78841479124338	7.68643944941119	Welch Two Sample t-test	two.sided
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Comamonadaceae|Piscinibacter	1.61305191772778	4.56909429434791	2.95604237662013	3.72114864903147	0.00827506503756729	6.60167426678044	0.575357506217737	2.65074632923783	Welch Two Sample t-test	two.sided
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Oxalobacteraceae|Duganella	0.349400967193544	0.49783420804329	0.148433240849746	3.49511858783115	0.0127010724126704	6.05844127662933	0.105358254082327	0.59344368030476	Welch Two Sample t-test	two.sided
Bacteria|Proteobacteria|Betaproteobacteria|Burkholderiales|Oxalobacteraceae|Janthinobacterium	0.529546601839124	0.842920375855399	0.313373774016275	4.09578766193676	0.0041009070083477	7.38482271087558	0.227023149485628	0.832070054192621	Welch Two Sample t-test	two.sided
