Order	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
Bacteria|Acidobacteria|Acidobacteria_Gp1|Unassigned	0.00930319099451112	0.0347192084020484	0.00774713356058258	0.00800128020483277	0	0.00838644750083864	0.0371333085777943	0.0190349290948891	0.0456495937186159	0.0181867782122397	0.0177226406734603	0	0	0.0168506192602578	0.0268672756582483	0	0.00835561497326203	0.00858663918942126
Bacteria|Acidobacteria|Unassigned|Unassigned	0.0465159549725556	0.0520788126030727	0.0154942671211652	0.0240038406144983	0.0605647664471194	0.0335457900033546	0.0371333085777943	0.0951746454744456	0.0273897562311695	0.0272801673183596	0.00886132033673017	0.0671462829736211	0.00860141063134354	0.0252759288903867	0.438832169084722	0.0086587583340549	0	0.034346556757685
Bacteria|Acidobacteria|Vicinamibacteria|Vicinamibacterales	0.0186063819890222	0.0607586147035848	0.00774713356058258	0.00800128020483277	0.00757059580588992	0.0167728950016773	0.241366505755663	0.085657180927001	0.0912991874372318	0.0545603346367191	0.194949047408064	0.268585131894484	0.129021159470153	0.0421265481506445	0.134336378291241	0.086587583340549	0.0334224598930481	0.0515198351365276
Bacteria|Actinobacteria|Acidimicrobiia|Acidimicrobiales	0.5861010326542	0.694384168040969	0.627517818407189	0.464074251880301	0.446665152547505	0.587051325058705	1.2996658002228	0.951746454744456	0.730393499497854	0.791124852232427	0.957022596366859	1.11270983213429	0.731119903664201	0.791979105232117	0.931398889485939	0.666724391722227	0.676804812834225	0.618238021638331
Bacteria|Actinobacteria|Actinobacteria|Cryptosporangiales	0.0837287189506001	0.190955646211266	0.0619770684846607	0.0320051208193311	0.0151411916117798	0.0754780275075478	0.0556999628666914	0.0951746454744456	0.0456495937186159	0.136400836591798	0.0620292423571112	0.0959232613908873	0.12041974883881	0.0505518577807734	0.0447787927637471	0.121222616676769	0.100267379679144	0.0515198351365276
Bacteria|Actinobacteria|Actinobacteria|Frankiales	0.0279095729835334	0.0694384168040969	0.0309885342423303	0.0320051208193311	0.0151411916117798	0.0251593425025159	0.06498329001114	0.085657180927001	0.0365196749748927	0.0454669455305993	0.0620292423571112	0.0575539568345324	0.0430070531567177	0.0252759288903867	0.0537345513164965	0.0692700666724392	0.0250668449197861	0.0171732783788425
Bacteria|Actinobacteria|Actinobacteria|Geodermatophilales	0.0744255279560889	0.251714260914851	0.092965602726991	0.072011521843495	0.0302823832235597	0.109023817510902	0.176383215744523	0.266489007328448	0.118688943668401	0.0909338910611985	0.106335844040762	0.364508393285372	0.0688112850507483	0.0421265481506445	0.134336378291241	0.181833925015153	0.183823529411765	0.0772797527047913
Bacteria|Actinobacteria|Actinobacteria|Glycomycetales	0.0744255279560889	0.16491623990973	0.0697242020452433	0.0320051208193311	0.0378529790294496	0.0670915800067092	0.0185666542888971	0.0285523936423337	0.0821692686935086	0.0272801673183596	0.0177226406734603	0.0383693045563549	0.0774126956820919	0.0421265481506445	0.0268672756582483	0.0606113083383843	0.0668449197860962	0.034346556757685
Bacteria|Actinobacteria|Actinobacteria|Kineosporiales	0.0465159549725556	0.0173596042010242	0.0232414006817478	0.0240038406144983	0	0.0251593425025159	0.0464166357222429	0.0475873227372228	0.00912991874372318	0.0181867782122397	0	0.0287769784172662	0.0172028212626871	0.00842530963012891	0.0447787927637471	0.0086587583340549	0.0334224598930481	0.0257599175682638
Bacteria|Actinobacteria|Actinobacteria|Micrococcales	2.03739882779793	3.16812776668692	1.78184071893399	2.25636101776284	0.98417745476569	1.71083529017108	2.55291496472336	2.58875035690492	2.22770017346846	2.34609438937892	2.9065130704475	2.41726618705036	2.82126268708068	2.46861572162777	2.84793121977431	2.58896874188241	2.56517379679144	2.67903142709943
Bacteria|Actinobacteria|Actinobacteria|Micromonosporales	5.22839333891525	7.69030466105373	4.60954446854664	4.28068490958553	2.36959648724355	4.52868165045287	5.36576308949127	7.32844770153231	7.30393499497854	5.13776484495772	5.83074878156845	5.38129496402878	5.68553242731808	4.60864436768051	5.73168547375963	4.87488094207291	5.58155080213904	5.99347415421604
Bacteria|Actinobacteria|Actinobacteria|Mycobacteriales	0.595404223648711	0.650985157538408	0.635264951967772	0.240038406144983	0.189264895147248	0.234820530023482	0.45488303007798	0.43780336918245	0.328677074774035	0.427389287987633	0.336730172795747	0.383693045563549	0.490280405986582	0.202207431123094	0.725416442772703	0.40696164170058	0.317513368983957	0.257599175682638
