source,target,correlation,direct,cor
ASV_468,ASV_88,0.99888349275374,undirected,+
ASV_1638,ASV_70,0.995724720628147,undirected,+
ASV_1849,ASV_70,0.989601303178672,undirected,+
ASV_349,ASV_53,0.992209993719634,undirected,+
ASV_375,ASV_57,0.990011203601639,undirected,+
ASV_293,ASV_57,0.991670172042482,undirected,+
ASV_901,ASV_57,0.997616643700494,undirected,+
ASV_711,ASV_57,0.992673557162403,undirected,+
ASV_2074,ASV_57,0.996444098417896,undirected,+
ASV_67,ASV_71,0.992251201600051,undirected,+
ASV_61,ASV_116,0.993312301464562,undirected,+
ASV_94,ASV_116,0.995671437348567,undirected,+
ASV_661,ASV_116,0.997679574626212,undirected,+
ASV_293,ASV_116,0.989863504736889,undirected,+
ASV_1098,ASV_116,0.997935176478698,undirected,+
ASV_711,ASV_116,0.993645135752058,undirected,+
ASV_116,ASV_61,0.993312301464562,undirected,+
ASV_94,ASV_61,0.989193375233454,undirected,+
ASV_411,ASV_61,0.994048275775245,undirected,+
ASV_975,ASV_61,0.990354810289438,undirected,+
ASV_69,ASV_173,0.999841517686346,undirected,+
ASV_206,ASV_173,0.999136483747866,undirected,+
ASV_444,ASV_173,0.993988964145212,undirected,+
ASV_744,ASV_173,0.999683978749791,undirected,+
ASV_945,ASV_173,0.991538975387252,undirected,+
ASV_654,ASV_173,0.999936280045486,undirected,+
ASV_488,ASV_173,0.995456282921702,undirected,+
ASV_808,ASV_173,0.997416479383458,undirected,+
ASV_1418,ASV_173,0.999182426774867,undirected,+
ASV_468,ASV_84,0.989687429967594,undirected,+
ASV_94,ASV_105,0.991403900094293,undirected,+
ASV_90,ASV_105,0.990823766697807,undirected,+
ASV_330,ASV_105,0.994780899936254,undirected,+
ASV_661,ASV_105,0.992117572433658,undirected,+
ASV_420,ASV_105,0.996347683154657,undirected,+
ASV_1015,ASV_87,0.990505401510714,undirected,+
ASV_116,ASV_94,0.995671437348567,undirected,+
ASV_61,ASV_94,0.989193375233454,undirected,+
ASV_105,ASV_94,0.991403900094293,undirected,+
ASV_661,ASV_94,0.996474487279296,undirected,+
ASV_293,ASV_94,0.99337469883973,undirected,+
ASV_1098,ASV_94,0.991376824911613,undirected,+
ASV_1758,ASV_94,0.989869600141217,undirected,+
ASV_711,ASV_94,0.989625994997472,undirected,+
ASV_2074,ASV_94,0.989220643713579,undirected,+
ASV_239,ASV_97,0.997229365162749,undirected,+
ASV_588,ASV_81,-0.98989760636102,undirected,-
ASV_747,ASV_103,0.99044790900468,undirected,+
ASV_217,ASV_80,0.998515218195674,undirected,+
ASV_277,ASV_132,0.989112593911401,undirected,+
ASV_224,ASV_66,0.989810473482033,undirected,+
ASV_1030,ASV_66,0.992638314050786,undirected,+
ASV_1409,ASV_66,0.989525176100991,undirected,+
ASV_69,ASV_206,0.999305737248087,undirected,+
ASV_173,ASV_206,0.999136483747866,undirected,+
ASV_444,ASV_206,0.990040137794729,undirected,+
ASV_744,ASV_206,0.998535075601861,undirected,+
ASV_945,ASV_206,0.993899151020533,undirected,+
ASV_654,ASV_206,0.998883334590185,undirected,+
ASV_488,ASV_206,0.992672497486134,undirected,+
ASV_808,ASV_206,0.997983760763615,undirected,+
ASV_1418,ASV_206,0.998422082094061,undirected,+
ASV_2350,ASV_206,0.989565777526987,undirected,+
ASV_1013,ASV_123,-0.991680495196655,undirected,-
ASV_774,ASV_115,0.997191237740434,undirected,+
ASV_416,ASV_118,0.996759922797438,undirected,+
ASV_879,ASV_118,0.996856459313852,undirected,+
ASV_2717,ASV_118,0.994962469613338,undirected,+
ASV_1321,ASV_118,0.994564434293601,undirected,+
ASV_105,ASV_90,0.990823766697807,undirected,+
ASV_420,ASV_90,0.990964349310275,undirected,+
ASV_293,ASV_90,0.991254520572705,undirected,+
ASV_546,ASV_101,0.989519876322053,undirected,+
