,fc,,fc,mod_pre,fc,mod_pre
1,1,0.474,1,0.478363528043532,1,1
2,2,0.71,2,0.469165721871217,2,1
3,1,0.284,1,0.455269260224884,1,2.22044604925031e-16
4,2,0.56,2,0.470181626816003,2,1
5,1,0.384,1,0.498196367400124,1,0.998709545291556
6,1,0.464,1,0.585350574062471,1,1
7,2,0.564,2,0.610916813974118,2,1
8,1,0.448,1,0.646116265672369,1,1
9,2,0.774,2,0.863715081275862,2,0.99999999759653
10,1,0.22,1,0.470552710424561,1,0.0898747961052066
11,2,0.472,2,0.470552710424561,2,0.999999997746703
12,2,0.518,2,0.470552710424561,2,0.321200850289931
