#OTUID	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
ASV_1647	368	666	278	443	384	388	483	594	497	363	496	363	803	846	564	675	542	520
ASV_2	670	412	862	793	1032	631	245	169	414	440	348	239	440	536	267	386	497	424
ASV_3	212	173	368	296	445	307	210	150	372	366	316	242	327	635	357	416	413	273
ASV_4	507	141	182	257	480	179	204	197	134	211	214	129	362	473	196	192	394	291
ASV_5	17	44	74	12	56	62	471	299	262	138	382	513	514	441	367	251	552	136
ASV_8	188	193	214	148	76	101	131	181	540	298	210	187	224	271	198	354	168	183
ASV_6	299	231	303	307	497	369	94	96	113	143	144	139	178	188	153	182	160	164
ASV_7	81	43	415	143	436	78	47	437	288	178	65	76	258	310	187	81	199	275
ASV_18	161	345	110	147	103	187	152	134	120	190	250	141	260	222	257	135	234	150
ASV_9	117	274	130	162	93	185	120	147	227	153	208	145	189	113	144	155	262	203
ASV_10	108	129	231	264	372	240	70	66	82	106	139	103	138	201	83	94	189	93
ASV_11	103	141	99	128	187	130	172	134	81	153	122	60	138	173	175	140	102	139
ASV_14	69	60	120	122	201	109	65	177	168	109	182	67	140	104	152	100	186	191
ASV_12	107	130	123	135	162	125	84	67	118	121	120	86	131	196	148	179	108	114
ASV_15	102	150	148	131	135	144	139	102	99	89	139	133	93	86	114	138	116	122
ASV_13	10	44	223	108	59	82	71	266	199	180	128	50	98	105	75	55	178	199
ASV_16	81	82	171	101	53	73	64	93	218	113	79	56	158	114	79	114	287	128
ASV_17	162	102	129	161	158	211	56	42	78	76	87	58	121	98	102	110	102	93
ASV_28	107	113	27	173	46	75	61	107	44	89	95	70	139	149	78	115	164	85
ASV_20	60	145	27	102	67	61	27	57	14	71	42	38	83	100	31	39	575	45
ASV_30	81	78	53	49	29	67	105	67	72	61	92	100	76	77	110	102	75	122
ASV_23	45	46	397	24	8	19	107	61	31	66	67	50	54	11	99	86	75	132
ASV_21	46	119	73	44	38	48	75	71	61	54	77	71	75	110	64	94	141	73
ASV_1276	63	81	111	93	85	82	88	65	49	65	68	82	55	68	79	52	57	67
ASV_29	67	59	57	108	22	94	63	85	84	78	91	57	86	73	70	64	89	43
ASV_22	60	55	181	168	148	80	38	26	47	31	43	53	40	93	39	76	43	44
ASV_113	26	33	7	443	189	10	39	59	26	64	30	32	110	15	40	43	26	66
ASV_26	62	67	50	135	15	8	65	97	100	40	67	46	155	27	52	34	4	224
ASV_24	42	153	165	37	65	103	27	29	22	46	66	15	60	76	43	177	51	46
ASV_31	41	35	125	74	124	74	48	57	27	53	65	29	58	83	33	66	112	70
ASV_27	60	83	66	41	53	76	104	46	51	43	62	78	67	60	73	69	44	82
ASV_34	76	51	57	48	30	59	80	55	46	66	58	83	65	71	82	46	46	71
ASV_33	64	35	44	67	78	95	55	37	72	105	51	36	59	75	63	48	46	53
ASV_35	30	78	36	76	10	21	60	35	47	70	62	34	104	122	80	85	78	44
ASV_36	55	30	30	89	69	113	24	14	98	61	39	31	87	120	41	57	52	33
ASV_41	69	59	71	84	152	81	29	47	41	41	46	34	30	63	35	58	42	56
ASV_37	46	32	42	23	50	37	72	46	42	42	73	71	44	73	99	64	76	85
ASV_173	39	44	67	49	83	63	34	34	50	50	61	46	55	67	69	73	56	73
ASV_38	85	56	60	105	114	142	16	15	42	21	46	32	46	51	33	52	52	42
ASV_40	41	43	17	23	15	50	181	74	103	105	43	192	21	9	23	13	8	25
ASV_39	36	84	96	38	69	42	30	46	32	39	54	33	40	78	58	73	17	61
ASV_70	29	34	113	56	135	63	29	47	14	49	66	31	35	23	27	41	86	41
ASV_42	40	20	22	81	47	65	12	12	68	51	31	42	74	205	19	44	52	31
ASV_47	50	49	63	60	68	74	40	36	42	35	48	35	39	45	48	57	46	57
ASV_68	55	46	79	61	94	66	30	29	22	30	51	41	49	52	31	36	32	55
ASV_45	60	37	84	81	142	55	19	11	38	32	34	17	46	72	22	20	55	30
ASV_44	34	79	72	47	71	27	30	32	33	21	45	41	62	43	47	100	29	35
ASV_52	29	43	74	26	24	34	39	44	65	29	58	34	39	83	47	40	44	70
ASV_54	41	23	46	126	81	98	14	6	42	18	21	21	56	76	28	45	37	43
ASV_46	45	19	59	43	66	36	60	54	43	40	65	74	18	21	37	46	59	34
ASV_43	1	11	1	15	49	2	17	93	4	45	54	34	300	16	7	15	90	43
ASV_48	38	37	26	47	17	38	57	36	64	49	54	36	39	53	41	52	47	59
ASV_51	37	74	71	18	17	35	43	35	27	19	30	42	57	23	49	89	53	57
ASV_50	38	70	55	48	23	36	41	49	41	35	49	25	34	26	48	55	32	61
ASV_53	15	16	34	14	129	20	77	51	24	37	31	12	66	29	48	42	26	87
ASV_49	57	37	223	3	15	27	10	11	135	116	11	5	14	18	25	8	19	9
ASV_55	47	103	39	31	62	52	50	49	18	42	32	40	35	9	27	11	43	32
ASV_58	45	35	47	64	65	41	35	30	12	42	38	22	33	32	32	22	30	34
ASV_62	32	41	37	46	44	38	30	48	37	23	53	18	34	40	34	27	40	29
ASV_67	27	27	67	55	79	56	21	23	22	22	26	30	21	43	14	32	38	39
ASV_56	6	18	33	31	32	21	40	13	30	36	37	25	35	80	64	43	48	35
ASV_63	12	11	9	14	27	14	54	38	27	161	40	128	12	6	3	13	36	18
ASV_61	27	39	13	21	14	12	66	46	39	38	42	50	45	27	38	34	20	27
ASV_59	27	36	46	53	75	50	19	18	28	25	19	16	29	29	21	32	35	36
ASV_60	23	28	23	24	66	24	48	30	19	40	20	12	36	51	37	40	20	46
ASV_76	43	28	27	21	18	20	35	26	31	32	36	37	24	33	59	48	24	38
ASV_66	29	35	48	48	43	45	22	15	21	21	28	16	30	44	25	27	56	19
ASV_73	37	21	15	27	11	33	17	24	22	23	30	26	12	41	35	104	32	28
ASV_456	22	31	34	24	11	21	17	23	36	23	24	15	49	31	33	25	60	56
ASV_69	29	35	37	32	34	30	34	31	15	24	47	17	23	24	31	23	36	28
ASV_82	29	48	35	31	56	50	20	5	28	26	28	27	19	24	16	31	29	19
ASV_72	40	25	44	83	40	72	12	7	16	14	16	17	18	23	15	28	25	20
ASV_93	12	5	12	11	63	11	21	126	5	26	67	14	2	9	39	8	50	32
ASV_71	29	15	17	31	30	126	20	7	27	20	24	32	19	19	31	19	17	29
ASV_74	27	33	39	21	34	25	39	21	28	19	36	23	15	28	50	11	19	29
ASV_77	22	14	38	23	28	21	13	11	21	16	20	36	16	64	15	94	16	19
ASV_75	14	27	49	32	56	35	9	21	26	9	55	13	27	22	24	24	19	23
ASV_83	19	44	19	0	3	122	32	5	12	54	10	13	73	0	13	24	10	17
ASV_84	22	8	28	32	30	23	11	13	46	27	19	21	25	38	29	28	31	37
ASV_81	29	15	19	27	45	11	12	34	14	27	80	29	18	7	42	20	18	18
ASV_78	24	22	12	14	45	22	26	16	20	15	18	25	24	13	32	61	37	28
ASV_79	35	16	13	34	43	61	4	7	32	13	9	18	30	56	17	21	22	22
ASV_88	33	49	7	6	2	145	14	16	13	34	14	27	22	4	37	18	1	3
ASV_80	31	24	25	30	18	23	14	17	4	14	44	22	3	0	46	39	41	48
ASV_86	24	33	4	13	4	17	22	49	11	7	14	21	36	38	42	21	56	22
ASV_89	21	26	13	18	9	25	38	21	14	29	29	20	11	35	26	29	26	35
ASV_97	12	24	18	26	45	25	27	16	15	16	16	18	23	19	31	30	22	30
ASV_90	15	35	19	36	24	68	14	6	30	11	17	15	14	12	24	18	42	10
ASV_92	58	23	29	37	1	15	33	31	54	45	28	8	4	6	0	29	6	2
ASV_91	8	36	1	53	4	27	28	13	17	22	23	11	21	53	18	37	15	14
ASV_94	2	5	24	23	24	14	11	28	8	9	28	13	17	17	8	19	66	82
ASV_100	22	34	4	6	10	22	43	20	27	23	23	38	19	12	28	16	22	27
ASV_106	3	9	23	44	51	10	21	14	9	20	17	7	30	52	19	27	20	14
ASV_109	23	18	34	24	36	29	9	8	18	20	20	31	22	22	20	22	24	10
ASV_855	17	10	16	9	14	23	17	44	62	37	24	15	17	23	16	25	5	14
ASV_410	6	19	48	23	31	17	15	30	11	23	32	7	14	13	18	13	37	30
ASV_95	23	21	46	32	43	26	17	11	18	15	23	14	9	14	9	19	24	21
ASV_98	19	5	10	20	107	11	6	23	7	44	30	18	14	1	12	20	14	23
ASV_118	22	18	28	24	42	14	16	15	13	15	22	14	18	22	22	24	25	21
ASV_110	10	36	16	24	22	10	26	16	18	27	18	27	19	18	25	15	19	25
ASV_102	27	11	33	14	67	20	17	5	18	11	12	11	13	43	7	11	25	25
ASV_96	18	8	7	7	123	8	23	34	11	9	8	6	19	10	28	15	18	16
ASV_112	20	15	10	7	6	5	5	11	91	58	13	15	34	9	20	28	7	11
ASV_288	8	26	32	11	12	52	6	28	8	27	24	34	7	5	17	39	9	15
ASV_108	22	21	19	29	31	33	15	12	18	8	27	15	18	20	10	12	31	15
ASV_111	10	7	7	6	3	5	33	19	40	32	22	14	30	40	28	32	19	9
ASV_99	17	20	25	31	24	31	23	14	13	10	19	23	12	13	23	19	15	20
ASV_101	18	11	22	20	35	13	12	16	20	32	31	29	11	22	16	15	16	12
ASV_105	13	9	12	30	11	21	10	8	38	28	14	8	46	39	13	19	17	14
ASV_186	19	33	11	22	8	16	19	25	20	18	18	14	11	21	18	38	10	29
ASV_736	16	15	26	34	22	27	8	13	19	13	13	18	18	16	10	31	32	15
ASV_103	8	3	17	21	109	26	1	39	1	10	12	9	1	4	14	12	17	36
ASV_119	13	17	24	14	17	11	16	32	18	13	11	25	21	11	27	11	24	32
ASV_115	11	22	16	6	16	8	25	15	19	28	14	21	13	31	22	22	17	29
ASV_129	16	26	9	16	8	17	24	24	27	15	14	21	21	17	25	17	15	21
ASV_107	17	18	3	31	27	53	11	7	19	9	12	15	31	18	15	10	16	13
ASV_125	14	10	27	12	7	9	29	17	16	13	23	21	17	32	15	20	20	22
ASV_114	10	35	4	38	3	26	1	2	1	1	8	166	0	9	6	0	2	7
ASV_577	18	22	17	23	7	21	23	22	12	12	18	26	10	14	29	11	15	16
ASV_116	14	31	30	32	24	22	8	9	15	14	8	14	12	10	17	22	15	14
ASV_126	5	42	27	29	3	8	20	27	13	14	31	4	11	30	12	7	3	22
ASV_124	19	20	28	23	22	22	14	13	13	7	15	4	19	14	20	14	16	18
ASV_131	0	8	0	1	0	6	34	55	17	1	52	34	2	6	1	41	18	22
ASV_121	20	12	11	10	14	33	11	9	14	27	20	25	10	16	14	9	33	8
ASV_179	5	8	22	124	19	8	13	8	7	4	10	8	5	8	7	13	12	10
ASV_843	20	20	26	18	9	24	11	10	21	11	15	6	21	12	10	14	22	20
ASV_282	10	28	15	17	7	10	20	25	15	13	17	23	22	6	19	12	11	17
ASV_128	23	17	12	28	14	23	8	12	19	12	9	19	15	14	17	12	16	10
ASV_134	14	24	9	24	16	15	12	11	8	19	17	10	13	19	12	27	18	11
ASV_120	15	15	16	9	4	15	25	20	14	11	19	33	12	15	15	8	17	14
ASV_127	14	7	47	12	7	11	20	5	7	14	16	14	18	18	18	9	10	28
ASV_130	14	17	14	13	7	9	26	11	14	12	14	15	14	18	28	13	16	20
