	RDA1	RDA2	RDA3	RDA4
OTU_26404	1.87795738877554	0.547869187376297	0.0693074517033579	-0.3341149195078
OTU_26246	-0.120660107435111	0.764927908543979	-0.868529373959167	-0.216394351170413
OTU_18330	0.16779188719223	-0.678692064312854	-0.368091430423338	-0.476289569272009
OTU_25480	-0.488945360174468	0.636761458577192	0.873800547652985	-0.310397127271368
OTU_24868	-0.762293417148633	0.345644933854548	-0.923531884076599	0.203791560974398
OTU_19094	-0.206882335852935	0.0608464265043104	-0.0317395015491559	-0.0518080263868252
OTU_17060	0.0198197912129751	-0.416588078666464	-0.1103876758441	-0.158248114308477
OTU_25834	-0.0312176955763118	-0.00704956482549059	0.016435395755558	0.179649989930234
OTU_34735	-0.130606687543291	0.117115408637959	0.414421010617017	0.210124132447785
OTU_12326	-0.350701608000533	-0.919314853627102	0.182481620388653	-1.20699017767902
OTU_23001	-0.346053383314455	0.116734613289766	-0.0280306702362096	-0.0751355209891162
OTU_18790	0.166926855294359	0.20016068562821	-0.328292655241892	0.384582309523759
OTU_34752	-0.0875538839630144	0.161488214440782	0.190883306512331	0.0900622197030615
OTU_24739	0.122545743493347	0.104916625116248	-0.0483381833231604	0.124627586743301
OTU_18825	-0.0185008466704267	0.284117993101642	0.206663998062288	0.143871928193361
OTU_30438	0.00497158710391092	0.20388797375614	0.284431365679701	0.189269418074297
OTU_27707	-0.00879748116644713	-0.00290947792013065	0.00706615983906359	0.0169953698420106
OTU_21915	-0.0565360239979982	0.0419625927524663	0.0430762329378302	-0.106233768978916
OTU_27519	-0.101960296670157	0.111168520048929	0.302433372430113	0.117907422915104
OTU_17460	-0.0298183483191772	-0.119068940388803	0.305059403826439	-0.145076050796503
OTU_25109	-0.111792350452751	0.169440839627053	0.292000143752511	0.0118202947995102
OTU_31319	0.0755774099055952	0.223888064700846	-0.0304751016643048	-0.12519024586603
OTU_14078	-0.0906346082935359	0.373240649217865	0.146907156722528	-0.294749090786545
OTU_30240	-0.0637541966562149	0.274105102297033	0.347805755748552	0.0194081118102019
OTU_20501	-0.115965410736644	0.0451768864110165	0.0935570291336801	0.334018301552316
OTU_4075	0.0276342597502814	-0.321117139845388	0.132036804573142	0.405628681058607
OTU_5241	-0.0941199820438609	0.0738179006726449	0.0963230008276936	-0.128535865707828
OTU_7289	-0.00786625118191542	0.25030010784839	0.0934352659833345	0.087225569488134
OTU_6001	-0.382097881917775	0.256024515542802	-0.167768934513991	0.0393425823453554
OTU_11141	-0.00307075448103234	0.04715112988287	-0.176508388488953	0.113426215206624
OTU_9389	-0.0784218292569002	0.148100964639463	-0.205171963065828	-0.214971954504176
OTU_29730	0.00209709489287136	0.087786020360474	-0.1882175543408	0.0913188008881908
OTU_34157	-0.0717350382254036	0.0343265188572449	0.112620304779939	0.149840308854978
OTU_4934	-0.152981636104952	-0.0832479530069769	0.072597691306336	0.238694862078735
OTU_30479	-0.0154518935920594	0.202484178802816	0.334062514128341	0.0230068668419208
OTU_25906	-0.0853110940396013	0.157404246053757	0.247360195848344	-0.0619569411034147
OTU_34225	0.0363057500046321	0.0309093862515779	-0.0858785799338245	-0.0216723604024209
OTU_20220	-0.136966381820493	0.143218185888348	0.197508375763	-0.0072777614621139
OTU_8179	0.0597794858399035	0.0905783790195763	-0.0123693401215677	0.333811032392965
OTU_29089	0.0384111302463289	0.104457919947217	0.14812662335801	0.0733481839080726
OTU_24898	-0.0392348177998662	0.243034495460797	0.177603985877063	-0.151500553725404
OTU_25288	-0.144897087327998	0.176885578410474	0.267092281484581	-0.0839765576196788
OTU_21000	-0.012946571048264	0.0990445413691049	-0.208292068220994	0.0299464368588938
OTU_34681	0.0642691255197436	0.0124983575176951	-0.0356503390845495	0.39683117868022
OTU_30464	-0.0359659624889393	0.0027399338429559	0.117581050621631	0.0962591094735418
OTU_17439	0.0470847879710223	-0.0602772010782459	0.112231911205906	0.0273061866903329
OTU_29426	-0.110142636206226	0.0192714332560603	-0.0229178343160367	0.0061959736129955
OTU_27869	0.0827349470124021	0.257272694973551	0.148612202793507	0.0550675509795615
OTU_34629	0.00409029709746711	0.0993245422621539	0.124558018767739	0.114458558751204
OTU_7538	-0.0288762493307088	0.102484968132585	0.131990083270479	-0.0709299121834259
OTU_23058	-0.0241015847251656	0.0340572962052456	-0.135162890414273	0.0597958926779963
OTU_22823	-0.0567901901888106	0.0129916161273337	0.0365063412733468	-0.0014120540270398
OTU_26614	0.195294638117171	-0.0177620096130767	-0.0447809864932047	0.162500050898586
