#OTU ID	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
57759	81	43	414	143	436	78	47	437	287	175	63	76	258	310	186	81	199	275
810167	477	136	194	258	494	184	206	199	140	206	216	132	356	473	194	199	395	292
1134692	326	270	363	367	601	415	109	129	145	165	168	163	199	255	178	227	190	199
546343	3	2	4	0	1	8	5	2	1	2	1	5	0	0	3	0	1	2
48487	135	147	97	89	13	305	109	74	91	174	77	92	127	39	100	98	53	63
940737	651	415	875	775	1075	631	256	168	414	437	353	238	446	562	265	383	510	438
827300	2	0	1	1	0	0	2	0	0	1	2	0	0	0	0	0	1	0
816587	18	26	14	24	12	19	22	27	20	23	39	36	21	15	25	24	21	24
590960	55	32	25	41	27	65	25	33	35	48	50	49	21	58	46	110	64	36
694269	44	115	73	44	38	48	74	67	58	54	76	69	71	109	64	92	141	68
547806	188	413	196	186	163	232	177	169	152	230	292	169	298	291	303	200	246	206
688259	115	117	89	141	31	135	97	152	127	107	130	93	138	113	120	101	158	103
1068902	15	26	44	21	21	18	7	11	12	11	14	11	14	13	14	15	8	13
240452	50	56	72	64	65	54	48	27	51	67	60	54	60	67	65	74	67	82
558740	30	39	40	32	36	30	34	34	15	24	47	23	25	27	31	26	37	32
254401	67	68	97	64	98	90	44	34	22	36	58	47	54	60	41	50	53	61
578786	46	43	15	28	14	50	181	74	99	118	55	203	22	11	26	14	9	24
2200131	98	136	90	127	181	125	169	132	80	150	121	58	137	170	173	139	96	134
1125991	4	4	0	1	0	1	3	3	0	2	3	2	0	2	3	0	1	0
674370	2	0	1	2	5	0	0	1	0	2	1	3	1	1	1	0	1	1
140229	19	49	34	43	33	19	37	31	22	36	25	40	31	23	45	24	34	37
254116	161	236	207	169	199	228	235	151	144	143	202	197	165	149	192	211	162	200
1106130	192	202	221	150	81	112	150	213	561	310	216	202	241	270	219	500	221	203
261435	15	15	16	9	4	14	25	20	14	11	18	33	12	15	14	8	17	13
364617	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
4310319	104	141	434	201	27	52	188	157	145	124	150	104	222	88	160	153	90	358
2364698	2	0	0	0	0	0	2	1	0	1	0	0	0	0	0	1	0	0
136377	5	10	23	7	31	17	8	9	6	20	10	4	10	24	7	7	18	3
4422734	5	7	13	13	10	7	12	4	5	4	9	6	5	7	7	6	8	12
4354368	7	10	0	4	0	5	14	14	13	20	24	7	15	26	18	20	6	8
854050	12	10	4	9	13	8	31	8	22	15	9	32	6	4	11	7	9	14
4370738	20	8	28	30	30	23	11	13	44	26	19	19	25	36	29	28	30	37
3053045	4	0	0	0	0	0	0	1	0	0	0	0	4	0	0	0	0	0
99951	1	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0
615362	1	0	0	1	0	0	0	0	1	0	1	1	0	0	1	2	0	1
711809	18	17	46	29	55	36	13	17	15	14	17	19	18	24	6	20	28	31
4093080	1	1	3	2	1	0	4	1	1	1	2	0	0	0	3	2	0	2
248618	69	71	111	90	86	79	85	61	42	65	63	77	55	62	75	47	59	63
731707	11	6	4	1	0	2	2	1	7	2	3	8	3	1	2	3	10	4
560146	3	0	1	1	0	0	0	0	0	1	0	0	0	2	2	0	0	0
825474	7	12	21	25	10	6	10	10	21	5	10	6	11	10	19	10	9	13
1616780	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0
246240	260	203	237	292	352	344	125	99	161	175	167	123	212	203	197	240	215	197
1134925	7	28	10	1	0	1	1	4	2	2	0	3	11	4	4	8	0	5
1135768	206	163	352	279	417	291	204	141	352	350	297	227	319	616	344	397	397	263
336298	79	75	157	97	51	72	58	90	212	110	76	56	151	109	73	108	278	123
287179	18	13	31	21	28	22	10	13	23	19	19	13	15	25	23	25	16	24
436590	39	44	64	48	59	55	66	30	34	46	44	42	37	29	59	60	47	60
4151701	2	0	0	2	3	1	5	0	1	0	2	1	0	0	1	2	1	1
849156	42	33	34	34	35	44	6	7	13	12	7	5	16	26	12	14	11	21
529762	8	8	6	1	1	3	10	7	9	5	4	6	12	3	5	2	3	2
1049387	51	38	46	55	70	46	29	42	39	44	93	54	39	29	64	40	34	29
12978	97	225	161	97	105	86	101	94	80	61	107	113	195	102	123	217	95	113
944197	1	1	0	0	3	7	3	2	0	0	1	1	0	0	3	0	0	0
4296910	41	48	46	32	38	39	52	30	42	34	47	31	18	41	67	18	30	57
974121	14	20	12	25	36	18	65	77	30	192	55	166	13	11	11	17	65	29
273949	12	8	12	11	11	5	8	13	13	10	13	13	31	14	10	18	5	10
901995	1	2	0	0	0	1	1	1	3	0	0	0	0	0	1	1	0	1
141810	6	6	12	2	10	3	5	7	4	1	3	4	0	3	11	7	6	4
4430763	96	90	66	62	35	72	132	69	89	75	107	125	91	93	128	118	85	145
562008	31	42	43	30	11	36	61	34	31	43	44	38	19	59	44	52	41	59
569952	51	34	70	73	126	47	17	10	32	29	34	15	41	66	20	13	49	27
1052930	4	8	6	12	8	6	7	11	10	7	25	12	6	4	5	4	11	10
4412134	22	14	13	31	19	26	12	10	41	36	20	9	57	40	15	21	21	26
952203	31	19	15	46	46	67	5	7	31	13	11	20	32	57	19	26	21	23
857566	11	12	2	1	2	9	10	9	8	6	7	20	4	2	3	6	5	7
4327829	5	4	2	2	2	3	4	3	0	1	2	2	1	2	1	4	4	4
3319380	14	18	18	14	16	11	16	31	18	13	10	22	21	11	27	11	24	33
1042596	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	1
4386631	96	121	116	128	155	120	79	65	111	110	114	82	122	182	142	164	104	112
816441	93	88	99	93	44	82	128	91	123	90	107	88	80	117	116	127	103	133
863742	10	15	4	6	7	13	9	7	9	7	12	10	13	7	10	5	4	10
751555	36	52	24	31	19	13	94	61	50	50	53	56	55	44	46	61	26	33
278562	64	15	27	26	98	45	8	3	15	12	7	7	25	24	17	15	23	24
839217	3	2	0	1	2	0	3	9	6	4	6	2	5	0	1	2	3	2
3984866	2	2	2	4	3	2	4	2	1	1	4	2	2	2	3	2	3	0
365415	99	94	61	70	43	58	99	84	79	79	108	102	81	91	119	120	92	100
608919	21	18	29	23	44	14	14	15	17	13	22	14	18	22	22	24	24	23
539871	9	4	7	16	11	9	1	2	10	6	11	3	6	10	8	9	10	10
864304	2	1	2	4	3	2	2	2	2	4	1	4	3	2	2	0	3	2
959590	43	33	45	62	72	45	36	29	13	40	36	24	31	32	29	22	30	37
4433820	1	0	0	1	0	0	1	2	2	0	0	0	0	0	0	0	4	0
903626	31	40	51	52	50	50	26	16	24	23	36	22	37	47	30	33	66	20
