"","one","Means","SD"
"num.edges",2296,2296,0
"num.pos.edges",0,0,0
"num.neg.edges",0,0,0
"num.vertices",471,471,0
"connectance",0.0207435515200795,0.0207435515200795,0
"average.degree",9.74946921443737,9.74946921443737,0
"average.path.length",4.09375638120983,2.94216887413551,0.00375456436943019
"diameter",12,5.01,0.1
"edge.connectivity",0,2.01,0.810225059143845
"clustering.coefficient",0,0.0208450072926489,0.00161260523666326
"no.clusters",9,1.04,0.196946385566932
"centralization.degree",0.132447937841623,0.0223628314586439,0.00309319215784844
"centralization.betweenness",0.0549357643353227,0.0118306416858888,0.0021506826110467
"centralization.closeness",1.44546419725379,NA,NA
