"","X1","X2","elements","filed","Kingdom","Phylum","Class","Order","Family","Genus","Species","group","igraph.degree","igraph.closeness","igraph.betweenness","igraph.cen.degree"
"bac_ASV_25",33.4899346985304,-14.1683050910161,"bac_ASV_25","bac","Bacteria","Proteobacteria","Betaproteobacteria","Unassigned","Unassigned","Unassigned","Unassigned","bac",0,0,0,0
"bac_ASV_252",21.5358898981614,24.2754947526791,"bac_ASV_252","bac","Bacteria","Acidobacteria","Acidobacteria_Gp1","Unassigned","Unassigned","Gp1","Unassigned","bac",1,0.00212765957446809,0,1
"bac_ASV_253",-5.24752633243537,-23.6520234229988,"bac_ASV_253","bac","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas_granadensis","bac",15,0.0488463936811474,3309.22773756196,15
"bac_ASV_255",-4.63860211746845,15.7960314817751,"bac_ASV_255","bac","Bacteria","Candidatus_Saccharibacteria","Unassigned","Unassigned","Unassigned","Saccharibacteria_genera_incertae_sedis","Unassigned","bac",7,0.0484037075180227,193.076082352501,7
"bac_ASV_258",3.43796793594036,-2.26143287058882,"bac_ASV_258","bac","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Haliangiaceae","Haliangium","Unassigned","bac",6,0.0486542443064182,123.058479645572,6
"bac_ASV_262",-9.32510318827184,-6.00305086249753,"bac_ASV_262","bac","Bacteria","Planctomycetes","Planctomycetia","Planctomycetales","Planctomycetaceae","Unassigned","Unassigned","bac",1,0.0473027375201288,0,1
"bac_ASV_263",-23.9816470701119,25.9880948623684,"bac_ASV_263","bac","Bacteria","Acidobacteria","Acidobacteria_Gp6","Unassigned","Unassigned","Gp6","Unassigned","bac",12,0.0496513839002747,646.408910661445,12
"bac_ASV_265",2.44294189321298,24.5723352520595,"bac_ASV_265","bac","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","bac",1,0.0453405363688983,0,1
"bac_ASV_268",-19.6955523568217,22.8340113600669,"bac_ASV_268","bac","Bacteria","Proteobacteria","Betaproteobacteria","Unassigned","Unassigned","Unassigned","Unassigned","bac",15,0.0496199324324324,1087.57620363226,15
"bac_ASV_27",12.8910060334613,-36.1757889091772,"bac_ASV_27","bac","Bacteria","Acidobacteria","Acidobacteria_Gp1","Unassigned","Unassigned","Gp1","Unassigned","bac",1,0.0431509364671318,0,1
"bac_ASV_272",-13.4752763050678,-22.0786017492084,"bac_ASV_272","bac","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Sediminibacterium","Unassigned","bac",13,0.0491220735785953,1068.04863391989,13
"bac_ASV_273",18.9611472735745,0.121334907368291,"bac_ASV_273","bac","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae_1","Bacillus","Bacillus_qingshengii","bac",15,0.048917568692756,856.730456168622,15
"bac_ASV_276",-30.2282506060321,7.03807833219789,"bac_ASV_276","bac","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia","Unassigned","bac",9,0.0487147595356551,1581.25192905073,9
"bac_ASV_277",12.5074680687761,2.86225711367374,"bac_ASV_277","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Unassigned","Unassigned","bac",16,0.0487956810631229,709.663249100041,16
"bac_ASV_278",-20.8429909709837,3.80896484199353,"bac_ASV_278","bac","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","bac",11,0.0494008829093967,265.934818301982,11
"bac_ASV_279",-28.2568957841188,15.7995169239789,"bac_ASV_279","bac","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Sinobacteraceae","Povalibacter","Povalibacter_uvarum","bac",13,0.0494841019161929,324.444283226479,13
"bac_ASV_28",17.1980408519071,-0.0845737236821771,"bac_ASV_28","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Unassigned","Unassigned","Unassigned","bac",18,0.0497775894937513,905.432890919532,18
"bac_ASV_280",-30.8868827589636,10.4955051497579,"bac_ASV_280","bac","Bacteria","Acidobacteria","Acidobacteria_Gp1","Unassigned","Unassigned","Gp1","Unassigned","bac",4,0.0476576759278037,46.5850232249122,4
"bac_ASV_282",-28.3245416268355,-28.6789789564115,"bac_ASV_282","bac","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Unassigned","Chryseolinea","Chryseolinea_serpens","bac",1,0.0459074037898027,0,1
"bac_ASV_283",12.4734800342409,-21.7496054194048,"bac_ASV_283","bac","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiales_incertae_sedis","Unassigned","Unassigned","bac",7,0.0464060031595577,2162.80398206814,7
"bac_ASV_286",12.7741891359235,-11.1307737822309,"bac_ASV_286","bac","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Cystobacteraceae","Cystobacter","Unassigned","bac",3,0.0480376124284546,508.912902178142,3
"bac_ASV_29",-15.670954012948,9.54848663576902,"bac_ASV_29","bac","Bacteria","Acidobacteria","Acidobacteria_Gp13","Unassigned","Unassigned","Gp13","Unassigned","bac",23,0.0498726655348048,1138.02049857601,23
"bac_ASV_290",-11.9338820255139,-22.0795524308931,"bac_ASV_290","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Unassigned","Unassigned","Unassigned","Unassigned","bac",14,0.0494424573953293,460.842666605523,14
"bac_ASV_292",-23.5491069855616,13.7130339844579,"bac_ASV_292","bac","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Flavisolibacter","Flavisolibacter_ginsengisoli","bac",22,0.0499362515937102,1440.15123639653,22
"bac_ASV_294",-5.87031745993572,-20.3300047132151,"bac_ASV_294","bac","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatimonas","Gemmatimonas_aurantiaca","bac",17,0.0498726655348048,1108.85450564892,17
"bac_ASV_296",17.699441126332,-34.334873951967,"bac_ASV_296","bac","Archaea","Thaumarchaeota","Unassigned","Nitrososphaerales","Nitrososphaeraceae","Nitrososphaera","Unassigned","bac",1,0.0462052693668895,0,1
"bac_ASV_298",-6.82582284389136,24.6474686819641,"bac_ASV_298","bac","Bacteria","Proteobacteria","Betaproteobacteria","Unassigned","Unassigned","Unassigned","Unassigned","bac",6,0.0481458717475927,3208.10680522557,6
"bac_ASV_299",21.5410302413784,-21.8047476066073,"bac_ASV_299","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Novosphingobium","Novosphingobium_lentum","bac",2,0.0455868089233754,412.377481295238,2
"bac_ASV_3",-10.6377955273387,10.1945184293771,"bac_ASV_3","bac","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia","Burkholderia_soli","bac",20,0.0496408956485002,592.182863194102,20
"bac_ASV_30",-12.0877462136656,-12.5214181466018,"bac_ASV_30","bac","Bacteria","Acidobacteria","Acidobacteria_Gp3","Unassigned","Unassigned","Gp3","Unassigned","bac",19,0.0496828752642706,752.703866576775,19
"bac_ASV_300",-10.1226309841549,-32.2124980598406,"bac_ASV_300","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Unassigned","Unassigned","Unassigned","Unassigned","bac",6,0.0472646822204344,238.69605162554,6
"bac_ASV_302",-11.2177702503023,30.0019418801977,"bac_ASV_302","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Dongia","Dongia_rigui","bac",2,0.047293217951298,9.39154895301604,2
"bac_ASV_304",-32.676373356465,-21.3828114444063,"bac_ASV_304","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Unassigned","Unassigned","Unassigned","bac",1,0.0458447132266875,0,1
"bac_ASV_305",-28.6594281522551,23.4681506457882,"bac_ASV_305","bac","Bacteria","Acidobacteria","Acidobacteria_Gp3","Unassigned","Unassigned","Gp3","Unassigned","bac",5,0.0482744453574363,514.001657781845,5
"bac_ASV_31",15.9483825875009,29.8370664468761,"bac_ASV_31","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium","Bradyrhizobium_daqingense","bac",0,0,0,0
"bac_ASV_310",7.40842008367549,-6.6186266261702,"bac_ASV_310","bac","Bacteria","Proteobacteria","Betaproteobacteria","Unassigned","Unassigned","Unassigned","Unassigned","bac",5,0.0480572597137014,15.6454127484714,5
"bac_ASV_312",-7.7361984209619,20.8029332647084,"bac_ASV_312","bac","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Unassigned","Unassigned","bac",16,0.0497881355932203,721.823095550747,16
"bac_ASV_313",-12.96331034331,9.24907317517001,"bac_ASV_313","bac","Bacteria","Acidobacteria","Acidobacteria_Gp6","Unassigned","Unassigned","Gp6","Unassigned","bac",23,0.0498938428874735,2376.68607732908,23
"bac_ASV_316",-14.3746596823834,4.91686057652732,"bac_ASV_316","bac","Bacteria","Acidobacteria","Acidobacteria_Gp6","Unassigned","Unassigned","Gp6","Unassigned","bac",20,0.0501386814593557,824.628270839678,20
"bac_ASV_32",-16.9140853756153,27.8995807937323,"bac_ASV_32","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium","Unassigned","bac",12,0.0494528619528619,702.133958247458,12
"bac_ASV_320",-24.9732567651274,-22.0224800089435,"bac_ASV_320","bac","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","bac",5,0.0477448191791955,334.630050653284,5
"bac_ASV_323",-12.1148983607572,3.91989697845168,"bac_ASV_323","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Unassigned","Unassigned","Unassigned","bac",17,0.0497565106923566,682.877057132667,17
"bac_ASV_324",-10.8487760982413,24.0573881123222,"bac_ASV_324","bac","Bacteria","Acidobacteria","Acidobacteria_Gp6","Unassigned","Unassigned","Gp6","Unassigned","bac",15,0.0499044383096199,690.032952065353,15
"bac_ASV_328",30.7190255317892,-15.7519648359651,"bac_ASV_328","bac","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","bac",0,0,0,0
"bac_ASV_33",12.7903245732594,-33.1997458547008,"bac_ASV_33","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Unassigned","Unassigned","Unassigned","bac",2,0.0470188075230092,307.305151679548,2
"bac_ASV_332",6.84756945196487,1.65840641736299,"bac_ASV_332","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Unassigned","Unassigned","Unassigned","Unassigned","bac",14,0.049328295549958,529.8106974382,14
"bac_ASV_334",-28.2900672877794,19.6561719519851,"bac_ASV_334","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Rhodoplanes","Unassigned","bac",11,0.0495885207849757,170.40506083025,11
"bac_ASV_336",10.0534827401631,27.2085292564079,"bac_ASV_336","bac","Bacteria","Proteobacteria","Gammaproteobacteria","Unassigned","Unassigned","Unassigned","Unassigned","bac",4,0.0470753205128205,203.677419734074,4
"bac_ASV_338",33.416383135601,4.80318127410757,"bac_ASV_338","bac","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Unassigned","Unassigned","bac",0,0,0,0
"bac_ASV_339",-22.8272650190428,-18.4440692675781,"bac_ASV_339","bac","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Polyangiaceae","Chondromyces","Unassigned","bac",8,0.0493697478991597,235.897203956491,8
"bac_ASV_34",-9.73246725286352,19.3485025726596,"bac_ASV_34","bac","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Unassigned","Unassigned","bac",18,0.0497038917089678,1597.96282605176,18
"bac_ASV_342",-12.0291418534451,-19.411478626148,"bac_ASV_342","bac","Bacteria","Proteobacteria","Gammaproteobacteria","Unassigned","Unassigned","Unassigned","Unassigned","bac",16,0.0494216614090431,994.946468145566,16
"bac_ASV_346",24.0483603085574,17.0381638285918,"bac_ASV_346","bac","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","Methyloversatilis","Unassigned","bac",1,0.00212765957446809,0,1
"bac_ASV_347",13.1609756208698,31.3385840929373,"bac_ASV_347","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Pseudolabrys","Pseudolabrys_taiwanensis","bac",0,0,0,0
"bac_ASV_348",-18.9461616950137,-22.5257078063809,"bac_ASV_348","bac","Bacteria","Acidobacteria","Acidobacteria_Gp1","Unassigned","Unassigned","Gp1","Unassigned","bac",10,0.048573790822654,1329.55384257259,10
"bac_ASV_35",18.9749709704971,-24.774354363652,"bac_ASV_35","bac","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia","Burkholderia_caribensis","bac",3,0.0465070255293885,119.401376748343,3
"bac_ASV_350",-3.96907380485877,-28.6642109742338,"bac_ASV_350","bac","Bacteria","Acidobacteria","Acidobacteria_Gp1","Unassigned","Unassigned","Gp1","Unassigned","bac",7,0.0484136794396374,173.302649381992,7
"bac_ASV_352",27.4346811411886,-15.9139735820636,"bac_ASV_352","bac","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","bac",0,0,0,0
"bac_ASV_358",7.18309435819842,22.3168479500209,"bac_ASV_358","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Phenylobacterium","Phenylobacterium_lituiforme","bac",3,0.0458000389787566,14.5115507468901,3
"bac_ASV_359",-14.1771250510598,-11.9737708347914,"bac_ASV_359","bac","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Pseudogulbenkiania","Pseudogulbenkiania_gefcensis","bac",13,0.0494632708903389,460.56214099573,13
"bac_ASV_36",-26.0289733343631,-12.2542189614462,"bac_ASV_36","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","Unassigned","bac",4,0.0472361809045226,262.170213551728,4
"bac_ASV_361",-13.067145333824,-3.73524111072888,"bac_ASV_361","bac","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","bac",4,0.0487349647449191,43.0481019890231,4
"bac_ASV_364",-13.1221276426093,12.1572429885602,"bac_ASV_364","bac","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","bac",27,0.0501066098081023,2014.7569239349,27
"bac_ASV_367",5.42414418036234,8.70029953712003,"bac_ASV_367","bac","Bacteria","Acidobacteria","Acidobacteria_Gp6","Unassigned","Unassigned","Gp6","Unassigned","bac",2,0.0473790322580645,1.27023071418244,2
"bac_ASV_370",-18.9547760361237,9.72076060326786,"bac_ASV_370","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Unassigned","Unassigned","bac",24,0.0500212856534696,1264.68965620485,24
"bac_ASV_375",3.57729314804743,26.5024503902198,"bac_ASV_375","bac","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Comamonadaceae","Unassigned","Unassigned","bac",1,0.0425801775684001,0,1
"bac_ASV_376",15.2315773318948,-19.1616008422929,"bac_ASV_376","bac","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas_panipatensis","bac",5,0.0463876825898144,1803.56178622604,5
"bac_ASV_378",31.6386017445046,-12.1699182837463,"bac_ASV_378","bac","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","bac",0,0,0,0
"bac_ASV_38",-18.6760803871218,32.8058076154469,"bac_ASV_38","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Phyllobacteriaceae","Mesorhizobium","Mesorhizobium_silamurunense","bac",2,0.0468314069350339,8.23402300302485,2
"bac_ASV_381",-15.6850179085539,-26.1061459815586,"bac_ASV_381","bac","Bacteria","Proteobacteria","Betaproteobacteria","Unassigned","Unassigned","Unassigned","Unassigned","bac",9,0.0480572597137014,205.320376219533,9
"bac_ASV_384",-28.572100049722,-13.6737898297098,"bac_ASV_384","bac","Bacteria","Acidobacteria","Acidobacteria_Gp2","Unassigned","Unassigned","Gp2","Unassigned","bac",4,0.0465623142460868,187.776664580444,4
"bac_ASV_386",-25.0491685816486,20.5345671036903,"bac_ASV_386","bac","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Herbaspirillum","Herbaspirillum_aquaticum","bac",13,0.0494112699747687,270.295653388288,13
"bac_ASV_387",-11.1280416175738,1.59333413583267,"bac_ASV_387","bac","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Unassigned","Unassigned","Unassigned","bac",9,0.0491323437173322,74.8136519473876,9
"bac_ASV_39",-22.3337702356541,1.34103737010932,"bac_ASV_39","bac","Bacteria","Proteobacteria","Betaproteobacteria","Unassigned","Unassigned","Unassigned","Unassigned","bac",9,0.0493490130197396,440.373313502552,9
"bac_ASV_390",29.9422891491664,6.51879211350849,"bac_ASV_390","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas","Unassigned","bac",1,0.00212765957446809,0,1
"bac_ASV_398",-22.1013480282645,-11.984649054871,"bac_ASV_398","bac","Bacteria","Acidobacteria","Acidobacteria_Gp3","Unassigned","Unassigned","Gp3","Unassigned","bac",5,0.0481656077064972,74.9284510567671,5
"bac_ASV_4",-16.8021908501541,-13.3794733092595,"bac_ASV_4","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Acidocella","Unassigned","bac",11,0.0492352817934213,300.281998151357,11
"bac_ASV_40",14.2631687335773,-17.0103401495918,"bac_ASV_40","bac","Bacteria","Proteobacteria","Betaproteobacteria","Unassigned","Unassigned","Unassigned","Unassigned","bac",5,0.0472361809045226,1187.06156375735,5
"bac_ASV_400",-14.3671991074192,-15.2566108271593,"bac_ASV_400","bac","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","Pseudomonas_composti","bac",14,0.0495571488823281,1370.79554151531,14
"bac_ASV_404",22.3279544733904,4.65544967936336,"bac_ASV_404","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Pseudolabrys","Pseudolabrys_taiwanensis","bac",2,0.0434140033253279,225.5,2
"bac_ASV_41",32.4297401504439,2.41711650683438,"bac_ASV_41","bac","Bacteria","Proteobacteria","Betaproteobacteria","Unassigned","Unassigned","Unassigned","Unassigned","bac",0,0,0,0
"bac_ASV_415",-31.2582949310433,-19.0134249627597,"bac_ASV_415","bac","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Sinobacteraceae","Steroidobacter","Unassigned","bac",2,0.0460874681310061,2.43596466444257,2
"bac_ASV_416",-28.9353791821695,-27.4615541166067,"bac_ASV_416","bac","Bacteria","Proteobacteria","Gammaproteobacteria","Legionellales","Coxiellaceae","Aquicella","Aquicella_siphonis","bac",1,0.0467754777070064,0,1
"bac_ASV_417",-8.64233228136432,29.8178562541673,"bac_ASV_417","bac","Bacteria","Acidobacteria","Acidobacteria_Gp3","Unassigned","Unassigned","Gp3","Unassigned","bac",1,0.0469812075169932,0,1
"bac_ASV_42",-8.48490766746087,-29.550185137771,"bac_ASV_42","bac","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Unassigned","Unassigned","bac",7,0.0476673427991886,467.617180333112,7
"bac_ASV_424",5.0839935921747,24.6870737376924,"bac_ASV_424","bac","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Cupriavidus","Cupriavidus_oxalaticus","bac",12,0.0490707872207141,1366.86231202144,12
"bac_ASV_425",10.8144474102857,-1.70078611474495,"bac_ASV_425","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium","Unassigned","bac",19,0.049609457462529,710.276273492505,19
"bac_ASV_433",-22.5207424047816,28.7092032615368,"bac_ASV_433","bac","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","bac",5,0.0483837759934116,81.8269663885872,5
"bac_ASV_44",10.1200366938589,7.75319153942205,"bac_ASV_44","bac","Bacteria","Acidobacteria","Acidobacteria_Gp6","Unassigned","Unassigned","Gp6","Unassigned","bac",11,0.0493386521100147,206.307970312654,11
"bac_ASV_440",-7.74336288076949,-22.5603354781126,"bac_ASV_440","bac","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Rudaea","Rudaea_cellulosilytica","bac",15,0.0494841019161929,466.99376472807,15
"bac_ASV_442",-27.1031886120627,21.6950581304047,"bac_ASV_442","bac","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfuromonadales","Geobacteraceae","Geobacter","Unassigned","bac",11,0.0494008829093967,1065.80592132287,11
"bac_ASV_45",11.1364690718141,5.31286697203603,"bac_ASV_45","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Unassigned","Unassigned","Unassigned","bac",12,0.0488768718801997,2018.62246735484,12
"bac_ASV_451",-7.50822607785067,-6.18288961738184,"bac_ASV_451","bac","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","bac",11,0.0487248600456148,529.079312389168,11
"bac_ASV_456",13.0138508026238,28.1440722011369,"bac_ASV_456","bac","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","Azonexus","Azonexus_caeni","bac",3,0.0474939369442199,415.108859490343,3
"bac_ASV_459",-16.1136487702818,23.4531094043008,"bac_ASV_459","bac","Bacteria","Acidobacteria","Acidobacteria_Gp4","Unassigned","Unassigned","Gp4","Unassigned","bac",16,0.0497249259415997,1323.26596899888,16
"bac_ASV_46",-26.7120361744883,24.7998424492837,"bac_ASV_46","bac","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia","Unassigned","bac",5,0.0482645307044568,202.808196425622,5
"bac_ASV_462",9.42959559126833,-26.7274821376916,"bac_ASV_462","bac","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Gemmatimonas","Gemmatimonas_aurantiaca","bac",4,0.0474843402707618,60.5152676993477,4
"bac_ASV_47",-19.9712023675106,6.49182374656458,"bac_ASV_47","bac","Bacteria","Proteobacteria","Betaproteobacteria","Unassigned","Unassigned","Unassigned","Unassigned","bac",21,0.0499256426598683,1360.91617244606,21
"bac_ASV_473",2.41684726050973,-4.42225479033545,"bac_ASV_473","bac","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","bac",4,0.0486039296794209,464.510582259678,4
"bac_ASV_476",-15.9187197043831,-23.2386968302401,"bac_ASV_476","bac","Bacteria","Acidobacteria","Acidobacteria_Gp3","Unassigned","Unassigned","Gp3","Unassigned","bac",11,0.0491734672525633,318.882396376184,11
"bac_ASV_48",11.2480281827294,-6.68907127241313,"bac_ASV_48","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Unassigned","Unassigned","bac",13,0.0492249685798073,502.79152837443,13
"bac_ASV_488",0.839307329969735,28.643366087132,"bac_ASV_488","bac","Bacteria","Acidobacteria","Acidobacteria_Gp2","Unassigned","Unassigned","Gp2","Unassigned","bac",0,0,0,0
"bac_ASV_489",2.18375387934633,-1.12488740909443,"bac_ASV_489","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Phenylobacterium","Unassigned","bac",3,0.0470564677613136,148.333311220326,3
"bac_ASV_49",13.1700729757425,-19.5901851262338,"bac_ASV_49","bac","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae_1","Bacillus","Bacillus_vireti","bac",6,0.0473790322580645,1328.92613039422,6
"bac_ASV_492",-12.6119137404487,25.1216638801442,"bac_ASV_492","bac","Bacteria","Acidobacteria","Acidobacteria_Gp16","Unassigned","Unassigned","Gp16","Unassigned","bac",11,0.0486643197349348,328.273146871659,11
"bac_ASV_493",25.0999823326839,-9.60044890045451,"bac_ASV_493","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Unassigned","Unassigned","Unassigned","bac",3,0.0467847899661557,277.909771840986,3
"bac_ASV_497",32.5427319001725,-5.06432011457089,"bac_ASV_497","bac","Bacteria","Proteobacteria","Gammaproteobacteria","Unassigned","Unassigned","Unassigned","Unassigned","bac",0,0,0,0
"bac_ASV_5",-24.0699330895774,-10.6844906512463,"bac_ASV_5","bac","Bacteria","Verrucomicrobia","Spartobacteria","Unassigned","Unassigned","Spartobacteria_genera_incertae_sedis","Unassigned","bac",4,0.0473313192346425,1842.72023361862,4
"bac_ASV_50",-6.62212479044747,28.2098979390354,"bac_ASV_50","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Unassigned","Unassigned","Unassigned","bac",6,0.0481360098320361,129.09546902969,6
"bac_ASV_504",9.64426813617099,-29.0659630214603,"bac_ASV_504","bac","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Terrimonas","Terrimonas_rubra","bac",4,0.045916373583431,728.086735721424,4
"bac_ASV_508",18.9866759113821,12.8153589498384,"bac_ASV_508","bac","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","bac",2,0.00213219616204691,1,2
"bac_ASV_51",-22.3676292687251,-35.2487746872441,"bac_ASV_51","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Novosphingobium","Novosphingobium_arabidopsis","bac",2,0.0463510848126233,36.7571232464776,2
"bac_ASV_513",-6.96683007783404,-25.5662309715226,"bac_ASV_513","bac","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","bac",13,0.0492043551088777,1242.66422033284,13
"bac_ASV_52",5.46279962427222,-6.57254180775908,"bac_ASV_52","bac","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Oxalobacteraceae","Pseudoduganella","Pseudoduganella_violaceinigra","bac",4,0.0471792812688215,6.76320101935175,4
"bac_ASV_53",9.95074025653334,-5.85664036529719,"bac_ASV_53","bac","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Unassigned","Unassigned","bac",13,0.0492972519404237,768.797742779088,13
"bac_ASV_536",33.2286264329047,-8.18128411633376,"bac_ASV_536","bac","Bacteria","Firmicutes","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","bac",0,0,0,0
"bac_ASV_54",15.9093976880444,20.3361411411271,"bac_ASV_54","bac","Bacteria","Proteobacteria","Gammaproteobacteria","Unassigned","Unassigned","Unassigned","Unassigned","bac",2,0.0457911145752143,4.20121176788567,2
"bac_ASV_542",8.43210666103045,-4.05123457605019,"bac_ASV_542","bac","Bacteria","Acidobacteria","Acidobacteria_Gp3","Unassigned","Unassigned","Candidatus_Solibacter","Unassigned","bac",14,0.0489277534874037,311.998474046254,14
"bac_ASV_55",10.7271213416957,-31.7696834072104,"bac_ASV_55","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Phenylobacterium","Phenylobacterium_muchangponense","bac",2,0.0421600287047004,362.72005535581,2
"bac_ASV_555",-21.185178134127,-9.37973622499451,"bac_ASV_555","bac","Bacteria","Armatimonadetes","Unassigned","Unassigned","Unassigned","Armatimonadetes_gp5","Unassigned","bac",5,0.0481064483111566,104.023479875028,5
