"","X1","X2","elements","filed","Kingdom","Phylum","Class","Order","Family","Genus","Species","group","igraph.degree","igraph.closeness","igraph.betweenness","igraph.cen.degree"
"bac_ASV_132",-9.81018412192226,26.8229333607799,"bac_ASV_132","bac","Bacteria","Actinobacteria","Actinobacteria","Gaiellales","Gaiellaceae","Gaiella","Gaiella_occulta","bac",6,0.0480572597137014,32.5190920010513,6
"bac_ASV_133",-0.511575376754392,-20.4649004701711,"bac_ASV_133","bac","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Unassigned","Unassigned","bac",16,0.04957805907173,1839.55542703673,16
"bac_ASV_1339",-6.73935473847437,-31.1880565174701,"bac_ASV_1339","bac","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfuromonadales","Geobacteraceae","Geobacter","Unassigned","bac",7,0.0482942868886149,571.128833275073,7
"bac_ASV_134",-8.79246370694428,16.4065529940356,"bac_ASV_134","bac","Bacteria","candidate_division_WPS-1","Unassigned","Unassigned","Unassigned","WPS-1_genera_incertae_sedis","Unassigned","bac",20,0.0499362515937102,568.577727900231,20
"bac_ASV_135",-13.5239335008319,22.8042133095871,"bac_ASV_135","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Unassigned","Unassigned","Unassigned","bac",18,0.0494528619528619,1050.74534086804,18
"bac_ASV_136",29.3257984346881,-18.8313471459962,"bac_ASV_136","bac","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","bac",0,0,0,0
"bac_ASV_137",27.8551185473805,18.8036183606994,"bac_ASV_137","bac","Bacteria","Chloroflexi","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","bac",0,0,0,0
"bac_ASV_138",7.88705279331794,8.51445396989714,"bac_ASV_138","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Unassigned","Unassigned","bac",2,0.047793369941021,88.0572532904461,2
"bac_ASV_141",-5.22565089645214,18.6225838261587,"bac_ASV_141","bac","Bacteria","Proteobacteria","Betaproteobacteria","Unassigned","Unassigned","Unassigned","Unassigned","bac",7,0.0480670893843322,1436.84283988944,7
"bac_ASV_1417",-10.1894802677481,21.3539840164035,"bac_ASV_1417","bac","Bacteria","Proteobacteria","Deltaproteobacteria","Desulfuromonadales","Geobacteraceae","Geobacter","Unassigned","bac",15,0.0494528619528619,2133.94472513963,15
"bac_ASV_142",-19.0610547900892,1.50518974628153,"bac_ASV_142","bac","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Arenimonas","Arenimonas_daechungensis","bac",10,0.0483240797861402,618.562649598862,10
"bac_ASV_143",15.7329354755199,1.52950821740205,"bac_ASV_143","bac","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Unassigned","Unassigned","Unassigned","bac",17,0.0494112699747687,435.905727558802,17
"bac_ASV_144",10.4840100983893,-11.1741630341413,"bac_ASV_144","bac","Bacteria","Proteobacteria","Gammaproteobacteria","Unassigned","Unassigned","Unassigned","Unassigned","bac",4,0.0486341059602649,127.075100773735,4
"bac_ASV_145",-32.3802830323057,20.0740125415015,"bac_ASV_145","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Alphaproteobacteria_incertae_sedis","Unassigned","Rhizomicrobium","Unassigned","bac",4,0.0477060495330897,989.173308027515,4
"bac_ASV_148",-16.6571061856258,3.37528665558765,"bac_ASV_148","bac","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia","Burkholderia_ubonensis","bac",19,0.0498938428874735,1879.37441538122,19
"bac_ASV_149",-16.0479208253275,31.2666497025538,"bac_ASV_149","bac","Bacteria","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","Unassigned","bac",2,0.0466825586015097,0.890397100652571,2
"bac_ASV_15",1.11817223534553,21.8298515930424,"bac_ASV_15","bac","Bacteria","Acidobacteria","Acidobacteria_Gp1","Unassigned","Unassigned","Gp1","Unassigned","bac",1,0.0446089597570235,0,1
"bac_ASV_152",-11.560395842415,-11.523850607671,"bac_ASV_152","bac","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Unassigned","Unassigned","bac",20,0.0498832519634897,2062.69238245725,20
"bac_ASV_153",20.2714551005692,-34.2645927988233,"bac_ASV_153","bac","Bacteria","Proteobacteria","Betaproteobacteria","Unassigned","Unassigned","Unassigned","Unassigned","bac",1,0.0430955437373923,0,1
